Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99976,2511,2596,0.137806,0.260353,0.180721,0.00238419,0.0796318,35,0.0505447,0.0123978
2,-5.99989,2582,2388,0.142097,0.245094,0.163555,0.00238419,0.0815392,34,0.0510216,0.0123978
3,-6.99995,2250,2145,0.1688,0.275612,0.165462,0.00286102,0.110149,34,0.0562668,0.0138283
4,-7.99984,2372,2535,0.155449,0.266075,0.173569,0.00286102,0.0925064,34,0.0572205,0.0143051
5,-8.99965,2695,2421,0.136375,0.234604,0.146866,0.00286102,0.087738,35,0.0514984,0.0162125
6,-9.99974,2557,2371,0.1297,0.261307,0.180244,0.00286102,0.0810623,37,0.0524521,0.0133514
7,-10.9999,2551,2616,0.14019,0.25177,0.160217,0.00286102,0.0915527,36,0.0543594,0.0143051
8,-11.9999,2366,2488,0.151634,0.270844,0.172615,0.00286102,0.0982285,36,0.0600815,0.0152588
9,-12.9999,2484,2365,0.160217,0.242233,0.150681,0.00286102,0.0915527,36,0.0534058,0.0133514
10,-13.9998,2538,2448,0.143051,0.250816,0.15831,0.00286102,0.0925064,36,0.0553131,0.0143051
11,-14.9997,2595,2508,0.14019,0.245094,0.156403,0.00286102,0.0886917,36,0.0514984,0.0123978
12,-15.9998,2404,2255,0.148773,0.267029,0.175476,0.0038147,0.0915527,36,0.0572205,0.0133514
13,-16.9999,2473,2545,0.152588,0.25177,0.152588,0.00190735,0.0991821,36,0.0553131,0.0152588
14,-17.9996,2008,2456,0.167847,0.329971,0.236511,0.0038147,0.0934601,35,0.0534058,0.0152588
15,-18.9996,2372,2510,0.160217,0.261307,0.171661,0.00190735,0.0896454,35,0.0553131,0.0133514
16,-19.9998,2394,2455,0.141144,0.276566,0.171661,0.00190735,0.104904,35,0.0572205,0.0190735
17,-21,2688,2492,0.1297,0.242233,0.146866,0.0038147,0.0953674,36,0.0495911,0.0133514
18,-21.9999,2394,2519,0.162125,0.255585,0.162125,0.0038147,0.0934601,37,0.0572205,0.0152588
19,-22.9998,2508,2364,0.137329,0.261307,0.162125,0.00190735,0.0991821,36,0.0534058,0.0114441
20,-23.9999,2557,2317,0.143051,0.247955,0.156403,0.0038147,0.0915527,36,0.0572205,0.0133514
21,-24.9997,2545,2301,0.144958,0.247955,0.160217,0.0038147,0.087738,35,0.0553131,0.0133514
22,-25.9998,2427,2528,0.150681,0.261307,0.164032,0.0038147,0.0972748,35,0.0553131,0.0152588
23,-26.9997,2621,2536,0.150681,0.230789,0.144958,0.0038147,0.0858307,35,0.0514984,0.0133514
24,-27.9996,2788,2261,0.133514,0.225067,0.141144,0.00190735,0.0839233,35,0.0514984,0.0114441
25,-29,2484,2241,0.141144,0.261307,0.173569,0.0038147,0.087738,35,0.0534058,0.0133514
26,-29.9998,2716,2585,0.135422,0.232697,0.146866,0.0038147,0.0858307,35,0.0514984,0.0152588
27,-30.9996,2473,2265,0.146866,0.257492,0.165939,0.0038147,0.0915527,35,0.0553131,0.0133514
28,-31.9996,2473,2569,0.152588,0.25177,0.160217,0.0038147,0.0915527,33,0.0534058,0.0152588
29,-32.9999,2383,2469,0.148773,0.270844,0.179291,0.0038147,0.0915527,34,0.0610352,0.0114441
30,-34,2496,2568,0.141144,0.259399,0.164032,0,0.0953674,35,0.0534058,0.0114441
