Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99896,240,302,3.0179,1.1363,0.639439,0.0200272,0.496864,35,0.264645,0.0762939
2,-5.9998,296,307,2.68841,0.687599,0.25177,0.0228882,0.435829,34,0.104904,0.0267029
3,-6.99776,263,304,2.36225,1.43623,0.417233,0.0171661,1.019,34,0.221252,0.0476837
4,-7.99916,262,311,2.79713,1.0128,0.419617,0.0295639,0.593185,34,0.125885,0.0495911
5,-8.99863,260,302,2.57969,1.2579,0.554085,0.0371933,0.703812,35,0.229836,0.114441
6,-9.9972,255,302,3.21102,0.710487,0.277519,0.0123978,0.432968,37,0.116348,0.0314713
7,-10.9969,257,292,3.19481,0.692368,0.25177,0.0114441,0.440598,36,0.105858,0.0276566
8,-11.9975,260,296,3.09467,0.741959,0.267029,0.0123978,0.47493,36,0.105858,0.041008
9,-12.9985,249,284,2.79713,1.20544,0.529289,0.0391006,0.676155,36,0.207901,0.117302
10,-13.9983,256,290,2.69794,1.19972,0.582695,0.0448227,0.617027,36,0.242233,0.12207
11,-14.9989,242,270,2.88773,1.22929,0.585556,0.038147,0.64373,36,0.245094,0.114441
12,-15.9984,245,302,2.66838,1.40381,0.492096,0.0343323,0.911713,36,0.177383,0.0801086
13,-16.9972,250,296,3.25775,0.738144,0.295639,0.0152588,0.442505,36,0.102997,0.0286102
14,-17.9982,244,282,2.98309,1.10626,0.253677,0.0114441,0.852585,35,0.104904,0.0286102
15,-18.9995,283,285,2.82288,0.703812,0.257492,0.0133514,0.44632,35,0.104904,0.0267029
16,-19.9981,253,285,2.57874,1.36757,0.482559,0.0190735,0.88501,35,0.156403,0.0705719
17,-20.9974,254,282,3.21007,0.7267,0.253677,0.0114441,0.473022,36,0.108719,0.0267029
18,-21.9979,252,275,2.53868,1.41716,0.303268,0.0152588,1.11389,37,0.131607,0.0762939
19,-22.9993,252,292,2.77328,1.18446,0.696182,0.0152588,0.488281,36,0.190735,0.0476837
20,-23.9985,268,309,2.4662,1.26457,0.606537,0.0400543,0.658035,36,0.185013,0.0896454
21,-24.9978,274,321,2.35748,1.28937,0.486374,0.0171661,0.802994,35,0.167847,0.108719
22,-25.9987,248,338,0.850677,3.17764,1.48964,0.0267029,1.688,35,0.619888,0.179291
23,-26.9994,155,197,1.04713,5.373,1.29509,0.0286102,4.07791,35,0.810623,0.152588
24,-27.9994,262,224,1.31226,2.49863,1.0891,0.0324249,1.40953,35,0.415802,0.118256
25,-28.9973,224,273,1.11961,3.33786,0.782013,0.0286102,2.55585,35,0.423431,0.146866
26,-29.9971,273,188,0.62561,3.02887,1.11008,0.0553131,1.91879,35,0.392914,0.207901
27,-30.9997,337,271,0.497818,2.46239,0.84877,0.0209808,1.61362,35,0.257492,0.0915527
28,-31.998,228,280,0.648499,3.71933,0.984192,0.038147,2.73514,33,0.442505,0.160217
29,-32.9985,225,294,0.709534,3.73077,1.8425,0.0267029,1.88828,34,0.492096,0.0915527
30,-33.9998,277,310,0.770569,2.82669,0.934601,0.0267029,1.89209,35,0.31662,0.0801086
31,-34.9976,236,300,0.808716,3.41797,2.06375,0.0267029,1.35422,36,0.587463,0.102997
32,-35.9997,239,305,0.602722,3.57056,1.63651,0.0228882,1.93405,36,0.305176,0.0839233
33,-36.9974,250,330,0.728607,3.26157,1.12534,0.0343323,2.13623,36,0.541687,0.37384
34,-37.9971,224,287,0.473022,3.98636,0.720978,0.0228882,3.26538,36,0.297546,0.0953674
35,-38.9972,211,319,0.495911,4.23431,0.751495,0.0190735,3.48282,37,0.301361,0.0839233
