Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99976,918,956,0.54884,0.539303,0.283718,0.020504,0.255585,35,0.189781,0.0295639
2,-5.9993,1112,989,0.409126,0.489712,0.254631,0.0114441,0.235081,34,0.175953,0.0209808
3,-6.99936,1139,928,0.416756,0.461102,0.244141,0.0114441,0.216961,34,0.165462,0.0190735
4,-7.99983,1132,1070,0.390053,0.49305,0.272751,0.0114441,0.220299,34,0.164032,0.0200272
5,-8.99995,1183,1040,0.400543,0.444412,0.232697,0.0114441,0.211716,35,0.160217,0.0190735
6,-9.99968,1077,1049,0.415802,0.512123,0.282288,0.0104904,0.229836,37,0.174522,0.0209808
7,-10.9993,1081,1007,0.43869,0.486374,0.258446,0.0104904,0.227928,36,0.165939,0.0190735
8,-11.9996,1139,1046,0.398636,0.478745,0.258446,0.0114441,0.220299,36,0.161171,0.0200272
9,-12.9996,1075,1001,0.430107,0.499725,0.264168,0.0123978,0.235558,36,0.173569,0.0209808
10,-13.9998,1123,1066,0.396729,0.49305,0.261307,0.0123978,0.231743,36,0.185966,0.0209808
11,-14.9996,1002,1085,0.497818,0.499725,0.265121,0.0123978,0.234604,36,0.175476,0.0209808
12,-15.9998,868,1046,0.545502,0.606537,0.242233,0.0133514,0.364304,36,0.169754,0.0190735
13,-16.9999,929,908,0.545502,0.530243,0.274658,0.0152588,0.255585,36,0.171661,0.0209808
14,-17.999,1022,962,0.486374,0.492096,0.261307,0.0133514,0.230789,35,0.171661,0.0209808
15,-19,953,984,0.495911,0.553131,0.297546,0.0133514,0.255585,35,0.175476,0.0209808
16,-19.9991,953,865,0.497818,0.551224,0.301361,0.0152588,0.249863,35,0.185013,0.0209808
17,-20.9998,954,973,0.50354,0.543594,0.30899,0.0133514,0.234604,36,0.181198,0.0209808
18,-21.9994,1085,1062,0.417709,0.50354,0.272751,0.0133514,0.230789,37,0.167847,0.0209808
19,-22.9996,903,969,0.528336,0.577927,0.297546,0.0190735,0.28038,36,0.183105,0.0228882
20,-23.9998,1103,1093,0.459671,0.44632,0.22316,0.0286102,0.22316,36,0.167847,0.0190735
21,-24.9995,1010,1118,0.476837,0.513077,0.238419,0.0114441,0.274658,35,0.156403,0.0171661
22,-25.9992,1224,1052,0.37384,0.442505,0.230789,0.0114441,0.211716,35,0.154495,0.0190735
23,-26.9996,1096,1114,0.448227,0.463486,0.236511,0.00953674,0.226974,35,0.150681,0.0171661
