Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99988,747,719,0.805378,0.533104,0.276089,0.0157356,0.257015,35,0.156403,0.0252724
2,-5.9993,665,691,1.17636,0.325203,0.173569,0.0119209,0.151634,34,0.110149,0.0143051
3,-6.99933,684,714,1.10531,0.355721,0.192642,0.0152588,0.163078,34,0.113487,0.0157356
4,-7.99908,637,674,0.853539,0.714302,0.364304,0.0228882,0.349998,34,0.224113,0.0343323
5,-8.99874,692,725,1.12247,0.322342,0.165939,0.00762939,0.156403,35,0.104904,0.0143051
6,-9.99949,655,685,0.884056,0.640869,0.39196,0.0190735,0.248909,37,0.23365,0.0333786
7,-10.9987,644,683,1.20926,0.343323,0.180244,0.00762939,0.163078,36,0.102043,0.0162125
8,-12,700,697,0.977516,0.449181,0.234604,0.0152588,0.214577,36,0.137329,0.0190735
9,-12.9987,692,697,1.08337,0.361443,0.187874,0.00762939,0.173569,36,0.107765,0.0162125
10,-13.9996,631,688,1.24264,0.340462,0.181198,0.0114441,0.159264,36,0.107765,0.0143051
11,-14.9993,681,634,0.742912,0.723839,0.374794,0.0181198,0.349045,36,0.226021,0.0324249
12,-15.9989,675,681,1.1673,0.312805,0.15831,0.00953674,0.154495,36,0.101089,0.0152588
13,-16.9999,665,648,1.15204,0.350952,0.185013,0.0133514,0.165939,36,0.106812,0.0152588
14,-17.9995,644,668,1.194,0.358582,0.192642,0.0114441,0.165939,35,0.108719,0.0152588
15,-18.999,625,659,1.26266,0.335693,0.179291,0.0114441,0.156403,35,0.101089,0.0152588
16,-19.9998,702,677,0.709534,0.713348,0.492096,0.0152588,0.221252,35,0.185013,0.0190735
17,-20.9988,652,681,1.2207,0.310898,0.160217,0.00953674,0.150681,36,0.102997,0.0133514
18,-21.9994,719,671,0.69809,0.692368,0.413895,0.0228882,0.278473,37,0.259399,0.0343323
19,-22.9992,663,710,1.17493,0.331879,0.169754,0.00953674,0.162125,36,0.118256,0.0152588
20,-23.9987,726,660,0.991821,0.385284,0.204086,0.00953674,0.181198,36,0.114441,0.0171661
21,-24.9994,711,715,1.07384,0.331879,0.167847,0.0114441,0.164032,35,0.106812,0.0133514
22,-25.9998,701,680,1.07002,0.354767,0.18692,0.0114441,0.167847,35,0.110626,0.0152588
23,-26.9997,740,696,1.01089,0.339508,0.169754,0.0114441,0.169754,35,0.104904,0.0133514
24,-27.9996,725,732,0.730515,0.648499,0.383377,0.0190735,0.265121,35,0.230789,0.0324249
25,-28.9988,732,720,1.04713,0.318527,0.169754,0.00762939,0.148773,35,0.0991821,0.0152588
26,-29.9998,667,733,1.16539,0.333786,0.173569,0.0114441,0.160217,35,0.102997,0.0133514
27,-30.9991,699,693,1.09673,0.331879,0.173569,0.00762939,0.15831,35,0.101089,0.0133514
28,-31.9995,675,716,1.14441,0.335693,0.175476,0.0114441,0.160217,33,0.102997,0.0114441
29,-32.9993,755,722,0.743866,0.579834,0.301361,0.0114441,0.278473,34,0.167847,0.0267029
30,-33.9994,718,748,0.881195,0.511169,0.263214,0.0114441,0.247955,35,0.148773,0.0267029
31,-34.9995,780,750,0.663757,0.617981,0.312805,0.0228882,0.305176,36,0.190735,0.0305176
