Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99949,1419,1383,0.290871,0.413418,0.317097,0.00619888,0.0963211,35,0.11158,0.0271797
2,-5.99941,1446,1403,0.284195,0.407219,0.312805,0.00619888,0.0944138,34,0.109196,0.0267029
3,-6.99958,1398,1387,0.301361,0.413895,0.317574,0.00619888,0.0963211,34,0.11301,0.026226
4,-7.99967,1401,1405,0.297546,0.415802,0.319481,0.00572205,0.0963211,34,0.11158,0.0257492
5,-8.99935,1379,1411,0.290871,0.433922,0.337601,0.00667572,0.0963211,35,0.113487,0.0276566
6,-9.99966,1356,1391,0.312805,0.424385,0.323296,0.00667572,0.101089,37,0.114441,0.0286102
7,-10.9998,1396,1358,0.292778,0.423431,0.322342,0.00667572,0.101089,36,0.112534,0.0276566
8,-11.9997,1390,1333,0.294685,0.424385,0.322342,0.00667572,0.102043,36,0.113487,0.0276566
9,-12.9993,1422,1383,0.288963,0.413895,0.314713,0.00667572,0.0991821,36,0.112534,0.0276566
10,-13.9998,1399,1374,0.294685,0.419617,0.319481,0.00667572,0.100136,36,0.11158,0.0276566
11,-14.9994,1339,1401,0.301361,0.445366,0.346184,0.00572205,0.0991821,36,0.11158,0.0276566
12,-15.9995,1405,1396,0.295639,0.415802,0.31662,0.00762939,0.0991821,36,0.114441,0.0267029
13,-16.9999,1401,1386,0.295639,0.417709,0.318527,0.00762939,0.0991821,36,0.114441,0.0267029
14,-17.9996,1394,1390,0.297546,0.419617,0.318527,0.00572205,0.101089,35,0.116348,0.0267029
15,-18.9995,1394,1379,0.297546,0.419617,0.320435,0.00762939,0.0991821,35,0.114441,0.0267029
16,-19.9997,1398,1402,0.295639,0.419617,0.320435,0.00762939,0.0991821,35,0.114441,0.0267029
17,-20.9994,1347,1379,0.295639,0.44632,0.343323,0.00762939,0.102997,36,0.112534,0.0286102
18,-21.9994,1394,1381,0.297546,0.419617,0.318527,0.00572205,0.101089,37,0.116348,0.0267029
19,-22.9996,1394,1379,0.293732,0.423431,0.324249,0.00762939,0.0991821,36,0.112534,0.0286102
20,-23.9997,1398,1391,0.297546,0.417709,0.318527,0.00762939,0.0991821,36,0.114441,0.0286102
21,-24.9996,1424,1371,0.289917,0.411987,0.312805,0.00762939,0.0991821,35,0.114441,0.0267029
22,-25.9999,1405,1392,0.293732,0.417709,0.318527,0.00762939,0.0991821,35,0.112534,0.0267029
23,-26.9995,1317,1396,0.318527,0.440598,0.341415,0.00762939,0.0991821,35,0.112534,0.0286102
24,-27.9999,1330,1390,0.329971,0.421524,0.320435,0.00572205,0.101089,35,0.112534,0.0286102
25,-28.9994,1424,1389,0.289917,0.411987,0.312805,0.00762939,0.0991821,35,0.110626,0.0267029
26,-29.9994,1413,1381,0.291824,0.415802,0.31662,0.00572205,0.0991821,35,0.112534,0.0267029
27,-31,1398,1362,0.295639,0.419617,0.320435,0.00762939,0.0991821,35,0.110626,0.0286102
28,-31.9998,1409,1408,0.289917,0.419617,0.320435,0.00762939,0.0991821,33,0.110626,0.0267029
29,-33,1401,1390,0.297546,0.415802,0.31662,0.00762939,0.0991821,34,0.114441,0.0267029
30,-33.9994,1401,1398,0.293732,0.419617,0.320435,0.00762939,0.0991821,35,0.110626,0.0305176
31,-34.9997,1387,1398,0.293732,0.427246,0.328064,0.00762939,0.0991821,36,0.110626,0.0305176
32,-35.9996,1278,1377,0.358582,0.423431,0.320435,0.0038147,0.102997,36,0.133514,0.0305176
33,-37,1401,1365,0.297546,0.415802,0.31662,0.00762939,0.0991821,36,0.114441,0.0267029
34,-37.9993,1394,1373,0.293732,0.423431,0.320435,0.0038147,0.102997,36,0.114441,0.0305176
35,-38.9993,1387,1379,0.293732,0.427246,0.328064,0.00762939,0.0991821,37,0.110626,0.0305176
36,-39.9997,1409,1390,0.293732,0.415802,0.31662,0.0038147,0.0991821,37,0.114441,0.0267029
37,-40.9999,1394,1376,0.301361,0.415802,0.31662,0.00762939,0.0991821,37,0.110626,0.0305176
38,-41.9994,1260,1393,0.377655,0.415802,0.31662,0.00762939,0.0991821,37,0.110626,0.0305176
39,-42.9997,1387,1393,0.297546,0.423431,0.324249,0.00762939,0.0991821,37,0.110626,0.0305176
40,-43.9995,1401,1394,0.293732,0.419617,0.31662,0.00762939,0.102997,36,0.110626,0.0267029
41,-44.9998,1401,1374,0.289917,0.423431,0.324249,0.00762939,0.0991821,37,0.110626,0.0305176
42,-45.9993,1401,1381,0.293732,0.419617,0.320435,0.00762939,0.0991821,38,0.110626,0.0305176
43,-46.9997,1387,1381,0.301361,0.419617,0.31662,0.00762939,0.102997,37,0.12207,0.0267029
44,-47.9999,1317,1374,0.31662,0.442505,0.339508,0.0038147,0.102997,37,0.114441,0.0267029
45,-48.9994,1285,1394,0.358582,0.419617,0.320435,0.00762939,0.0991821,36,0.114441,0.0305176
46,-49.9993,1387,1382,0.301361,0.419617,0.320435,0.00762939,0.0991821,38,0.114441,0.0305176
47,-50.9994,1372,1406,0.289917,0.43869,0.335693,0.0038147,0.102997,30,0.110626,0.0267029
48,-51.9999,1424,1408,0.289917,0.411987,0.312805,0.00762939,0.0991821,30,0.110626,0.0228882
49,-52.9993,1416,1382,0.289917,0.415802,0.320435,0.00762939,0.0953674,30,0.106812,0.0267029
50,-53.9996,1409,1402,0.293732,0.415802,0.31662,0.0038147,0.0991821,32,0.110626,0.0228882
51,-55,1394,1393,0.297546,0.419617,0.320435,0.00762939,0.0991821,33,0.114441,0.0267029
52,-55.9993,1387,1400,0.301361,0.419617,0.320435,0.0038147,0.0991821,33,0.110626,0.0228882
53,-56.9999,1401,1407,0.297546,0.415802,0.31662,0.00762939,0.0991821,33,0.110626,0.0267029
54,-58,1387,1400,0.305176,0.415802,0.31662,0.00762939,0.0991821,33,0.110626,0.0267029
55,-58.9999,1358,1410,0.324249,0.411987,0.312805,0.00762939,0.0991821,32,0.114441,0.0267029
56,-59.9999,1409,1388,0.289917,0.419617,0.31662,0.0038147,0.102997,32,0.114441,0.0267029
57,-60.9999,1416,1364,0.286102,0.419617,0.31662,0.0038147,0.102997,32,0.114441,0.0267029
58,-61.9997,1401,1372,0.293732,0.419617,0.320435,0.00762939,0.0991821,34,0.114441,0.0267029
59,-62.9999,1409,1391,0.289917,0.419617,0.320435,0.0038147,0.0991821,35,0.110626,0.0305176
60,-63.9994,1394,1392,0.297546,0.419617,0.320435,0.00762939,0.0991821,35,0.114441,0.0305176
61,-64.9995,1424,1399,0.289917,0.411987,0.312805,0,0.0991821,35,0.114441,0.0305176
62,-65.9999,1424,1373,0.289917,0.411987,0.312805,0.00762939,0.0991821,35,0.114441,0.0228882
63,-66.9995,1394,1397,0.297546,0.419617,0.312805,0.00762939,0.106812,35,0.114441,0.0228882
64,-67.9998,1272,1392,0.366211,0.419617,0.320435,0.00762939,0.0991821,36,0.114441,0.0305176
65,-68.9994,1394,1397,0.289917,0.427246,0.328064,0.00762939,0.0991821,36,0.114441,0.0305176
66,-69.9999,1394,1379,0.289917,0.427246,0.320435,0,0.106812,35,0.114441,0.0228882
67,-70.9994,1394,1400,0.297546,0.419617,0.312805,0,0.106812,35,0.114441,0.0228882
68,-71.9999,1409,1372,0.289917,0.419617,0.320435,0.00762939,0.0991821,36,0.114441,0.0305176
