Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99686,266,261,2.6722,1.07622,0.657082,0.0195503,0.41914,35,0.280857,0.0739098
2,-5.99667,286,267,1.79958,1.68562,1.11246,0.0271797,0.573158,34,0.440121,0.126839
3,-6.99875,330,298,1.27459,1.75381,1.05,0.026226,0.703812,34,0.420094,0.120163
4,-7.99952,295,296,1.36566,2.02274,1.39332,0.0295639,0.629425,34,0.432014,0.166893
5,-8.99988,305,282,1.95122,1.32656,0.855446,0.0238419,0.471115,35,0.287056,0.100136
6,-9.99853,288,290,2.38132,1.08814,0.654221,0.0181198,0.433922,37,0.287056,0.0810623
7,-10.9993,284,272,1.99699,1.52302,0.782013,0.0219345,0.741005,36,0.28038,0.0753403
8,-11.9985,290,282,2.34509,1.10149,0.664711,0.0181198,0.436783,36,0.282288,0.0810623
9,-12.9981,306,271,1.35517,1.90735,1.14918,0.0286102,0.758171,36,0.447273,0.167847
10,-13.9982,288,314,2.34127,1.12343,0.648499,0.0200272,0.47493,36,0.276566,0.0762939
11,-14.9976,283,265,2.42805,1.09863,0.654221,0.0200272,0.444412,36,0.276566,0.0772476
12,-15.9974,264,281,2.67792,1.10626,0.66185,0.0190735,0.444412,36,0.276566,0.0782013
13,-16.9987,299,276,1.42097,1.91879,1.15967,0.0343323,0.759125,36,0.442505,0.133514
14,-17.9974,273,270,2.55775,1.09482,0.648499,0.0209808,0.44632,35,0.276566,0.0724792
15,-18.9989,283,268,1.09673,2.42805,1.41525,0.0362396,1.0128,35,0.455856,0.171661
16,-19.9982,279,259,2.47383,1.09863,0.646591,0.0190735,0.452042,35,0.282288,0.0743866
17,-20.9988,287,265,2.28119,1.194,0.743866,0.0228882,0.450134,36,0.301361,0.0801086
18,-21.9997,291,270,2.11525,1.31607,0.862122,0.0209808,0.453949,37,0.448227,0.0896454
19,-22.9998,283,262,2.32506,1.20544,0.734329,0.0228882,0.471115,36,0.429153,0.148773
20,-23.9988,293,280,2.29454,1.11198,0.669479,0.0190735,0.442505,36,0.286102,0.0782013
21,-24.997,324,287,0.988007,2.09427,1.11008,0.0286102,0.984192,35,0.44632,0.127792
22,-25.9983,304,299,2.18773,1.091,0.648499,0.0247955,0.442505,35,0.276566,0.0743866
23,-26.9989,326,299,1.80817,1.25694,0.7267,0.0228882,0.530243,35,0.396729,0.15831
24,-27.9994,339,324,1.85585,1.0891,0.650406,0.0190735,0.43869,35,0.284195,0.0743866
25,-28.998,323,322,1.93214,1.15585,0.724792,0.0190735,0.431061,35,0.274658,0.0743866
26,-29.9984,311,312,2.13242,1.08147,0.646591,0.0171661,0.434875,35,0.270844,0.0801086
