Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99994,1142,1157,0.475883,0.399113,0.272274,0.0133514,0.126839,35,0.188351,0.023365
2,-5.99951,1071,1138,0.445843,0.487328,0.358105,0.0162125,0.129223,34,0.180721,0.0224113
3,-7,1219,1025,0.447273,0.37241,0.255108,0.0114441,0.117302,34,0.176907,0.0214577
4,-7.99969,953,1151,0.541687,0.507355,0.357628,0.0162125,0.149727,34,0.185966,0.0219345
5,-8.99942,1039,1133,0.480652,0.481606,0.342369,0.0133514,0.139236,35,0.184059,0.0219345
6,-9.99994,1168,1040,0.473976,0.38147,0.26226,0.0123978,0.119209,37,0.180244,0.0238419
7,-10.9995,1121,1088,0.465393,0.426292,0.290871,0.0123978,0.135422,36,0.184059,0.0219345
8,-11.9997,1046,984,0.57888,0.376701,0.258446,0.0133514,0.118256,36,0.180244,0.0228882
9,-12.9997,1081,1093,0.424385,0.500679,0.364304,0.0219345,0.136375,36,0.182152,0.0238419
10,-13.9992,1061,935,0.531197,0.411034,0.290871,0.0123978,0.120163,36,0.178337,0.0219345
11,-14.9996,1183,1040,0.465393,0.379562,0.259399,0.0114441,0.120163,36,0.178337,0.0219345
12,-15.9992,1008,1094,0.492096,0.499725,0.360489,0.0171661,0.139236,36,0.211716,0.0247955
13,-16.9996,1117,983,0.518799,0.375748,0.255585,0.0133514,0.120163,36,0.179291,0.0209808
14,-17.9999,1094,1082,0.488281,0.425339,0.276566,0.0133514,0.148773,35,0.179291,0.0209808
15,-19,981,1097,0.574112,0.444412,0.297546,0.0171661,0.146866,35,0.179291,0.0228882
16,-19.9996,1199,996,0.459671,0.37384,0.255585,0.0133514,0.118256,35,0.177383,0.0209808
17,-20.9998,1159,1106,0.476837,0.385284,0.261307,0.0133514,0.123978,36,0.179291,0.0228882
18,-21.9999,1134,1083,0.480652,0.400543,0.278473,0.0133514,0.12207,37,0.204086,0.0247955
