Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99919,605,717,1.40333,0.248909,0.177383,0.0143051,0.0715256,35,0.119686,0.0166893
2,-5.9995,600,692,1.42908,0.236511,0.167847,0.0143051,0.0686646,34,0.118732,0.0143051
3,-6.99983,687,698,1.12295,0.331879,0.185966,0.017643,0.145912,34,0.124454,0.0300407
4,-7.99921,593,697,1.43909,0.246048,0.170708,0.0181198,0.0753403,34,0.114441,0.0152588
5,-8.99949,614,685,1.38283,0.245094,0.172615,0.0143051,0.0724792,35,0.120163,0.0152588
6,-9.99938,562,692,1.53255,0.245094,0.169754,0.0190735,0.0753403,37,0.125885,0.0152588
7,-10.9988,593,718,1.27029,0.413895,0.305176,0.0152588,0.108719,36,0.1688,0.0228882
8,-11.9995,568,704,1.4267,0.330925,0.236511,0.0133514,0.0944138,36,0.142097,0.0200272
9,-12.9986,766,723,0.857353,0.447273,0.319481,0.0219345,0.127792,36,0.191689,0.0257492
10,-13.999,601,703,1.39332,0.268936,0.184059,0.0143051,0.084877,36,0.119209,0.0152588
11,-14.9995,597,701,1.4267,0.247955,0.174522,0.0181198,0.0734329,36,0.116348,0.0162125
12,-15.9998,567,681,1.37711,0.385284,0.265121,0.0190735,0.120163,36,0.169754,0.0267029
13,-16.9999,571,693,1.46675,0.282288,0.209808,0.0114441,0.0724792,36,0.114441,0.0152588
14,-17.9991,591,662,1.40953,0.282288,0.198364,0.0190735,0.0839233,35,0.123978,0.0152588
15,-18.9999,564,675,1.48964,0.28038,0.202179,0.0133514,0.0782013,35,0.116348,0.0152588
16,-19.9988,564,637,1.43433,0.337601,0.242233,0.0171661,0.0953674,35,0.135422,0.0190735
17,-20.9991,576,688,1.25885,0.476837,0.392914,0.0152588,0.0839233,36,0.146866,0.0171661
18,-21.9998,582,682,1.39618,0.320435,0.236511,0.0152588,0.0839233,37,0.144958,0.0171661
