Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99728,261,295,3.41225,0.418663,0.258446,0.0109673,0.160217,35,0.101566,0.0271797
2,-5.99719,268,290,3.30877,0.421047,0.258446,0.0109673,0.162601,34,0.103474,0.0286102
3,-6.99728,253,309,3.53575,0.416756,0.257492,0.0123978,0.159264,34,0.100613,0.0271797
4,-7.99898,260,300,2.97356,0.868797,0.494003,0.0162125,0.374794,34,0.150681,0.0619888
5,-8.99982,252,294,3.18909,0.772476,0.398636,0.0286102,0.37384,35,0.226974,0.0581741
6,-9.998,259,291,3.4132,0.435829,0.257492,0.0114441,0.178337,37,0.102997,0.0305176
7,-10.9997,253,313,3.08228,0.857353,0.419617,0.0419617,0.437737,36,0.120163,0.0495911
8,-11.9973,243,266,3.68595,0.423431,0.253677,0.0114441,0.169754,36,0.102997,0.0276566
9,-12.9971,254,295,3.26824,0.657082,0.411034,0.0152588,0.246048,36,0.164032,0.0505447
10,-13.9995,248,302,3.33214,0.699997,0.281334,0.0162125,0.418663,36,0.139236,0.0524521
11,-14.9997,246,298,3.17955,0.878334,0.634193,0.0200272,0.244141,36,0.227928,0.102997
12,-15.9984,253,290,3.52478,0.423431,0.253677,0.0133514,0.169754,36,0.102997,0.0286102
13,-16.9994,245,294,3.15285,0.91362,0.394821,0.038147,0.518799,36,0.118256,0.0553131
14,-17.9989,234,288,3.26729,0.999451,0.514984,0.0171661,0.484467,35,0.169754,0.0514984
15,-18.9996,236,287,3.33595,0.888824,0.60463,0.0324249,0.284195,35,0.228882,0.112534
16,-19.9992,241,286,3.29971,0.835419,0.501633,0.0305176,0.333786,35,0.196457,0.0686646
17,-20.9978,249,299,3.59535,0.415802,0.249863,0.0114441,0.165939,36,0.104904,0.0267029
18,-21.9982,257,294,3.46565,0.421524,0.253677,0.0114441,0.167847,37,0.102997,0.0286102
19,-22.9999,249,305,3.33405,0.673294,0.431061,0.156403,0.242233,36,0.244141,0.0705719
20,-23.9996,262,314,3.0117,0.795364,0.511169,0.0362396,0.284195,36,0.209808,0.0705719
21,-24.9974,336,307,2.55203,0.417709,0.247955,0.0114441,0.169754,35,0.106812,0.0267029
22,-25.9974,350,330,2.388,0.461578,0.268936,0.0190735,0.192642,35,0.104904,0.0343323
23,-26.9996,281,325,2.4929,1.05858,0.484467,0.0209808,0.574112,35,0.198364,0.0724792
24,-27.9974,372,351,2.26212,0.423431,0.257492,0.0133514,0.165939,35,0.102997,0.0305176
25,-28.9984,296,336,2.94685,0.427246,0.261307,0.0114441,0.165939,35,0.102997,0.0286102
26,-29.999,286,346,2.70844,0.787735,0.362396,0.0190735,0.425339,35,0.175476,0.0743866
27,-30.9981,230,330,2.03896,2.30598,0.795364,0.0324249,1.51062,35,0.453949,0.169754
28,-31.9972,315,273,1.98364,1.18637,0.713348,0.0267029,0.473022,33,0.297546,0.0762939
29,-32.9977,209,276,3.01361,1.75095,0.69046,0.0228882,1.06049,34,0.289917,0.0762939
30,-33.9982,240,283,1.81198,2.34604,0.88501,0.0343323,1.46103,35,0.457764,0.167847
31,-34.9994,235,300,1.76239,2.48337,1.83105,0.0228882,0.652313,36,0.717163,0.175476
32,-35.9975,205,299,3.69644,1.17111,0.69809,0.0267029,0.473022,36,0.312805,0.0801086
33,-36.9972,309,296,2.06375,1.17111,0.701904,0.0190735,0.469208,36,0.293732,0.0801086
34,-37.9978,210,286,3.56293,1.194,0.713348,0.0228882,0.480652,36,0.293732,0.0839233
35,-38.9987,248,288,1.6861,2.34604,0.961304,0.038147,1.38474,37,0.44632,0.179291
36,-39.997,304,298,2.11334,1.17111,0.705719,0.0228882,0.465393,37,0.293732,0.0839233
37,-40.9987,239,280,1.85776,2.31934,1.23215,0.0495911,1.08719,37,0.461578,0.286102
38,-41.9972,322,277,1.93405,1.1673,0.701904,0.0190735,0.465393,37,0.293732,0.087738
39,-42.9992,247,320,1.78528,2.25067,1.57547,0.0228882,0.675201,37,0.713348,0.148773
40,-43.9988,223,342,2.28882,2.18582,1.27029,0.0648499,0.915527,36,0.602722,0.247955
41,-44.9982,234,308,2.42996,1.8425,0.701904,0.0228882,1.14059,37,0.293732,0.0839233
42,-45.9991,280,298,1.3504,2.22015,1.49536,0.0267029,0.724792,38,0.534058,0.144958
43,-46.9973,325,315,1.8959,1.17493,0.701904,0.0190735,0.473022,37,0.293732,0.0801086
