Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99917,1093,951,0.435352,0.478745,0.353813,0.0162125,0.124931,35,0.178337,0.0219345
2,-5.99929,1145,1151,0.472546,0.400066,0.285149,0.0162125,0.114918,34,0.174999,0.0214577
3,-6.99924,1099,1135,0.431538,0.478268,0.353336,0.0166893,0.124931,34,0.177383,0.0219345
4,-7.99921,1101,1047,0.472069,0.435829,0.322342,0.0171661,0.113487,34,0.173569,0.0200272
5,-8.99996,1048,1166,0.460625,0.49305,0.367165,0.0152588,0.125885,35,0.178337,0.0219345
6,-9.99933,1152,1178,0.496864,0.370979,0.252724,0.0171661,0.118256,37,0.191689,0.0238419
7,-10.9991,1061,1066,0.43869,0.50354,0.358582,0.0171661,0.144958,36,0.178337,0.0247955
8,-11.9999,1060,1045,0.44632,0.496864,0.360489,0.0181198,0.136375,36,0.181198,0.0238419
9,-12.9995,1178,1163,0.447273,0.401497,0.285149,0.0133514,0.116348,36,0.173569,0.0219345
10,-13.999,1074,1150,0.546455,0.384331,0.26226,0.0171661,0.12207,36,0.179291,0.0228882
11,-14.9993,1191,1047,0.460625,0.378609,0.26226,0.0114441,0.116348,36,0.174522,0.0219345
12,-15.9998,1063,1144,0.53215,0.408173,0.28801,0.0152588,0.120163,36,0.181198,0.0228882
13,-16.9992,1014,1087,0.47493,0.511169,0.377655,0.0190735,0.133514,36,0.183105,0.0247955
14,-17.9996,1134,1114,0.520706,0.360489,0.244141,0.0114441,0.116348,35,0.173569,0.0209808
15,-18.9992,1032,1130,0.471115,0.497818,0.360489,0.0171661,0.137329,35,0.181198,0.0228882
16,-19.9991,1050,973,0.4673,0.484467,0.352859,0.0171661,0.131607,35,0.183105,0.0228882
17,-20.9993,1010,1083,0.501633,0.488281,0.354767,0.0209808,0.133514,36,0.181198,0.0228882
18,-21.9991,967,1104,0.537872,0.495911,0.358582,0.0209808,0.137329,37,0.185013,0.0247955
19,-22.9995,1202,1063,0.463486,0.368118,0.249863,0.0152588,0.118256,36,0.188828,0.0228882
20,-24,998,1096,0.501633,0.499725,0.362396,0.0190735,0.137329,36,0.190735,0.0247955
21,-24.9994,1300,1169,0.411987,0.356674,0.242233,0.0114441,0.114441,35,0.173569,0.0209808
22,-25.9995,1216,932,0.429153,0.392914,0.278473,0.0133514,0.114441,35,0.175476,0.0228882
23,-26.9998,1224,1169,0.417709,0.398636,0.284195,0.0133514,0.114441,35,0.175476,0.0209808
24,-27.9999,1076,1138,0.522614,0.406265,0.263214,0.0133514,0.143051,35,0.179291,0.0209808
25,-28.9997,1046,1096,0.480652,0.47493,0.328064,0.0171661,0.146866,35,0.19455,0.0228882
26,-29.9992,1197,1169,0.448227,0.387192,0.267029,0.0171661,0.120163,35,0.179291,0.0305176
27,-30.9999,1233,1147,0.440598,0.370026,0.249863,0.0152588,0.120163,35,0.18692,0.0228882
28,-31.9998,1272,1038,0.419617,0.366211,0.247955,0.0114441,0.118256,33,0.179291,0.0228882
29,-32.9993,1310,1171,0.396729,0.366211,0.25177,0.0114441,0.114441,34,0.175476,0.0228882
30,-33.9998,1065,1161,0.450134,0.488281,0.354767,0.0152588,0.133514,35,0.183105,0.0228882
31,-34.9999,1032,1063,0.461578,0.507355,0.37384,0.0190735,0.133514,36,0.183105,0.0343323
32,-35.9996,1110,1157,0.453949,0.44632,0.312805,0.0152588,0.133514,36,0.183105,0.0228882
33,-36.9994,1230,1144,0.434875,0.377655,0.263214,0.0190735,0.114441,36,0.175476,0.0228882
34,-37.9998,1139,1139,0.469208,0.408173,0.289917,0.0152588,0.118256,36,0.19455,0.0190735
35,-38.9996,1115,1176,0.488281,0.408173,0.289917,0.0152588,0.118256,37,0.183105,0.0228882
36,-39.9995,1115,1016,0.44632,0.450134,0.30899,0.0190735,0.141144,37,0.19455,0.0228882
37,-40.9995,1310,1170,0.392914,0.370026,0.25177,0.0114441,0.118256,37,0.179291,0.0228882
38,-41.9993,1236,1158,0.43869,0.370026,0.25177,0.0152588,0.118256,37,0.183105,0.0228882
