Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99875,752,684,1.09434,0.234127,0.161648,0.00858307,0.0724792,35,0.102997,0.0143051
2,-5.99993,784,727,1.01757,0.257015,0.180721,0.00715256,0.0762939,34,0.101089,0.0152588
3,-6.99908,734,726,1.06573,0.295639,0.208378,0.00762939,0.0872612,34,0.120163,0.0171661
4,-7.99923,718,692,1.12343,0.267982,0.189781,0.00667572,0.0782013,34,0.109673,0.0152588
5,-8.99873,708,701,1.16253,0.247955,0.180244,0.00667572,0.0677109,35,0.102997,0.0152588
6,-9.9988,702,710,1.16634,0.257492,0.179291,0.00858307,0.0782013,37,0.101089,0.0162125
7,-10.9999,703,659,1.17207,0.248909,0.179291,0.00762939,0.0696182,36,0.101089,0.0152588
8,-11.9999,723,709,1.12438,0.258446,0.182152,0.00762939,0.0762939,36,0.100136,0.0162125
9,-12.9999,704,700,1.17111,0.248909,0.178337,0.00762939,0.0705719,36,0.103951,0.0152588
10,-13.9991,717,710,1.12724,0.267029,0.18692,0.00762939,0.0801086,36,0.109673,0.0162125
11,-14.9995,726,703,1.10626,0.270844,0.19455,0.00858307,0.0762939,36,0.110626,0.0171661
12,-15.9989,706,709,1.14059,0.274658,0.200272,0.00762939,0.0743866,36,0.110626,0.0171661
13,-16.9988,712,705,1.11961,0.284195,0.205994,0.00762939,0.0782013,36,0.114441,0.0190735
14,-17.9991,698,693,1.1673,0.265121,0.190735,0.00762939,0.0743866,35,0.110626,0.0171661
15,-18.9999,693,692,1.06621,0.375748,0.268936,0.00953674,0.106812,35,0.156403,0.0228882
16,-19.9987,677,626,1.21307,0.263214,0.185013,0.00953674,0.0782013,35,0.106812,0.0152588
17,-20.9991,675,687,1.21498,0.265121,0.192642,0.00572205,0.0724792,36,0.110626,0.0171661
18,-21.9995,669,671,1.25885,0.234604,0.160217,0.00762939,0.0743866,37,0.0991821,0.0133514
19,-22.9998,727,681,1.12534,0.249863,0.179291,0.00762939,0.0705719,36,0.104904,0.0171661
20,-23.9992,713,700,1.12343,0.278473,0.200272,0.00572205,0.0782013,36,0.114441,0.0171661
21,-24.9987,738,657,1.0376,0.31662,0.240326,0.00762939,0.0762939,35,0.108719,0.0171661
22,-25.9989,760,727,1.05667,0.257492,0.185013,0.00762939,0.0724792,35,0.106812,0.0152588
23,-27,805,716,0.982285,0.259399,0.185013,0.00572205,0.0743866,35,0.106812,0.0152588
24,-27.9995,727,748,1.13106,0.244141,0.175476,0.00762939,0.0686646,35,0.101089,0.0152588
25,-28.9999,736,727,1.10817,0.249863,0.181198,0.00762939,0.0686646,35,0.101089,0.0152588
26,-29.9993,755,739,1.05858,0.265121,0.190735,0.00762939,0.0743866,35,0.106812,0.0152588
