Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.9995,1468,1445,0.284672,0.396252,0.304699,0.00572205,0.0915527,35,0.105381,0.0267029
2,-5.99976,1505,1463,0.270844,0.393391,0.303745,0.00572205,0.0896454,34,0.105381,0.026226
3,-6.99992,1461,1437,0.274658,0.409603,0.315189,0.00572205,0.0944138,34,0.108242,0.0276566
4,-7.99937,1495,1453,0.273705,0.394821,0.304222,0.00572205,0.0905991,34,0.102997,0.0257492
5,-8.9995,1466,1468,0.281334,0.400543,0.308037,0.00572205,0.0925064,35,0.105858,0.0276566
6,-9.99934,1456,1460,0.28038,0.406265,0.310898,0.00762939,0.0953674,37,0.106812,0.0314713
7,-10.9996,1487,1447,0.272751,0.39959,0.306129,0.00667572,0.0934601,36,0.103951,0.0276566
8,-11.9996,1299,1418,0.358582,0.411034,0.314713,0.00667572,0.0963211,36,0.108719,0.0276566
9,-12.9996,1456,1441,0.281334,0.405312,0.309944,0.00667572,0.0953674,36,0.109673,0.0286102
10,-13.9996,1470,1449,0.277519,0.402451,0.307083,0.00858307,0.0953674,36,0.105858,0.0276566
11,-14.9998,1472,1453,0.281334,0.397682,0.304222,0.00667572,0.0934601,36,0.105858,0.0276566
12,-15.9993,1464,1469,0.278473,0.404358,0.30899,0.00572205,0.0953674,36,0.106812,0.0286102
13,-16.9997,1464,1469,0.284195,0.398636,0.305176,0.00762939,0.0934601,36,0.106812,0.0267029
14,-17.9997,1481,1463,0.274658,0.400543,0.305176,0.00572205,0.0953674,35,0.104904,0.0267029
15,-18.9993,1485,1449,0.276566,0.396729,0.305176,0.00762939,0.0915527,35,0.102997,0.0267029
16,-20,1489,1455,0.272751,0.398636,0.305176,0.00762939,0.0934601,35,0.102997,0.0267029
17,-20.9994,1485,1465,0.272751,0.400543,0.307083,0.00762939,0.0934601,36,0.104904,0.0286102
18,-21.9999,1452,1448,0.28038,0.408173,0.314713,0.00762939,0.0934601,37,0.106812,0.0286102
19,-22.9996,1460,1473,0.284195,0.400543,0.305176,0.00572205,0.0953674,36,0.104904,0.0286102
20,-23.9999,1472,1448,0.278473,0.400543,0.307083,0.00572205,0.0934601,36,0.106812,0.0286102
21,-25,1493,1474,0.276566,0.392914,0.301361,0.00762939,0.0915527,35,0.104904,0.0267029
22,-25.9995,1493,1435,0.274658,0.394821,0.303268,0.00762939,0.0915527,35,0.104904,0.0267029
23,-26.9994,1472,1471,0.28038,0.398636,0.305176,0.00572205,0.0934601,35,0.106812,0.0267029
24,-27.9996,1472,1462,0.278473,0.400543,0.307083,0.00762939,0.0934601,35,0.106812,0.0267029
25,-29,1481,1428,0.276566,0.398636,0.305176,0.00762939,0.0934601,35,0.106812,0.0267029
26,-29.9995,1323,1453,0.356674,0.398636,0.305176,0.00572205,0.0934601,35,0.108719,0.0267029
27,-30.9999,1361,1461,0.335693,0.398636,0.305176,0.00572205,0.0934601,35,0.104904,0.0267029
28,-31.9999,1497,1460,0.270844,0.396729,0.305176,0.00762939,0.0915527,33,0.102997,0.0267029
29,-32.9993,1489,1472,0.274658,0.396729,0.301361,0.0038147,0.0953674,34,0.106812,0.0228882
30,-33.9996,1489,1468,0.270844,0.400543,0.305176,0.0038147,0.0953674,35,0.102997,0.0267029
31,-34.9998,1481,1422,0.274658,0.400543,0.305176,0.00762939,0.0953674,36,0.106812,0.0267029
32,-35.9996,1448,1457,0.282288,0.408173,0.305176,0.00762939,0.102997,36,0.110626,0.0267029
33,-37,1464,1442,0.278473,0.404358,0.30899,0.0038147,0.0953674,36,0.106812,0.0267029
34,-38,1489,1436,0.274658,0.396729,0.305176,0.00762939,0.0915527,36,0.106812,0.0267029
35,-38.9996,1464,1441,0.274658,0.408173,0.312805,0.0038147,0.0953674,37,0.106812,0.0305176
36,-39.9993,1379,1420,0.30899,0.415802,0.31662,0.0038147,0.0991821,37,0.110626,0.0267029
37,-40.9994,1416,1424,0.293732,0.411987,0.312805,0.00762939,0.0991821,37,0.114441,0.0267029
38,-41.9993,1464,1428,0.274658,0.408173,0.312805,0.0038147,0.0953674,37,0.106812,0.0305176
39,-42.9998,1278,1453,0.37384,0.408173,0.30899,0.00762939,0.0991821,37,0.114441,0.0267029
40,-43.9995,1456,1365,0.278473,0.408173,0.30899,0.0038147,0.0991821,36,0.110626,0.0267029
41,-44.9998,1448,1366,0.278473,0.411987,0.31662,0.00762939,0.0953674,37,0.110626,0.0305176
42,-45.9996,1424,1363,0.286102,0.415802,0.31662,0.0038147,0.0991821,38,0.114441,0.0305176
43,-46.9998,1472,1427,0.278473,0.400543,0.305176,0.00762939,0.0953674,37,0.106812,0.0267029
44,-47.9994,1440,1335,0.282288,0.411987,0.31662,0.00762939,0.0953674,37,0.110626,0.0305176
45,-48.9996,1409,1414,0.297546,0.411987,0.31662,0.0038147,0.0953674,36,0.110626,0.0305176
46,-50,1416,1298,0.293732,0.411987,0.312805,0.0038147,0.0991821,38,0.114441,0.0267029
47,-50.9994,1456,1396,0.274658,0.411987,0.312805,0.0038147,0.0991821,30,0.106812,0.0267029
48,-52,1472,1346,0.278473,0.400543,0.305176,0.00762939,0.0953674,30,0.106812,0.0228882
49,-52.9998,1481,1471,0.274658,0.400543,0.30899,0.00762939,0.0915527,30,0.102997,0.0228882
50,-54,1481,1477,0.282288,0.392914,0.301361,0.00762939,0.0915527,32,0.106812,0.0267029
51,-54.9994,1456,1470,0.282288,0.404358,0.30899,0.00762939,0.0953674,33,0.106812,0.0267029
52,-55.9996,1472,1439,0.274658,0.404358,0.312805,0.00762939,0.0915527,33,0.102997,0.0267029
53,-56.9994,1456,1455,0.278473,0.408173,0.312805,0.00762939,0.0953674,33,0.110626,0.0267029
54,-57.9998,1481,1451,0.278473,0.396729,0.305176,0.00762939,0.0915527,33,0.102997,0.0267029
55,-58.9994,1448,1481,0.274658,0.415802,0.31662,0.0038147,0.0991821,32,0.106812,0.0267029
56,-60,1472,1469,0.274658,0.404358,0.30899,0.00762939,0.0953674,32,0.102997,0.0267029
57,-60.9994,1448,1465,0.282288,0.408173,0.312805,0.0038147,0.0953674,32,0.106812,0.0267029
58,-61.9997,1456,1475,0.278473,0.408173,0.312805,0.00762939,0.0953674,34,0.106812,0.0267029
59,-62.9994,1448,1471,0.282288,0.408173,0.312805,0.0038147,0.0953674,35,0.102997,0.0267029
60,-63.9993,1472,1455,0.274658,0.404358,0.305176,0,0.0991821,35,0.106812,0.0228882
61,-64.9995,1456,1470,0.282288,0.404358,0.312805,0.00762939,0.0915527,35,0.106812,0.0305176
62,-65.9994,1472,1474,0.282288,0.396729,0.305176,0.00762939,0.0915527,35,0.106812,0.0305176
63,-66.9993,1489,1426,0.267029,0.404358,0.312805,0.00762939,0.0915527,35,0.0991821,0.0305176
64,-67.9996,1472,1466,0.282288,0.396729,0.305176,0.00762939,0.0915527,36,0.106812,0.0228882
65,-68.9995,1456,1442,0.274658,0.411987,0.305176,0,0.106812,36,0.106812,0.0228882
66,-69.9996,1424,1454,0.289917,0.411987,0.320435,0.00762939,0.0915527,35,0.106812,0.0305176
67,-70.9997,1440,1455,0.282288,0.411987,0.320435,0.00762939,0.0915527,35,0.106812,0.0305176
68,-71.9995,1472,1477,0.282288,0.396729,0.305176,0.00762939,0.0915527,36,0.106812,0.0305176
69,-72.9997,1440,1433,0.282288,0.411987,0.320435,0.00762939,0.0915527,38,0.106812,0.0305176
70,-73.9997,1472,1461,0.282288,0.396729,0.305176,0.00762939,0.0915527,38,0.106812,0.0305176
71,-74.9998,1337,1450,0.343323,0.404358,0.305176,0,0.0991821,38,0.106812,0.0228882
72,-75.9998,1472,1452,0.274658,0.404358,0.312805,0.00762939,0.0915527,38,0.106812,0.0305176
73,-76.9993,1472,1465,0.282288,0.396729,0.305176,0.00762939,0.0915527,37,0.106812,0.0305176
74,-77.9998,1472,1470,0.274658,0.404358,0.305176,0.00762939,0.0991821,37,0.106812,0.0305176
75,-78.9995,1472,1421,0.282288,0.396729,0.305176,0.00762939,0.0915527,36,0.106812,0.0305176
76,-79.9997,1456,1461,0.282288,0.404358,0.305176,0.00762939,0.0991821,37,0.106812,0.0305176
77,-80.9994,1472,1457,0.274658,0.404358,0.305176,0.00762939,0.0991821,37,0.106812,0.0228882
78,-81.9998,1440,1432,0.297546,0.396729,0.305176,0.00762939,0.0915527,37,0.114441,0.0305176
79,-82.9993,1489,1447,0.274658,0.396729,0.305176,0.00762939,0.0915527,38,0.106812,0.0305176
80,-83.9996,1472,1468,0.282288,0.396729,0.305176,0.00762939,0.0915527,38,0.106812,0.0305176
81,-84.9996,1456,1452,0.289917,0.396729,0.297546,0.00762939,0.0991821,38,0.12207,0.0228882
82,-85.9995,1440,1433,0.274658,0.419617,0.312805,0,0.106812,37,0.106812,0.0305176
83,-86.9997,1489,1433,0.267029,0.404358,0.312805,0.00762939,0.0915527,35,0.0991821,0.0305176
84,-87.9994,1456,1457,0.282288,0.404358,0.305176,0,0.0991821,34,0.114441,0.0305176
85,-88.9995,1456,1474,0.282288,0.404358,0.305176,0.00762939,0.0991821,34,0.106812,0.0228882
86,-89.9996,1456,1454,0.282288,0.404358,0.305176,0,0.0991821,33,0.106812,0.0228882
87,-90.9999,1489,1474,0.274658,0.396729,0.305176,0.00762939,0.0915527,32,0.106812,0.0228882
88,-91.9999,1506,1485,0.274658,0.389099,0.297546,0.00762939,0.0915527,31,0.106812,0.0228882
89,-92.9996,1506,1459,0.267029,0.396729,0.305176,0.00762939,0.0915527,32,0.0991821,0.0228882
90,-93.9998,1489,1479,0.259399,0.411987,0.312805,0,0.0991821,31,0.0991821,0.0305176
91,-95,1506,1460,0.274658,0.389099,0.297546,0,0.0915527,30,0.0991821,0.0228882
92,-95.9998,1472,1487,0.259399,0.419617,0.312805,0,0.106812,30,0.0991821,0.0305176
93,-96.9995,1489,1489,0.267029,0.404358,0.312805,0.00762939,0.0915527,31,0.0991821,0.0305176
94,-97.9998,1472,1479,0.282288,0.396729,0.305176,0.00762939,0.0915527,31,0.106812,0.0228882
95,-98.9999,1440,1424,0.289917,0.404358,0.312805,0.00762939,0.0915527,32,0.106812,0.0305176
96,-100,1489,1474,0.267029,0.404358,0.305176,0.00762939,0.0991821,32,0.106812,0.0228882
97,-101,1472,1447,0.274658,0.404358,0.305176,0.00762939,0.0991821,34,0.106812,0.0228882
98,-101.999,1456,1465,0.282288,0.404358,0.305176,0.00762939,0.0991821,32,0.106812,0.0228882
99,-103,1472,1461,0.274658,0.404358,0.305176,0.00762939,0.0991821,34,0.106812,0.0305176
100,-103.999,1456,1422,0.289917,0.396729,0.305176,0.00762939,0.0915527,35,0.114441,0.0305176
101,-105,1472,1450,0.274658,0.404358,0.305176,0.00762939,0.0991821,35,0.106812,0.0228882
102,-106,1472,1420,0.274658,0.404358,0.305176,0.00762939,0.0991821,33,0.106812,0.0305176
103,-107,1472,1447,0.282288,0.396729,0.297546,0,0.0991821,33,0.106812,0.0228882
104,-108,1472,1463,0.274658,0.404358,0.305176,0.00762939,0.0991821,33,0.106812,0.0228882
105,-109,1489,1457,0.267029,0.404358,0.305176,0,0.0991821,33,0.106812,0.0305176
106,-109.999,1456,1437,0.282288,0.404358,0.305176,0.00762939,0.0991821,33,0.106812,0.0228882
107,-111,1489,1463,0.267029,0.404358,0.305176,0.00762939,0.0991821,34,0.106812,0.0228882
108,-112,1456,1434,0.274658,0.411987,0.305176,0.00762939,0.106812,35,0.106812,0.0305176
109,-112.999,1472,1461,0.274658,0.404358,0.305176,0.00762939,0.0991821,34,0.106812,0.0228882
110,-113.999,1456,1446,0.282288,0.404358,0.305176,0.00762939,0.0991821,36,0.106812,0.0228882
111,-114.999,1489,1451,0.267029,0.404358,0.305176,0,0.0991821,36,0.106812,0.0228882
112,-116,1456,1434,0.282288,0.404358,0.305176,0.00762939,0.0991821,37,0.106812,0.0305176
113,-116.999,1456,1441,0.282288,0.404358,0.312805,0.00762939,0.0915527,38,0.106812,0.0305176
114,-118,1472,1439,0.274658,0.404358,0.305176,0.00762939,0.0991821,38,0.106812,0.0305176
115,-119,1440,1432,0.282288,0.411987,0.312805,0.00762939,0.0991821,39,0.114441,0.0305176
116,-120,1456,1441,0.274658,0.411987,0.320435,0.00762939,0.0915527,37,0.106812,0.0305176
117,-121,1456,1425,0.282288,0.404358,0.305176,0,0.0991821,37,0.106812,0.0228882
118,-122,1472,1441,0.282288,0.396729,0.297546,0,0.0991821,35,0.106812,0.0228882
119,-123,1440,1456,0.289917,0.404358,0.312805,0.00762939,0.0915527,34,0.0991821,0.0305176
120,-124,1456,1452,0.282288,0.404358,0.305176,0.00762939,0.0991821,34,0.106812,0.0228882
121,-124.999,1489,1446,0.267029,0.404358,0.312805,0.00762939,0.0915527,35,0.0991821,0.0305176
122,-125.999,1456,1431,0.274658,0.411987,0.312805,0.00762939,0.0991821,35,0.106812,0.0228882
123,-127,1472,1435,0.289917,0.389099,0.297546,0.00762939,0.0915527,33,0.106812,0.0228882
124,-127.999,1456,1440,0.274658,0.411987,0.305176,0,0.106812,33,0.106812,0.0305176
125,-129,1489,1449,0.259399,0.411987,0.305176,0,0.106812,34,0.106812,0.0305176
126,-130,1489,1463,0.259399,0.411987,0.305176,0,0.106812,33,0.106812,0.0305176
127,-131,1489,1470,0.244141,0.427246,0.320435,0,0.106812,33,0.0915527,0.0305176
128,-132,1456,1456,0.289917,0.396729,0.305176,0.0152588,0.0915527,33,0.106812,0.0305176
129,-132.999,1489,1468,0.259399,0.411987,0.305176,0,0.106812,34,0.106812,0.0305176
130,-134,1365,1438,0.320435,0.411987,0.305176,0,0.106812,33,0.106812,0.0305176
131,-134.999,1456,1467,0.274658,0.411987,0.305176,0,0.106812,33,0.106812,0.0305176
132,-136,1456,1463,0.289917,0.396729,0.305176,0,0.0915527,33,0.106812,0.0305176
133,-137,1456,1445,0.289917,0.396729,0.305176,0.0152588,0.0915527,33,0.106812,0.0152588
134,-137.999,1456,1442,0.289917,0.396729,0.305176,0.0152588,0.0915527,33,0.106812,0.0152588
135,-139,1456,1443,0.289917,0.396729,0.305176,0,0.0915527,33,0.106812,0.0305176
136,-139.999,1456,1452,0.289917,0.396729,0.305176,0.0152588,0.0915527,33,0.106812,0.0305176
137,-141,1456,1461,0.274658,0.411987,0.305176,0,0.106812,31,0.106812,0.0305176
138,-142,1365,1449,0.305176,0.427246,0.320435,0,0.106812,31,0.0915527,0.0305176
139,-143,1456,1435,0.289917,0.396729,0.289917,0.0152588,0.106812,31,0.106812,0.0152588
140,-143.999,1489,1467,0.259399,0.411987,0.305176,0,0.106812,31,0.106812,0.0305176
141,-144.999,1424,1461,0.305176,0.396729,0.305176,0.0152588,0.0915527,33,0.106812,0.0152588
142,-145.999,1424,1453,0.289917,0.411987,0.305176,0,0.106812,34,0.106812,0.0305176
143,-147,1424,1436,0.274658,0.427246,0.320435,0,0.106812,32,0.106812,0.0305176
144,-148,1365,1452,0.305176,0.427246,0.320435,0,0.106812,34,0.106812,0.0305176
145,-149,1456,1467,0.274658,0.411987,0.320435,0.0152588,0.0915527,34,0.106812,0.0305176
146,-150,1456,1463,0.274658,0.411987,0.305176,0,0.106812,34,0.106812,0.0305176
147,-151,1456,1448,0.274658,0.411987,0.305176,0,0.106812,34,0.106812,0.0305176
148,-152,1456,1474,0.289917,0.396729,0.305176,0.0152588,0.0915527,35,0.106812,0.0152588
149,-152.999,1456,1450,0.274658,0.411987,0.305176,0,0.106812,35,0.106812,0.0305176
150,-154,1424,1442,0.320435,0.38147,0.289917,0.0152588,0.0915527,35,0.12207,0.0152588
151,-155,1456,1444,0.274658,0.411987,0.305176,0,0.106812,35,0.106812,0.0305176
152,-155.999,1424,1456,0.289917,0.411987,0.305176,0,0.106812,36,0.12207,0.0305176
153,-157,1489,1467,0.259399,0.411987,0.305176,0,0.106812,36,0.106812,0.0305176
154,-157.999,1489,1449,0.259399,0.411987,0.305176,0,0.106812,36,0.106812,0.0305176
155,-159,1456,1416,0.259399,0.427246,0.320435,0,0.106812,36,0.106812,0.0305176
156,-160,1456,1470,0.274658,0.411987,0.305176,0,0.106812,34,0.106812,0.0305176
157,-161,1456,1463,0.305176,0.38147,0.289917,0.0152588,0.0915527,34,0.12207,0.0152588
158,-162,1456,1456,0.289917,0.396729,0.305176,0,0.0915527,34,0.106812,0.0305176
159,-163,1456,1463,0.289917,0.396729,0.305176,0.0152588,0.0915527,34,0.106812,0.0152588
160,-163.999,1489,1292,0.274658,0.396729,0.305176,0.0152588,0.0915527,35,0.106812,0.0305176
161,-165,1489,1463,0.259399,0.411987,0.305176,0,0.106812,35,0.106812,0.0305176
162,-166,1424,1439,0.274658,0.427246,0.320435,0,0.106812,36,0.106812,0.0305176
163,-167,1489,1439,0.259399,0.411987,0.305176,0,0.106812,35,0.106812,0.0305176
164,-167.999,1456,1446,0.289917,0.396729,0.305176,0.0152588,0.0915527,35,0.106812,0.0305176
165,-169,1456,1288,0.274658,0.411987,0.305176,0,0.106812,34,0.106812,0.0305176
166,-169.999,1456,1399,0.274658,0.411987,0.305176,0,0.106812,34,0.106812,0.0305176
167,-171,1456,1463,0.274658,0.411987,0.305176,0,0.106812,34,0.106812,0.0305176
168,-171.999,1424,1403,0.305176,0.396729,0.305176,0.0152588,0.0915527,34,0.106812,0.0305176
