Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.9999,2723,2871,0.17643,0.190735,0.152111,0.00286102,0.0386238,35,0.0896454,0.0138283
2,-5.99995,2983,2485,0.136375,0.198841,0.160694,0.00190735,0.038147,34,0.0514984,0.0133514
3,-6.99961,2841,2704,0.158787,0.193119,0.153065,0.00286102,0.0400543,34,0.0524521,0.0128746
4,-7.99973,3206,2861,0.131607,0.180244,0.143051,0.00286102,0.0371933,34,0.0495911,0.0143051
5,-8.99979,2695,3016,0.156403,0.214577,0.170708,0.00286102,0.043869,35,0.0543594,0.0133514
6,-9.99995,2647,2982,0.142097,0.235558,0.195503,0.00286102,0.0400543,37,0.0514984,0.0181198
7,-10.9998,2688,2865,0.177383,0.19455,0.154495,0.00858307,0.0400543,36,0.0524521,0.0162125
8,-11.9997,3256,2317,0.128746,0.178337,0.144005,0.00190735,0.0343323,36,0.0495911,0.0133514
9,-12.9999,2148,2643,0.195503,0.26989,0.227928,0.00572205,0.0419617,36,0.0572205,0.0143051
10,-13.9998,2730,2432,0.17643,0.189781,0.150681,0.00286102,0.0391006,36,0.0524521,0.0133514
11,-14.9998,3048,2628,0.136375,0.191689,0.152588,0.00286102,0.0391006,36,0.0524521,0.0133514
12,-15.9999,2688,2719,0.177383,0.19455,0.156403,0.0038147,0.038147,36,0.0896454,0.0133514
13,-16.9997,2912,2938,0.146866,0.196457,0.15831,0.0038147,0.038147,36,0.0476837,0.0267029
14,-17.9995,2157,2669,0.22316,0.240326,0.196457,0.00572205,0.043869,35,0.0724792,0.0705719
15,-18.9997,2774,2511,0.160217,0.200272,0.160217,0.00190735,0.0400543,35,0.0686646,0.0152588
16,-19.9998,2131,2638,0.207901,0.261307,0.219345,0.0038147,0.0419617,35,0.0514984,0.0133514
17,-20.9999,2557,2821,0.190735,0.200272,0.150681,0.0038147,0.0495911,36,0.0858307,0.0114441
18,-21.9998,3013,2693,0.137329,0.19455,0.15831,0.0038147,0.0362396,37,0.0514984,0.0190735
19,-22.9999,2404,2759,0.190735,0.225067,0.179291,0.0038147,0.0457764,36,0.0896454,0.0152588
20,-23.9999,2716,3003,0.139236,0.228882,0.152588,0.0038147,0.0762939,36,0.0534058,0.0133514
21,-24.9999,3066,2875,0.133514,0.192642,0.148773,0.0038147,0.043869,35,0.0495911,0.0114441
22,-25.9999,2880,2704,0.133514,0.213623,0.139236,0.00190735,0.0743866,35,0.0514984,0.0114441
23,-26.9999,2532,2724,0.19455,0.200272,0.164032,0.0038147,0.0362396,35,0.0839233,0.0133514
24,-27.9997,2896,2761,0.139236,0.205994,0.167847,0.0038147,0.038147,35,0.0534058,0.0171661
25,-29,2582,2991,0.150681,0.236511,0.190735,0.0038147,0.0457764,35,0.0534058,0.0133514
26,-29.9999,2473,2942,0.150681,0.253677,0.160217,0.0038147,0.0934601,35,0.0534058,0.0133514
