Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99991,2520,2987,0.230312,0.166416,0.155926,0.00238419,0.0104904,35,0.0553131,0.0133514
2,-5.99981,3163,3215,0.147343,0.1688,0.15831,0.00286102,0.0104904,34,0.0548363,0.0133514
3,-6.99979,2857,2756,0.178814,0.171185,0.160694,0.00333786,0.0104904,34,0.0553131,0.0133514
4,-7.99971,3256,3097,0.133514,0.173569,0.160217,0.00286102,0.0133514,34,0.0534058,0.0123978
5,-8.99976,1879,3168,0.350952,0.181198,0.170708,0.00190735,0.0104904,35,0.0553131,0.0133514
6,-9.99968,3148,3200,0.148773,0.1688,0.15831,0.00286102,0.0104904,37,0.0553131,0.0143051
7,-10.9997,3093,3322,0.150681,0.172615,0.163078,0.00286102,0.00953674,36,0.0572205,0.0171661
8,-11.9998,3039,3059,0.159264,0.169754,0.157356,0.00286102,0.0123978,36,0.0543594,0.0143051
9,-12.9999,3177,3235,0.146866,0.167847,0.15831,0.00286102,0.00953674,36,0.0553131,0.0143051
10,-13.9998,3472,3181,0.135422,0.152588,0.143051,0.00286102,0.00953674,36,0.0505447,0.0123978
11,-14.9998,3246,3091,0.142097,0.165939,0.156403,0.00286102,0.00953674,36,0.0514984,0.0123978
12,-15.9994,2803,2876,0.190735,0.165939,0.152588,0.00572205,0.0133514,36,0.0534058,0.0133514
13,-16.9995,2532,2979,0.21553,0.179291,0.164032,0.00572205,0.0152588,36,0.0591278,0.0133514
14,-17.9999,3382,3152,0.137329,0.15831,0.146866,0.00190735,0.0114441,35,0.0514984,0.0133514
15,-18.9998,3256,2893,0.146866,0.160217,0.150681,0.00190735,0.00953674,35,0.0514984,0.0114441
16,-19.9999,2661,3079,0.190735,0.185013,0.169754,0.0038147,0.0152588,35,0.0667572,0.0133514
17,-20.9997,3120,3061,0.156403,0.164032,0.152588,0.00190735,0.0114441,36,0.0553131,0.0133514
18,-21.9998,3404,3120,0.139236,0.154495,0.144958,0.00190735,0.00953674,37,0.0514984,0.0133514
19,-22.9998,3297,3040,0.144958,0.15831,0.148773,0.0038147,0.00953674,36,0.0534058,0.0114441
20,-23.9999,3158,3054,0.141144,0.175476,0.160217,0.00190735,0.0152588,36,0.0553131,0.0152588
21,-24.9998,2995,3198,0.15831,0.175476,0.164032,0.0038147,0.0114441,35,0.0553131,0.0152588
22,-25.9997,3139,2999,0.146866,0.171661,0.162125,0.0038147,0.00953674,35,0.0572205,0.0133514
23,-26.9998,3297,3150,0.139236,0.164032,0.154495,0.00190735,0.00953674,35,0.0514984,0.0114441
24,-28,3518,3160,0.133514,0.150681,0.141144,0.0038147,0.00953674,35,0.0495911,0.0114441
25,-28.9997,2557,2678,0.183105,0.207901,0.196457,0.00190735,0.0114441,35,0.0705719,0.0133514
26,-30,2484,2580,0.207901,0.19455,0.183105,0.0038147,0.0114441,35,0.0591278,0.0152588
27,-30.9998,2240,3124,0.242233,0.204086,0.188828,0.00953674,0.0152588,35,0.0591278,0.0152588
28,-31.9998,2473,2477,0.175476,0.228882,0.213623,0.0038147,0.0152588,33,0.0572205,0.0267029
29,-32.9998,2647,1852,0.171661,0.205994,0.19455,0.0038147,0.0114441,34,0.0610352,0.0267029
30,-34,2912,2850,0.164032,0.179291,0.167847,0.0038147,0.0114441,35,0.0572205,0.0152588
31,-34.9997,3236,2557,0.137329,0.171661,0.160217,0,0.0114441,36,0.0534058,0.0152588
