Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99988,266,308,3.18766,0.566483,0.531197,0.020504,0.0352859,35,0.191212,0.0686646
2,-5.99997,248,311,3.14522,0.873566,0.818729,0.023365,0.0548363,34,0.181675,0.0581741
3,-6.99748,254,293,3.6397,0.288486,0.267029,0.0123978,0.0214577,34,0.10252,0.0267029
4,-7.99757,257,301,3.58391,0.292778,0.267982,0.0133514,0.0247955,34,0.102997,0.0295639
5,-8.99975,259,297,3.31688,0.540733,0.482559,0.0371933,0.0581741,35,0.187874,0.0982285
6,-9.99844,254,308,3.64876,0.287056,0.258446,0.0152588,0.0286102,37,0.103951,0.0305176
7,-10.9976,252,303,3.67546,0.287056,0.261307,0.0123978,0.0257492,36,0.102997,0.0324249
8,-11.9968,286,304,3.2053,0.28038,0.257492,0.0133514,0.0228882,36,0.105858,0.0295639
9,-12.9982,252,293,3.62015,0.344276,0.320435,0.0123978,0.0238419,36,0.102997,0.0295639
10,-13.9996,250,297,3.64685,0.350952,0.30899,0.0286102,0.0419617,36,0.128746,0.0429153
11,-14.9979,251,291,3.67928,0.289917,0.266075,0.0114441,0.0238419,36,0.102997,0.0324249
12,-15.9979,246,287,3.78036,0.284195,0.259399,0.0171661,0.0247955,36,0.102997,0.0286102
13,-16.9986,244,283,3.68881,0.396729,0.364304,0.0152588,0.0324249,36,0.144958,0.0648499
14,-17.9969,245,290,3.78799,0.28038,0.257492,0.0247955,0.0228882,35,0.101089,0.0343323
15,-18.9974,241,277,3.8662,0.282288,0.257492,0.0114441,0.0247955,35,0.104904,0.0286102
16,-19.9976,238,287,3.90816,0.282288,0.259399,0.0133514,0.0228882,35,0.102997,0.0286102
17,-20.9977,245,276,3.7899,0.282288,0.255585,0.0133514,0.0267029,36,0.104904,0.0286102
18,-21.9989,253,297,3.38173,0.556946,0.516891,0.0209808,0.0400543,37,0.175476,0.102997
19,-22.9995,250,297,3.33595,0.650406,0.597,0.0343323,0.0534058,36,0.164032,0.0762939
20,-24,260,305,3.39699,0.43869,0.391006,0.0247955,0.0476837,36,0.123978,0.0553131
21,-24.9979,262,320,3.53241,0.282288,0.257492,0.0228882,0.0247955,35,0.102997,0.0305176
22,-25.9996,262,323,3.24631,0.556946,0.505447,0.0228882,0.0514984,35,0.175476,0.0400543
23,-26.9976,351,337,2.55775,0.286102,0.261307,0.0133514,0.0247955,35,0.106812,0.0286102
24,-27.9981,275,332,3.3493,0.284195,0.259399,0.0133514,0.0247955,35,0.104904,0.0324249
25,-28.9979,289,341,3.18336,0.276566,0.253677,0.0152588,0.0228882,35,0.104904,0.0286102
26,-29.9981,274,349,3.36266,0.282288,0.257492,0.0133514,0.0247955,35,0.104904,0.0267029
27,-30.9982,274,340,3.35312,0.284195,0.259399,0.0114441,0.0247955,35,0.104904,0.0267029
28,-31.9985,279,347,3.15475,0.423431,0.389099,0.0152588,0.0343323,33,0.152588,0.0419617
29,-32.9989,231,312,2.39182,1.92261,1.87302,0.0190735,0.0495911,34,0.377655,0.0953674
30,-33.9973,272,289,2.84576,0.827789,0.774384,0.0228882,0.0534058,35,0.293732,0.0762939
31,-34.9988,254,293,0.869751,3.06702,3.00217,0.0343323,0.0648499,36,0.358582,0.236511
32,-35.9982,236,291,3.21579,1.01852,0.938416,0.0343323,0.0801086,36,0.480652,0.19455
33,-36.9995,256,304,1.89209,2.01035,1.9455,0.0228882,0.0648499,36,0.278473,0.0724792
34,-37.9998,244,297,2.41089,1.68228,1.61362,0.0267029,0.0686646,36,0.534058,0.114441
35,-38.9985,239,307,3.32642,0.850677,0.774384,0.0305176,0.0762939,37,0.431061,0.164032
36,-39.9999,243,311,2.34604,1.75858,1.70135,0.0228882,0.0572205,37,0.434875,0.110626
37,-40.9973,340,308,2.20108,0.736237,0.682831,0.0228882,0.0534058,37,0.278473,0.0801086
38,-41.9989,251,318,2.70081,1.27411,1.14822,0.0762939,0.125885,37,0.465393,0.259399
39,-42.9985,254,328,3.06702,0.862122,0.793457,0.0343323,0.0686646,37,0.354767,0.171661
40,-43.9978,238,353,3.479,0.720978,0.663757,0.0228882,0.0572205,36,0.274658,0.0839233
41,-44.9997,247,322,1.90353,2.14386,2.09045,0.0267029,0.0534058,37,0.282288,0.0801086
42,-45.9982,234,312,2.41852,1.85394,1.7128,0.0648499,0.141144,38,0.717163,0.270844
43,-46.998,244,338,3.37601,0.720978,0.667572,0.0228882,0.0534058,37,0.30899,0.087738
44,-47.9995,269,328,1.78146,1.92261,1.8692,0.0267029,0.0534058,37,0.286102,0.106812
45,-48.9975,322,337,1.56403,1.54114,1.47629,0.0267029,0.0648499,36,0.335693,0.114441
46,-49.9972,319,312,2.42233,0.709534,0.659943,0.0190735,0.0495911,38,0.289917,0.0839233
47,-50.9987,260,327,3.02887,0.816345,0.743866,0.0305176,0.0724792,30,0.411987,0.1297
48,-51.9996,254,325,2.31934,1.61743,1.56403,0.0267029,0.0534058,30,0.469208,0.0991821
49,-52.9981,240,326,2.4147,1.74332,1.63269,0.0839233,0.110626,30,0.69046,0.209808
50,-53.9994,242,349,2.33841,1.77765,1.67847,0.0419617,0.0991821,32,0.534058,0.0991821
51,-54.9989,257,324,2.69318,1.194,1.09863,0.0724792,0.0953674,33,0.404358,0.225067
52,-55.9998,264,335,2.11334,1.67084,1.59836,0.038147,0.0724792,33,0.537872,0.1297
53,-56.9983,329,332,2.31552,0.720978,0.663757,0.0267029,0.0572205,33,0.286102,0.0686646
54,-57.9989,274,329,1.56021,2.08664,2.02179,0.0267029,0.0648499,33,0.545502,0.118256
55,-58.9996,268,327,2.10571,1.61362,1.5564,0.0267029,0.0572205,32,0.617981,0.18692
56,-59.9994,262,334,2.16293,1.64032,1.5831,0.0267029,0.0572205,32,0.614166,0.183105
57,-60.9991,259,317,2.63596,1.2207,1.14441,0.0305176,0.0762939,32,0.591278,0.148773
58,-61.9984,275,320,1.297,2.33459,2.19345,0.0648499,0.141144,34,0.671387,0.63324
59,-62.9992,266,332,2.02179,1.72424,1.62125,0.038147,0.102997,35,0.595093,0.202179
60,-63.9993,266,336,2.42615,1.31989,1.18256,0.0534058,0.137329,35,0.473022,0.259399
61,-64.998,239,331,3.45612,0.717163,0.671387,0.0228882,0.0457764,35,0.274658,0.0839233
62,-65.9983,257,321,2.36511,1.51825,1.40381,0.038147,0.114441,35,0.37384,0.205994
63,-66.9976,338,321,2.21252,0.740051,0.686646,0.0152588,0.0534058,35,0.267029,0.0762939
64,-67.9979,270,335,1.65558,2.04468,1.93024,0.0534058,0.114441,36,0.610352,0.38147
65,-68.9974,331,328,2.30408,0.709534,0.656128,0.0152588,0.0534058,36,0.274658,0.0762939
66,-69.9989,257,332,2.57874,1.31226,1.19781,0.0305176,0.114441,35,0.404358,0.473022
67,-70.9973,331,316,2.30408,0.709534,0.656128,0.0228882,0.0534058,35,0.267029,0.0762939
68,-71.9981,276,336,2.87628,0.740051,0.686646,0.0228882,0.0534058,36,0.267029,0.0839233
69,-72.9986,268,331,2.85339,0.869751,0.793457,0.0305176,0.0762939,38,0.37384,0.175476
70,-73.9976,342,329,2.19727,0.724792,0.671387,0.0228882,0.0534058,38,0.274658,0.0839233
71,-74.9996,282,334,1.88446,1.65558,1.58691,0.0305176,0.0686646,38,0.457764,0.137329
72,-75.9986,204,337,4.02832,0.869751,0.801086,0.038147,0.0686646,38,0.358582,0.167847
73,-76.9973,344,313,2.18201,0.724792,0.679016,0.0228882,0.0457764,37,0.274658,0.0839233
74,-77.9977,306,312,2.54822,0.717163,0.663757,0.0228882,0.0534058,37,0.274658,0.0762939
75,-78.9979,289,311,2.69318,0.75531,0.671387,0.0228882,0.0839233,36,0.274658,0.0762939
76,-79.9977,333,342,2.27356,0.724792,0.671387,0.0228882,0.0534058,37,0.274658,0.0839233
77,-80.9993,258,338,2.41852,1.45721,1.35803,0.0457764,0.0991821,37,0.595093,0.328064
78,-81.9976,330,340,2.30408,0.724792,0.671387,0.0228882,0.0534058,37,0.267029,0.0839233
79,-82.999,269,336,2.22015,1.48773,1.4267,0.0305176,0.0610352,38,0.930786,0.335693
80,-83.9999,280,327,1.64032,1.92261,1.86157,0.0228882,0.0610352,38,0.434875,0.114441
81,-84.9976,334,323,2.26593,0.724792,0.671387,0.0228882,0.0534058,38,0.274658,0.0839233
82,-85.9992,286,347,2.02942,1.46484,1.36566,0.0457764,0.0991821,37,0.610352,0.350952
83,-86.9997,265,340,2.08282,1.67847,1.62506,0.0228882,0.0534058,35,0.541687,0.1297
84,-87.9998,284,322,1.80817,1.70898,1.65558,0.0228882,0.0534058,34,0.450134,0.106812
85,-88.9976,340,319,2.22015,0.717163,0.663757,0.0228882,0.0534058,34,0.267029,0.0762939
86,-89.9987,262,336,2.89154,0.915527,0.846863,0.0305176,0.0686646,33,0.389099,0.152588
87,-90.9986,259,328,2.99835,0.854492,0.785828,0.0305176,0.0686646,32,0.328064,0.144958
88,-91.9988,219,331,3.27301,1.28174,1.18256,0.0305176,0.0991821,31,0.450134,0.152588
89,-92.9975,330,331,2.31934,0.709534,0.656128,0.0228882,0.0534058,32,0.267029,0.0686646
90,-93.9985,333,333,2.2583,0.740051,0.656128,0.0228882,0.0839233,31,0.289917,0.0686646
91,-94.9988,266,349,2.93732,0.816345,0.740051,0.0305176,0.0762939,30,0.37384,0.137329
92,-95.9977,334,341,2.29645,0.694275,0.648499,0.0228882,0.0457764,30,0.259399,0.0686646
