Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99989,1093,980,0.490665,0.423908,0.388145,0.0123978,0.0357628,35,0.170231,0.0400543
2,-5.99943,1128,1116,0.461102,0.425339,0.39196,0.0119209,0.0333786,34,0.1688,0.0395775
3,-6.99919,1081,975,0.510693,0.413895,0.380516,0.0114441,0.0333786,34,0.185966,0.0424385
4,-7.99914,1134,1004,0.45681,0.424385,0.376701,0.0104904,0.0476837,34,0.171661,0.041008
5,-8.99957,912,1123,0.632286,0.463486,0.421524,0.0114441,0.0419617,35,0.172615,0.041008
6,-9.99943,1087,1061,0.50354,0.415802,0.382423,0.0114441,0.0333786,37,0.192642,0.0429153
7,-10.9998,1107,1008,0.463486,0.439644,0.403404,0.0104904,0.0362396,36,0.169754,0.0419617
8,-11.9993,853,1114,0.547409,0.623703,0.57888,0.0152588,0.0448227,36,0.220299,0.0638962
9,-13,1121,1125,0.473976,0.417709,0.385284,0.0104904,0.0324249,36,0.171661,0.0400543
10,-13.9999,1136,859,0.460625,0.419617,0.387192,0.0104904,0.0324249,36,0.169754,0.041008
11,-14.9991,975,1052,0.480652,0.544548,0.508308,0.0143051,0.0362396,36,0.175476,0.0858307
12,-15.9992,1152,1094,0.452042,0.415802,0.38147,0.0114441,0.0343323,36,0.171661,0.0419617
13,-16.9995,951,860,0.511169,0.53978,0.505447,0.0133514,0.0343323,36,0.169754,0.0534058
14,-17.9999,970,1073,0.572205,0.457764,0.423431,0.0114441,0.0343323,35,0.171661,0.0400543
15,-18.9995,994,982,0.564575,0.440598,0.402451,0.0133514,0.038147,35,0.188828,0.0419617
16,-19.9996,1072,1008,0.511169,0.421524,0.387192,0.0133514,0.0343323,35,0.18692,0.0419617
17,-20.9993,1040,1013,0.528336,0.432968,0.400543,0.0114441,0.0324249,36,0.171661,0.0400543
