Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.9997,742,721,1.09673,0.249386,0.218391,0.0162125,0.0309944,35,0.122547,0.017643
2,-5.9988,569,711,1.47152,0.285149,0.247002,0.0200272,0.038147,34,0.131607,0.0171661
3,-6.99906,747,707,1.04618,0.292301,0.261784,0.0157356,0.0305176,34,0.156403,0.0200272
4,-7.99947,718,633,1.08051,0.311852,0.276566,0.0152588,0.0352859,34,0.174522,0.0219345
5,-8.99921,713,710,1.11008,0.290871,0.263214,0.0114441,0.0276566,35,0.152588,0.0228882
6,-9.99883,717,700,1.15013,0.243187,0.220299,0.0104904,0.0228882,37,0.120163,0.0190735
7,-10.999,726,701,1.08051,0.295639,0.265121,0.0123978,0.0305176,36,0.153542,0.0219345
8,-11.9996,707,659,1.10531,0.30899,0.28038,0.0114441,0.0286102,36,0.160217,0.0238419
9,-12.9987,595,702,1.3113,0.367165,0.328064,0.0181198,0.0391006,36,0.183105,0.0295639
10,-13.9994,707,697,1.17779,0.235558,0.212669,0.00858307,0.0228882,36,0.115395,0.0181198
11,-14.9998,710,697,1.10054,0.307083,0.273705,0.0143051,0.0333786,36,0.154495,0.0228882
12,-15.9998,704,691,1.194,0.225067,0.198364,0.0114441,0.0267029,36,0.131607,0.0190735
13,-16.9993,697,653,1.18637,0.247955,0.21553,0.0171661,0.0324249,36,0.12207,0.0171661
14,-17.9995,700,668,1.0128,0.413895,0.360489,0.0247955,0.0534058,35,0.221252,0.0343323
15,-18.9988,563,693,1.44196,0.331879,0.297546,0.0228882,0.0343323,35,0.150681,0.0209808
16,-19.9994,690,690,1.19209,0.255585,0.228882,0.0114441,0.0267029,35,0.1297,0.0190735
17,-20.9988,577,686,1.3485,0.383377,0.341415,0.0286102,0.0419617,36,0.204086,0.038147
18,-21.9998,718,714,1.12534,0.267029,0.234604,0.0152588,0.0324249,37,0.135422,0.0209808
19,-22.9992,568,668,1.4801,0.278473,0.244141,0.0171661,0.0343323,36,0.139236,0.0190735
20,-24,684,687,1.15776,0.303268,0.265121,0.0190735,0.038147,36,0.165939,0.0228882
21,-24.9989,607,679,1.39999,0.246048,0.21553,0.0171661,0.0305176,35,0.131607,0.0190735
22,-25.9992,661,694,1.29128,0.219345,0.190735,0.0152588,0.0286102,35,0.106812,0.0152588
23,-26.9986,595,718,1.37329,0.305176,0.270844,0.0190735,0.0343323,35,0.137329,0.0171661
24,-27.9995,768,715,1.04904,0.25177,0.22316,0.0152588,0.0286102,35,0.120163,0.0171661
25,-28.9989,607,748,1.33133,0.314713,0.282288,0.0190735,0.0324249,35,0.143051,0.0190735
26,-29.9991,601,752,1.42288,0.240326,0.207901,0.0152588,0.0324249,35,0.135422,0.0190735
27,-30.9987,601,709,1.39046,0.272751,0.238419,0.0171661,0.0343323,35,0.146866,0.0190735
28,-31.9991,604,753,1.40762,0.247955,0.213623,0.0228882,0.0343323,33,0.1297,0.0190735
29,-32.9992,624,703,1.32751,0.274658,0.240326,0.0152588,0.0343323,34,0.137329,0.0152588
30,-33.9988,621,747,1.37711,0.232697,0.202179,0.0267029,0.0305176,35,0.125885,0.0190735
31,-34.9988,560,721,1.55258,0.232697,0.202179,0.0267029,0.0305176,36,0.125885,0.0228882
32,-35.9994,593,707,1.44577,0.240326,0.209808,0.0228882,0.0305176,36,0.137329,0.0190735
33,-36.9998,722,722,1.15585,0.228882,0.202179,0.0114441,0.0267029,36,0.110626,0.0152588
34,-37.9997,736,706,1.12915,0.228882,0.202179,0.0152588,0.0267029,36,0.114441,0.0190735
35,-38.9988,489,638,1.41907,0.621796,0.579834,0.0190735,0.0419617,37,0.167847,0.0228882
36,-39.9998,667,589,1.14441,0.354767,0.312805,0.0190735,0.0419617,37,0.183105,0.0343323
37,-40.9998,642,661,1.25504,0.301361,0.267029,0.0152588,0.0343323,37,0.125885,0.0190735
38,-41.9997,682,742,1.23215,0.232697,0.198364,0.0190735,0.0343323,37,0.141144,0.0190735
39,-42.9991,622,735,1.26648,0.339508,0.301361,0.0190735,0.038147,37,0.179291,0.0305176
40,-43.9999,630,744,1.34659,0.240326,0.213623,0.0152588,0.0267029,36,0.114441,0.0152588
41,-44.9998,722,733,1.15967,0.225067,0.19455,0.0190735,0.0305176,37,0.133514,0.0190735
42,-45.9989,593,727,1.44577,0.240326,0.205994,0.0152588,0.0343323,38,0.125885,0.0190735
43,-46.9989,605,725,1.34659,0.305176,0.259399,0.0190735,0.0457764,37,0.175476,0.0305176
44,-47.999,589,733,1.44196,0.255585,0.225067,0.0114441,0.0305176,37,0.144958,0.0190735
45,-48.9993,630,685,1.35422,0.232697,0.205994,0.0228882,0.0267029,36,0.125885,0.0190735
46,-49.9989,606,687,1.43814,0.209808,0.171661,0.0305176,0.038147,38,0.118256,0.0152588
47,-50.9994,639,755,1.33514,0.228882,0.202179,0.0152588,0.0267029,30,0.137329,0.0152588
48,-51.9997,722,729,1.1673,0.217438,0.198364,0.0114441,0.0190735,30,0.106812,0.0114441
49,-52.9997,726,702,1.17111,0.205994,0.18692,0.0114441,0.0190735,30,0.0991821,0.0152588
50,-53.9995,574,719,1.4267,0.312805,0.274658,0.0152588,0.038147,32,0.141144,0.0152588
51,-54.9999,789,709,0.965118,0.301361,0.263214,0.0190735,0.038147,33,0.167847,0.0228882
52,-55.9998,518,750,1.61743,0.312805,0.270844,0.0228882,0.0419617,33,0.175476,0.0228882
53,-56.9997,634,719,1.27792,0.297546,0.267029,0.0114441,0.0305176,33,0.156403,0.0190735
54,-57.9988,657,761,1.0643,0.457764,0.411987,0.0228882,0.0457764,33,0.247955,0.0343323
55,-58.9989,796,731,0.995636,0.259399,0.232697,0.0152588,0.0267029,32,0.133514,0.0190735
56,-59.9995,618,716,1.28937,0.328064,0.289917,0.0152588,0.038147,32,0.164032,0.0228882
57,-60.9993,624,760,1.37711,0.225067,0.190735,0.0152588,0.0343323,32,0.110626,0.0190735
58,-61.999,608,761,1.42288,0.221252,0.183105,0.0305176,0.038147,34,0.114441,0.0152588
59,-62.9993,606,698,1.41144,0.236511,0.183105,0.0152588,0.0534058,35,0.114441,0.0152588
60,-63.9991,604,735,1.4267,0.228882,0.190735,0.0305176,0.038147,35,0.114441,0.0152588
61,-64.9993,624,731,1.37329,0.228882,0.190735,0.0305176,0.038147,35,0.114441,0.0152588
62,-65.9999,724,708,1.1673,0.213623,0.190735,0.00762939,0.0228882,35,0.0991821,0.0152588
63,-66.9988,604,720,1.4267,0.228882,0.198364,0.0305176,0.0305176,35,0.12207,0.0152588
64,-67.9993,627,723,1.26648,0.328064,0.289917,0.0152588,0.038147,36,0.160217,0.0228882
65,-68.9993,624,758,1.38855,0.213623,0.175476,0.0305176,0.038147,36,0.12207,0.0152588
66,-70,732,683,1.15967,0.205994,0.183105,0.00762939,0.0228882,35,0.106812,0.0152588
67,-70.9997,606,728,1.4267,0.221252,0.183105,0.0152588,0.038147,35,0.114441,0.0152588
68,-71.999,627,728,1.33514,0.259399,0.228882,0.0152588,0.0305176,36,0.144958,0.0152588
69,-72.9989,601,721,1.41907,0.244141,0.213623,0.038147,0.0305176,38,0.114441,0.0152588
70,-73.999,604,711,1.43433,0.221252,0.190735,0.038147,0.0305176,38,0.114441,0.0228882
71,-74.9995,621,759,1.38855,0.221252,0.190735,0.0305176,0.0305176,38,0.12207,0.0152588
72,-75.9993,609,723,1.36566,0.274658,0.236511,0.0152588,0.038147,38,0.152588,0.0228882
73,-76.9998,624,721,1.37329,0.228882,0.198364,0.0228882,0.0305176,37,0.12207,0.0152588
74,-77.9995,579,747,1.50299,0.221252,0.183105,0.0305176,0.038147,37,0.12207,0.0152588
75,-78.9997,601,725,1.44958,0.213623,0.175476,0.0305176,0.038147,36,0.12207,0.0152588
76,-79.9994,595,739,1.46484,0.213623,0.183105,0.038147,0.0305176,37,0.12207,0.0152588
77,-80.9998,598,730,1.45721,0.213623,0.175476,0.0152588,0.038147,37,0.114441,0.0152588
78,-81.9987,757,705,1.06812,0.25177,0.221252,0.0152588,0.0305176,37,0.1297,0.0152588
79,-82.9992,618,760,1.27411,0.343323,0.305176,0.0152588,0.038147,38,0.160217,0.0228882
80,-83.999,661,720,1.19019,0.320435,0.282288,0.0228882,0.038147,38,0.160217,0.0305176
81,-84.9998,615,744,1.39618,0.228882,0.198364,0.0305176,0.0305176,38,0.12207,0.0228882
82,-85.9987,740,749,1.12915,0.221252,0.190735,0.0152588,0.0305176,37,0.106812,0.0152588
83,-86.9998,627,701,1.38092,0.213623,0.183105,0.038147,0.0305176,35,0.114441,0.0152588
84,-87.9992,624,737,1.3504,0.25177,0.221252,0.0152588,0.0305176,34,0.1297,0.0228882
