Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.9997,4809,4661,0.087738,0.120163,0.115395,0.00286102,0.00476837,35,0.00333786,0.0119209
2,-5.9998,3426,3635,0.126839,0.164986,0.156879,0.00524521,0.00810623,34,0.00667572,0.0133514
3,-6.99996,4519,4023,0.0953674,0.125885,0.119209,0.00286102,0.00667572,34,0.00476837,0.0109673
4,-7.99991,3530,3667,0.156403,0.126839,0.123024,0.00190735,0.0038147,34,0.0038147,0.0114441
5,-8.99968,4809,3829,0.0782013,0.1297,0.124931,0.00190735,0.00476837,35,0.00286102,0.0114441
6,-9.99983,4946,3824,0.0829697,0.119209,0.115395,0.00286102,0.0038147,37,0.0038147,0.0114441
7,-11,5065,4035,0.0753403,0.12207,0.117302,0.00190735,0.00476837,36,0.0038147,0.0114441
8,-12,4387,3619,0.0972748,0.130653,0.125885,0.00286102,0.00476837,36,0.0038147,0.0133514
9,-12.9998,3705,3541,0.130653,0.139236,0.131607,0.00476837,0.00762939,36,0.00572205,0.0133514
10,-13.9999,1855,4510,0.393867,0.144958,0.139236,0.00190735,0.00572205,36,0.00476837,0.0123978
11,-14.9998,5065,4227,0.0782013,0.119209,0.115395,0.00190735,0.0038147,36,0.0038147,0.0114441
12,-16,4297,4589,0.0858307,0.146866,0.143051,0.00190735,0.0038147,36,0.0038147,0.0362396
13,-16.9999,4993,4256,0.0782013,0.12207,0.118256,0.00190735,0.0038147,36,0.0038147,0.0114441
14,-17.9994,3518,3901,0.127792,0.156403,0.146866,0.0038147,0.00953674,35,0.00572205,0.0133514
15,-18.9998,3426,3902,0.165939,0.125885,0.12207,0.00190735,0.0038147,35,0.0038147,0.0133514
16,-19.9999,4946,4490,0.0839233,0.118256,0.114441,0.0038147,0.0038147,35,0.0038147,0.0114441
17,-20.9998,5041,4149,0.0782013,0.120163,0.116348,0.00190735,0.0038147,36,0.0038147,0.0114441
18,-21.9999,3666,3724,0.154495,0.118256,0.112534,0.00190735,0.00572205,37,0.00572205,0.0114441
19,-22.9998,4519,3946,0.0934601,0.127792,0.123978,0.0038147,0.0038147,36,0.0038147,0.0133514
20,-23.9999,4681,3089,0.082016,0.131607,0.127792,0.00190735,0.0038147,36,0.00572205,0.0133514
21,-25,4766,3825,0.0915527,0.118256,0.114441,0.0038147,0.0038147,35,0.0038147,0.0114441
22,-25.9999,4559,4241,0.087738,0.131607,0.127792,0.00190735,0.0038147,35,0.0038147,0.0133514
23,-26.9999,5041,3808,0.0724792,0.125885,0.120163,0.00190735,0.00572205,35,0.0038147,0.0114441
24,-28,3666,4058,0.0991821,0.173569,0.167847,0.00190735,0.00572205,35,0.0038147,0.0190735
25,-28.9999,3942,4411,0.133514,0.120163,0.116348,0.00190735,0.0038147,35,0.0038147,0.0114441
26,-29.9999,5041,4213,0.0782013,0.120163,0.116348,0.0038147,0.0038147,35,0.0038147,0.0114441
27,-30.9998,1059,3596,0.797272,0.146866,0.143051,0.00190735,0.0038147,35,0.00572205,0.0152588
28,-31.9999,3912,4499,0.137329,0.118256,0.114441,0.0038147,0.0038147,33,0.0038147,0.0114441
29,-32.9999,4032,4065,0.125885,0.12207,0.118256,0,0.0038147,34,0.0038147,0.0114441
30,-33.9998,4443,3071,0.0991821,0.125885,0.118256,0.0038147,0.00762939,35,0.0038147,0.0114441
31,-34.9998,4032,3824,0.110626,0.137329,0.1297,0.0038147,0.00762939,36,0.0038147,0.0152588
32,-35.9998,4681,4207,0.0915527,0.12207,0.118256,0.0038147,0.0038147,36,0.0038147,0.0114441
33,-36.9998,3084,4304,0.141144,0.183105,0.175476,0.0038147,0.00762939,36,0.0228882,0.0572205
34,-37.9998,4369,4294,0.102997,0.125885,0.118256,0.0038147,0.00762939,36,0.00762939,0.0114441
35,-38.9999,4946,4326,0.0762939,0.125885,0.12207,0.0038147,0.0038147,37,0.0038147,0.0114441
36,-39.9997,2080,3707,0.167847,0.312805,0.30899,0.0038147,0.0038147,37,0.0038147,0.0152588
37,-40.9998,2148,3236,0.247955,0.217438,0.209808,0.00762939,0.00762939,37,0.00762939,0.0114441
38,-41.9998,4854,4181,0.0839233,0.12207,0.118256,0.0038147,0.0038147,37,0.0038147,0.0114441
39,-42.9998,4766,3518,0.0801086,0.1297,0.125885,0.0038147,0.0038147,37,0.0038147,0.0114441
40,-44,2647,3779,0.190735,0.18692,0.175476,0.00762939,0.0114441,36,0.00762939,0.0152588
41,-44.9999,4946,4118,0.0686646,0.133514,0.1297,0,0.0038147,37,0.0038147,0.0152588
42,-45.9999,5242,3569,0.0724792,0.118256,0.114441,0,0.0038147,38,0.00762939,0.0114441
43,-46.9992,4946,3537,0.087738,0.114441,0.110626,0.0038147,0.0038147,37,0.0038147,0.0114441
44,-47.9999,1139,4263,0.743866,0.133514,0.1297,0,0.0038147,37,0.0038147,0.0152588
45,-48.9998,4443,4099,0.087738,0.137329,0.133514,0.0038147,0.0038147,36,0.0038147,0.0152588
46,-50,3120,4196,0.110626,0.209808,0.205994,0.0038147,0.0038147,38,0.0038147,0.0915527
47,-50.9996,2361,4149,0.209808,0.213623,0.202179,0.0038147,0.0114441,30,0.00762939,0.0114441
48,-51.9996,4443,4127,0.0953674,0.1297,0.125885,0.0038147,0.0038147,30,0.0038147,0.0114441
49,-52.9998,3542,3583,0.141144,0.141144,0.114441,0.0038147,0.0267029,30,0.0038147,0.00762939
50,-54,5041,3364,0.0762939,0.12207,0.118256,0.0038147,0.0038147,32,0.0038147,0.0114441
51,-54.9997,2404,3435,0.209808,0.205994,0.198364,0.00762939,0.00762939,33,0.0038147,0.0152588
52,-56,3084,3647,0.125885,0.198364,0.190735,0.0038147,0.00762939,33,0.00762939,0.0114441
