Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99966,253,307,3.04461,0.900269,0.714779,0.0104904,0.18549,35,0.0181198,0.0281334
2,-5.99711,313,302,2.83813,0.347614,0.204563,0.0123978,0.143051,34,0.00953674,0.0243187
3,-6.99751,260,293,3.4852,0.354767,0.212669,0.0100136,0.142097,34,0.00905991,0.0271797
4,-7.99895,257,297,3.26252,0.621796,0.36335,0.0133514,0.258446,34,0.0152588,0.0495911
5,-8.99984,245,304,3.13377,0.940323,0.434875,0.0171661,0.505447,35,0.0181198,0.0629425
6,-9.99879,253,313,3.45039,0.500679,0.227928,0.0152588,0.272751,37,0.0181198,0.043869
7,-10.9981,256,283,3.52764,0.364304,0.217438,0.0104904,0.146866,36,0.0104904,0.0267029
8,-11.9984,261,297,3.1805,0.641823,0.322342,0.0133514,0.319481,36,0.0162125,0.04673
9,-12.9989,255,295,3.25012,0.670433,0.383377,0.0133514,0.287056,36,0.0343323,0.0495911
10,-13.9982,253,293,3.58391,0.366211,0.21553,0.0104904,0.150681,36,0.0114441,0.038147
11,-14.9998,240,270,2.80857,1.3485,0.917435,0.0181198,0.431061,36,0.0276566,0.0753403
12,-15.9986,247,304,3.53432,0.509262,0.225067,0.0228882,0.284195,36,0.0114441,0.0286102
13,-16.9982,252,259,3.59535,0.371933,0.219345,0.00953674,0.152588,36,0.0133514,0.0247955
14,-17.998,246,290,3.66783,0.38147,0.230789,0.0114441,0.150681,35,0.0114441,0.0247955
15,-18.998,250,282,3.39508,0.602722,0.34523,0.0114441,0.257492,35,0.0171661,0.0419617
16,-19.9995,244,286,3.49236,0.595093,0.236511,0.0705719,0.358582,35,0.0152588,0.0305176
17,-20.998,249,285,3.6335,0.379562,0.232697,0.0114441,0.146866,36,0.0114441,0.0267029
18,-21.9972,246,299,3.67165,0.385284,0.230789,0.00953674,0.154495,37,0.0114441,0.0267029
19,-22.9981,257,295,3.49998,0.38147,0.234604,0.00953674,0.146866,36,0.0114441,0.0419617
20,-23.9985,268,300,3.3741,0.356674,0.209808,0.00953674,0.146866,36,0.0114441,0.0286102
21,-24.9986,274,316,3.25966,0.387192,0.21553,0.00953674,0.171661,35,0.0114441,0.0267029
22,-25.9988,279,307,2.92969,0.650406,0.328064,0.0152588,0.322342,35,0.0171661,0.0457764
23,-27,263,338,2.91252,0.879288,0.400543,0.0228882,0.478745,35,0.0190735,0.0667572
24,-27.9983,276,331,3.25203,0.358582,0.209808,0.00953674,0.148773,35,0.0228882,0.0267029
25,-28.9992,287,337,2.99454,0.478745,0.213623,0.00953674,0.265121,35,0.0114441,0.0267029
