Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99988,1329,1320,0.394344,0.357628,0.346184,0.00810623,0.0114441,35,0.0138283,0.0367165
2,-5.99994,1398,1357,0.34523,0.370026,0.357151,0.0109673,0.0128746,34,0.0133514,0.0352859
3,-6.99988,1287,935,0.364304,0.412464,0.396252,0.0138283,0.0162125,34,0.0152588,0.0405312
4,-7.99998,1372,1339,0.281334,0.447273,0.432014,0.0114441,0.0152588,34,0.0133514,0.0476837
5,-8.9993,1332,1332,0.362396,0.388145,0.374794,0.0104904,0.0133514,35,0.0143051,0.0371933
6,-9.99931,1289,1129,0.391006,0.384331,0.370979,0.0114441,0.0133514,37,0.0152588,0.041008
7,-10.9994,1136,1244,0.394821,0.48542,0.466347,0.0162125,0.0190735,36,0.0181198,0.0514984
8,-11.9996,1363,1347,0.354767,0.378609,0.368118,0.00858307,0.0104904,36,0.0162125,0.0371933
9,-12.9994,1317,1297,0.385284,0.37384,0.36335,0.00953674,0.0104904,36,0.0133514,0.0371933
10,-13.9997,1418,1100,0.324249,0.380516,0.364304,0.0123978,0.0162125,36,0.0200272,0.0371933
11,-14.9995,1131,1318,0.397682,0.486374,0.466347,0.0152588,0.0200272,36,0.0200272,0.0514984
12,-15.9996,1317,1288,0.371933,0.387192,0.375748,0.00953674,0.0114441,36,0.0152588,0.038147
13,-16.9997,1272,1252,0.417709,0.368118,0.356674,0.00953674,0.0114441,36,0.0152588,0.038147
14,-17.9998,1269,1090,0.429153,0.358582,0.34523,0.00953674,0.0133514,35,0.0133514,0.0362396
15,-18.9999,1304,1251,0.389099,0.377655,0.360489,0.0114441,0.0171661,35,0.0190735,0.038147
16,-19.9998,1242,1251,0.41008,0.394821,0.383377,0.00953674,0.0114441,35,0.0152588,0.0362396
17,-21,1307,1092,0.404358,0.360489,0.347137,0.00953674,0.0133514,36,0.0171661,0.0362396
18,-21.9993,1197,1263,0.370026,0.465393,0.448227,0.0419617,0.0171661,37,0.0171661,0.0534058
19,-22.9998,1251,1308,0.411987,0.387192,0.366211,0.0114441,0.0209808,36,0.0209808,0.0400543
20,-23.9999,1257,1316,0.402451,0.392914,0.377655,0.0114441,0.0152588,36,0.0209808,0.038147
21,-24.9997,1460,1039,0.310898,0.37384,0.362396,0.00953674,0.0114441,35,0.0190735,0.0362396
22,-25.9996,1524,1317,0.301361,0.354767,0.34523,0.00953674,0.00953674,35,0.0171661,0.0362396
23,-26.9999,1194,1424,0.364304,0.473022,0.43869,0.0171661,0.0343323,35,0.0209808,0.0514984
24,-27.9993,1344,1441,0.366211,0.377655,0.362396,0.0133514,0.0152588,35,0.0209808,0.038147
25,-28.9998,1460,1473,0.312805,0.371933,0.358582,0.00953674,0.0133514,35,0.0190735,0.0362396
26,-29.9998,1472,1208,0.295639,0.383377,0.370026,0.00953674,0.0133514,35,0.0171661,0.0514984
27,-30.9998,1372,1435,0.343323,0.385284,0.37384,0.00953674,0.0114441,35,0.0171661,0.038147
