Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99963,731,722,1.23453,0.133038,0.127316,0.00762939,0.00572205,35,0.00762939,0.0128746
2,-5.99881,730,694,1.24168,0.126362,0.121593,0.00762939,0.00476837,34,0.00762939,0.0123978
3,-6.99913,718,711,1.26266,0.128269,0.122547,0.00715256,0.00572205,34,0.00715256,0.0123978
4,-7.99903,696,716,1.31512,0.121117,0.115395,0.00762939,0.00572205,34,0.00667572,0.0114441
5,-8.99992,723,726,1.25217,0.130653,0.125885,0.00667572,0.00476837,35,0.00858307,0.0123978
6,-9.99862,722,714,1.25027,0.133514,0.127792,0.00667572,0.00572205,37,0.00858307,0.0143051
7,-10.9998,725,715,1.24931,0.128746,0.123978,0.00762939,0.00476837,36,0.00762939,0.0133514
8,-11.9994,715,689,1.25408,0.143051,0.136375,0.00953674,0.00667572,36,0.00953674,0.0162125
9,-12.9996,650,690,1.39332,0.144005,0.134468,0.0123978,0.00953674,36,0.0133514,0.0133514
10,-13.999,707,653,1.27983,0.133514,0.126839,0.00858307,0.00667572,36,0.00762939,0.0143051
11,-14.9992,725,690,1.23215,0.146866,0.138283,0.0104904,0.00858307,36,0.0123978,0.0152588
12,-15.9992,661,678,1.38664,0.123978,0.118256,0.00762939,0.00572205,36,0.00762939,0.0133514
13,-16.9998,697,694,1.29318,0.141144,0.135422,0.00762939,0.00572205,36,0.00762939,0.0133514
14,-17.9994,655,684,1.39809,0.127792,0.120163,0.00762939,0.00762939,35,0.00762939,0.0114441
15,-18.9998,665,658,1.37711,0.125885,0.118256,0.00762939,0.00762939,35,0.00762939,0.0114441
16,-19.9998,663,666,1.38092,0.125885,0.120163,0.00762939,0.00572205,35,0.00762939,0.0114441
17,-20.999,661,659,1.38092,0.131607,0.123978,0.00762939,0.00762939,36,0.00762939,0.0133514
