Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,0,1544,1541,0.23365,0.413895,0.265121,0.00524521,0.148773,55,0.0271797,0.0362396
2,0,1525,1506,0.240803,0.414848,0.265121,0.00524521,0.149727,55,0.0267029,0.0367165
3,0,1247,1523,0.391006,0.410557,0.263691,0.00524521,0.146866,55,0.0271797,0.0357628
4,0,1581,1595,0.216484,0.415802,0.267029,0.00572205,0.148773,55,0.0276566,0.0362396
5,0,1598,1594,0.211716,0.413895,0.265121,0.00476837,0.148773,55,0.0267029,0.0362396
6,0,1574,1508,0.216484,0.418663,0.267029,0.00572205,0.151634,55,0.0276566,0.0362396
7,0,1583,1542,0.210762,0.42057,0.267029,0.00572205,0.153542,55,0.0267029,0.0371933
8,0,1576,1554,0.219345,0.414848,0.26226,0.00572205,0.152588,55,0.0276566,0.0362396
9,0,1593,1575,0.211716,0.415802,0.26226,0.00476837,0.153542,55,0.0276566,0.0352859
10,0,1574,1551,0.216484,0.418663,0.265121,0.00572205,0.153542,55,0.0267029,0.0362396
11,0,1569,1578,0.220299,0.416756,0.264168,0.00572205,0.152588,55,0.0276566,0.0362396
12,0,1583,1535,0.217438,0.413895,0.265121,0.00572205,0.148773,55,0.0267029,0.0362396
13,0,1593,1465,0.21553,0.411987,0.261307,0.0038147,0.150681,55,0.0286102,0.0343323
14,0,1569,1583,0.21553,0.421524,0.265121,0.00572205,0.156403,55,0.0267029,0.0362396
15,0,1603,1574,0.207901,0.415802,0.265121,0.00572205,0.150681,55,0.0267029,0.0362396
16,0,1593,1563,0.211716,0.415802,0.263214,0.00572205,0.152588,55,0.0267029,0.0362396
17,0,1593,1578,0.213623,0.413895,0.263214,0.00572205,0.150681,55,0.0267029,0.0362396
18,0,1583,1582,0.217438,0.413895,0.263214,0.00572205,0.150681,55,0.0267029,0.0362396
19,0,1574,1507,0.209808,0.425339,0.270844,0.00572205,0.154495,55,0.0267029,0.0362396
20,0,1633,1575,0.200272,0.411987,0.261307,0.0038147,0.150681,55,0.0267029,0.0362396
21,0,1579,1587,0.211716,0.421524,0.267029,0.00572205,0.154495,55,0.0286102,0.0362396
22,0,1579,1583,0.21553,0.417709,0.265121,0.00572205,0.152588,55,0.0267029,0.0362396
23,0,1579,1588,0.21553,0.417709,0.265121,0.00572205,0.152588,55,0.0267029,0.0362396
24,0,1574,1501,0.213623,0.421524,0.268936,0.00572205,0.152588,55,0.0267029,0.0362396
25,0,1579,1525,0.213623,0.419617,0.263214,0.0038147,0.156403,55,0.0267029,0.0343323
26,0,1593,1552,0.209808,0.417709,0.265121,0.00572205,0.152588,55,0.0267029,0.0362396
27,0,1603,1566,0.211716,0.411987,0.261307,0.00572205,0.150681,55,0.0267029,0.0362396
28,0,1598,1548,0.209808,0.415802,0.263214,0.0038147,0.152588,55,0.0267029,0.0343323
29,0,1579,1514,0.217438,0.415802,0.263214,0.00762939,0.152588,55,0.0267029,0.0343323
30,0,1569,1567,0.217438,0.419617,0.267029,0.0038147,0.152588,55,0.0267029,0.038147
31,0,1588,1577,0.213623,0.415802,0.263214,0.00762939,0.152588,55,0.0267029,0.0343323
32,0,1588,1497,0.213623,0.415802,0.263214,0.00762939,0.152588,55,0.0267029,0.0343323
33,0,1588,1563,0.213623,0.415802,0.263214,0.0038147,0.152588,55,0.0267029,0.038147
34,0,1579,1562,0.221252,0.411987,0.263214,0.00762939,0.148773,55,0.0305176,0.0343323
35,0,1569,1542,0.221252,0.415802,0.263214,0.00762939,0.152588,55,0.0305176,0.038147
36,0,1588,1506,0.205994,0.423431,0.270844,0.0038147,0.152588,55,0.0267029,0.038147
37,0,1569,1580,0.217438,0.419617,0.270844,0.00762939,0.148773,55,0.0267029,0.0419617
38,0,1533,1582,0.228882,0.423431,0.267029,0.0038147,0.156403,55,0.0267029,0.038147
39,0,1533,1591,0.232697,0.419617,0.263214,0.0038147,0.156403,55,0.0267029,0.038147
40,0,1618,1561,0.205994,0.411987,0.263214,0.0038147,0.148773,55,0.0267029,0.038147
41,0,1569,1548,0.221252,0.415802,0.267029,0.00762939,0.148773,55,0.0267029,0.0343323
42,0,1588,1585,0.205994,0.423431,0.270844,0.00762939,0.152588,55,0.0267029,0.0343323
43,0,1588,1562,0.213623,0.415802,0.263214,0.00762939,0.152588,55,0.0267029,0.0343323
44,0,1579,1556,0.213623,0.419617,0.267029,0.0038147,0.152588,55,0.0267029,0.038147
45,0,1588,1593,0.213623,0.415802,0.263214,0.0038147,0.152588,55,0.0267029,0.0343323
46,0,1074,1585,0.217438,0.713348,0.56076,0.00762939,0.152588,55,0.0267029,0.0419617
47,0,1608,1562,0.213623,0.408173,0.259399,0.00762939,0.148773,55,0.0267029,0.0343323
48,0,1638,1590,0.202179,0.408173,0.259399,0.00762939,0.148773,55,0.0267029,0.0343323
49,0,1598,1583,0.209808,0.415802,0.263214,0.0038147,0.152588,55,0.0267029,0.038147
50,0,1456,1573,0.270844,0.415802,0.263214,0.0038147,0.152588,55,0.0267029,0.038147
51,0,1579,1575,0.217438,0.415802,0.263214,0.00762939,0.152588,55,0.0267029,0.0343323
52,0,1569,1449,0.221252,0.415802,0.267029,0.00762939,0.148773,55,0.0267029,0.0419617
53,0,1579,1595,0.213623,0.419617,0.263214,0.00762939,0.156403,55,0.0267029,0.0343323
54,0,1588,1560,0.205994,0.423431,0.270844,0.0038147,0.152588,55,0.0267029,0.0343323
55,0,1598,1508,0.217438,0.408173,0.259399,0.0038147,0.148773,55,0.0267029,0.0343323
56,0,1579,1581,0.209808,0.423431,0.270844,0.0038147,0.152588,55,0.0267029,0.038147
57,0,1579,1525,0.213623,0.419617,0.267029,0.0038147,0.152588,55,0.0267029,0.038147
58,0,1598,1587,0.213623,0.411987,0.263214,0.00762939,0.148773,55,0.0267029,0.0343323
59,0,1588,1540,0.217438,0.411987,0.263214,0.00762939,0.148773,55,0.0305176,0.038147
60,0,1560,1586,0.221252,0.419617,0.267029,0,0.152588,55,0.0228882,0.038147
61,0,1598,1574,0.205994,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
62,0,1560,1579,0.221252,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
63,0,1598,1579,0.213623,0.411987,0.259399,0,0.152588,55,0.0305176,0.038147
64,0,1579,1572,0.221252,0.411987,0.259399,0,0.152588,55,0.0305176,0.038147
65,0,1598,1575,0.221252,0.404358,0.25177,0.00762939,0.152588,55,0.0305176,0.0305176
66,0,1560,1415,0.213623,0.427246,0.274658,0.00762939,0.152588,55,0.0228882,0.038147
67,0,1579,1554,0.213623,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
68,0,1394,1530,0.305176,0.411987,0.267029,0.00762939,0.144958,55,0.0228882,0.038147
69,0,1213,1558,0.213623,0.610352,0.457764,0.00762939,0.152588,55,0.0305176,0.038147
70,0,1598,1587,0.205994,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
71,0,1579,1575,0.213623,0.419617,0.259399,0,0.160217,55,0.0305176,0.038147
72,0,1579,1496,0.213623,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
73,0,1579,1553,0.205994,0.427246,0.274658,0.00762939,0.152588,55,0.0228882,0.038147
74,0,1579,1548,0.221252,0.411987,0.259399,0.00762939,0.152588,55,0.0305176,0.038147
75,0,1524,1581,0.228882,0.427246,0.267029,0.00762939,0.160217,55,0.0228882,0.038147
76,0,1579,1573,0.213623,0.419617,0.259399,0,0.160217,55,0.0305176,0.038147
77,0,1598,1594,0.205994,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
78,0,1579,1604,0.213623,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
79,0,1409,1549,0.289917,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
80,0,1560,1553,0.228882,0.411987,0.259399,0.00762939,0.152588,55,0.0305176,0.038147
81,0,1598,1571,0.213623,0.411987,0.267029,0.00762939,0.144958,55,0.0228882,0.038147
82,0,1579,1596,0.213623,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
83,0,1598,1587,0.221252,0.404358,0.25177,0.00762939,0.152588,55,0.0305176,0.0305176
84,0,1440,1546,0.282288,0.411987,0.259399,0,0.152588,55,0.0305176,0.038147
85,0,1579,1585,0.221252,0.411987,0.267029,0.00762939,0.144958,55,0.0228882,0.038147
86,0,1598,1534,0.213623,0.411987,0.259399,0,0.152588,55,0.0305176,0.038147
87,0,1598,1589,0.213623,0.411987,0.259399,0.00762939,0.152588,55,0.0305176,0.0305176
88,0,1579,1554,0.221252,0.411987,0.259399,0.00762939,0.152588,55,0.0305176,0.0305176
89,0,1579,1591,0.221252,0.411987,0.259399,0.00762939,0.152588,55,0.0305176,0.0305176
90,0,1618,1542,0.205994,0.411987,0.267029,0.00762939,0.144958,55,0.0228882,0.038147
91,0,1579,1469,0.213623,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
92,0,1579,1525,0.213623,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
93,0,1598,1550,0.213623,0.411987,0.259399,0.00762939,0.152588,55,0.0305176,0.0305176
94,0,1579,1569,0.213623,0.419617,0.267029,0,0.152588,55,0.0305176,0.038147
95,0,1598,1553,0.213623,0.411987,0.259399,0,0.152588,55,0.0305176,0.038147
96,0,1579,1583,0.228882,0.404358,0.25177,0.00762939,0.152588,55,0.0305176,0.0305176
97,0,1560,1583,0.205994,0.434875,0.274658,0,0.160217,55,0.0305176,0.038147
98,0,1560,1570,0.213623,0.427246,0.267029,0.00762939,0.160217,55,0.0228882,0.038147
99,0,1579,1581,0.213623,0.419617,0.259399,0.00762939,0.160217,55,0.0305176,0.0305176
100,0,1598,1570,0.205994,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
101,0,1560,1566,0.205994,0.434875,0.267029,0,0.167847,55,0.0305176,0.038147
102,0,1560,1593,0.205994,0.434875,0.267029,0.00762939,0.167847,55,0.0228882,0.038147
103,0,1579,1585,0.221252,0.411987,0.259399,0.00762939,0.152588,55,0.0305176,0.0305176
104,0,1598,1572,0.205994,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
105,0,1379,1508,0.305176,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
106,0,1579,1539,0.213623,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
107,0,1598,1585,0.205994,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
108,0,1598,1587,0.205994,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
109,0,1598,1579,0.213623,0.411987,0.259399,0.00762939,0.152588,55,0.0305176,0.0305176
110,0,1598,1534,0.221252,0.404358,0.25177,0.00762939,0.152588,55,0.0305176,0.0305176
111,0,1579,1497,0.213623,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
112,0,1560,1581,0.221252,0.419617,0.259399,0,0.160217,55,0.0305176,0.038147
113,0,1579,1587,0.213623,0.419617,0.259399,0.00762939,0.160217,55,0.0305176,0.0305176
114,0,1598,1534,0.205994,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
115,0,1598,1560,0.205994,0.419617,0.259399,0,0.160217,55,0.0305176,0.038147
116,0,1638,1560,0.190735,0.419617,0.267029,0.00762939,0.152588,55,0.0228882,0.038147
