Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99902,900,977,0.560284,0.55027,0.329494,0.00619888,0.220776,56,0.301361,0.04673
2,-5.99971,971,962,0.480175,0.54884,0.339985,0.00619888,0.208855,57,0.302315,0.0481606
3,-6.99924,955,955,0.513077,0.533104,0.325203,0.00715256,0.207901,58,0.320911,0.0433922
4,-7.9996,988,970,0.471115,0.540733,0.332832,0.00667572,0.207901,56,0.295639,0.041008
5,-8.99953,975,954,0.477791,0.547409,0.33474,0.00667572,0.212669,54,0.300407,0.0400543
6,-9.99937,990,982,0.473976,0.535965,0.319481,0.00667572,0.216484,54,0.300407,0.0391006
7,-10.9991,942,938,0.504494,0.555992,0.329018,0.00762939,0.226974,54,0.307083,0.0400543
8,-11.9996,957,974,0.483513,0.56076,0.341415,0.00667572,0.219345,53,0.300407,0.0391006
9,-12.9992,983,959,0.473976,0.542641,0.324249,0.00667572,0.218391,53,0.300407,0.0391006
10,-13.9998,963,956,0.478745,0.558853,0.338554,0.00667572,0.220299,51,0.294685,0.0391006
11,-14.9993,988,972,0.475883,0.535965,0.320435,0.00762939,0.21553,51,0.305176,0.0391006
12,-16,985,951,0.473022,0.541687,0.31662,0.00762939,0.225067,51,0.291824,0.038147
13,-16.9997,974,951,0.47493,0.551224,0.331879,0.00762939,0.219345,51,0.293732,0.0400543
14,-17.9991,972,959,0.47493,0.553131,0.324249,0.00762939,0.228882,51,0.301361,0.038147
15,-18.999,978,956,0.47493,0.547409,0.322342,0.0133514,0.225067,51,0.295639,0.038147
16,-19.9996,961,948,0.473022,0.566483,0.337601,0.00762939,0.228882,51,0.297546,0.0400543
17,-20.9996,960,949,0.488281,0.553131,0.333786,0.00762939,0.219345,50,0.299454,0.0400543
18,-21.9994,953,957,0.488281,0.56076,0.337601,0.00572205,0.22316,52,0.30899,0.0400543
19,-22.9999,956,955,0.490189,0.555038,0.328064,0.00762939,0.226974,53,0.310898,0.0419617
20,-23.9991,956,957,0.482559,0.562668,0.329971,0.00762939,0.232697,50,0.307083,0.038147
21,-24.9991,965,950,0.484467,0.551224,0.322342,0.00572205,0.228882,49,0.303268,0.038147
22,-25.9991,841,960,0.637054,0.551224,0.320435,0.00572205,0.230789,49,0.307083,0.038147
23,-26.9991,974,954,0.478745,0.547409,0.326157,0.00572205,0.221252,49,0.301361,0.0400543
24,-27.9997,978,959,0.473022,0.549316,0.333786,0.00762939,0.21553,50,0.293732,0.0400543
25,-28.9993,967,919,0.490189,0.543594,0.322342,0.00572205,0.221252,52,0.30899,0.0400543
26,-29.9999,953,941,0.492096,0.556946,0.324249,0.00572205,0.232697,54,0.314713,0.0400543
27,-30.9994,949,951,0.492096,0.56076,0.337601,0.00762939,0.22316,54,0.310898,0.043869
28,-31.9996,942,953,0.495911,0.564575,0.343323,0.00762939,0.221252,55,0.301361,0.0419617
29,-32.9998,942,955,0.495911,0.564575,0.335693,0.00762939,0.228882,56,0.305176,0.0419617
30,-33.9993,953,941,0.488281,0.56076,0.339508,0.00762939,0.221252,55,0.312805,0.0457764
31,-34.9993,942,952,0.499725,0.56076,0.335693,0.00762939,0.225067,56,0.324249,0.0419617
32,-35.9998,949,957,0.495911,0.556946,0.328064,0.00762939,0.228882,55,0.30899,0.0419617
33,-36.9998,960,943,0.476837,0.564575,0.339508,0.00762939,0.225067,58,0.301361,0.0457764
34,-37.9998,946,949,0.484467,0.572205,0.343323,0.00762939,0.228882,58,0.30899,0.0457764
35,-38.9993,894,946,0.56839,0.549316,0.331879,0.00762939,0.217438,58,0.31662,0.0457764
36,-39.9997,960,953,0.484467,0.556946,0.335693,0.0038147,0.221252,58,0.30899,0.0419617
37,-40.9993,956,946,0.492096,0.553131,0.335693,0.00762939,0.217438,57,0.312805,0.0457764
38,-41.999,949,950,0.495911,0.556946,0.324249,0.00762939,0.232697,56,0.30899,0.0419617
39,-42.9995,946,956,0.495911,0.56076,0.339508,0.00762939,0.221252,54,0.31662,0.0419617
40,-43.9997,960,943,0.484467,0.556946,0.339508,0.00762939,0.217438,54,0.305176,0.0419617
41,-44.9999,974,953,0.476837,0.549316,0.324249,0.0038147,0.225067,52,0.297546,0.038147
42,-45.9998,900,956,0.556946,0.553131,0.328064,0.00762939,0.225067,51,0.305176,0.038147
43,-46.9998,953,956,0.492096,0.556946,0.331879,0.00762939,0.225067,50,0.301361,0.038147
44,-47.9998,956,966,0.480652,0.564575,0.335693,0.00762939,0.228882,51,0.301361,0.038147
45,-48.9993,974,966,0.480652,0.545502,0.328064,0.00762939,0.217438,51,0.305176,0.0419617
46,-49.9994,960,964,0.488281,0.553131,0.331879,0.0038147,0.221252,50,0.305176,0.038147
47,-50.9991,956,940,0.488281,0.556946,0.328064,0.00762939,0.228882,49,0.305176,0.038147
48,-51.9994,963,950,0.484467,0.553131,0.331879,0.00762939,0.221252,49,0.305176,0.038147
49,-52.9999,974,961,0.480652,0.545502,0.324249,0.00762939,0.221252,47,0.301361,0.038147
50,-53.9993,974,965,0.488281,0.537872,0.31662,0.0038147,0.221252,46,0.305176,0.0343323
51,-54.9998,967,963,0.476837,0.556946,0.328064,0.0038147,0.228882,46,0.297546,0.0343323
52,-55.9991,967,962,0.480652,0.553131,0.324249,0.00762939,0.228882,46,0.301361,0.038147
53,-57,989,965,0.469208,0.541687,0.31662,0.0038147,0.225067,47,0.293732,0.0343323
54,-57.9997,946,956,0.499725,0.556946,0.331879,0.0038147,0.225067,46,0.297546,0.0343323
55,-58.999,967,954,0.480652,0.553131,0.324249,0.00762939,0.228882,45,0.297546,0.038147
56,-59.9992,967,950,0.476837,0.556946,0.328064,0.00762939,0.228882,45,0.305176,0.0419617
57,-60.9997,967,960,0.480652,0.553131,0.331879,0.00762939,0.221252,43,0.297546,0.0343323
58,-61.9997,978,971,0.473022,0.549316,0.331879,0.00762939,0.217438,43,0.289917,0.0343323
59,-62.9992,981,963,0.473022,0.545502,0.31662,0.00762939,0.228882,43,0.293732,0.0343323
60,-63.9991,970,966,0.480652,0.549316,0.320435,0.00762939,0.228882,43,0.297546,0.038147
61,-64.9996,992,978,0.465393,0.541687,0.320435,0.00762939,0.221252,43,0.297546,0.0305176
