Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.68894,256,291,2.92397,0.967503,0.492573,0.0224113,0.47493,56,0.567436,0.067234
2,-5.65685,317,298,2.26831,0.885487,0.448704,0.014782,0.436783,55,0.402451,0.0844002
3,-6.62869,251,283,2.64263,1.3299,0.332832,0.0166893,0.997066,56,0.385284,0.102997
4,-7.59851,256,295,3.13091,0.763893,0.289917,0.00953674,0.473976,54,0.287056,0.0457764
5,-8.56793,251,278,3.23677,0.740051,0.293732,0.0276566,0.44632,54,0.296593,0.043869
6,-9.53979,247,290,3.02124,1.01471,0.525475,0.0143051,0.489235,53,0.58651,0.0743866
7,-10.5102,242,283,3.20721,0.91362,0.411987,0.0152588,0.501633,52,0.628471,0.0696182
8,-11.4799,245,284,2.87914,1.18828,0.591278,0.0209808,0.597,53,0.534058,0.149727
9,-12.4504,249,283,3.00694,1.0004,0.509262,0.0152588,0.491142,53,0.559807,0.0743866
10,-13.4203,255,287,2.89726,1.02139,0.297546,0.0257492,0.723839,53,0.324249,0.0505447
11,-14.3896,244,300,3.3226,0.770569,0.271797,0.0104904,0.498772,52,0.285149,0.041008
12,-15.361,257,293,2.8553,1.02997,0.53215,0.0247955,0.497818,51,0.60463,0.102997
13,-16.3311,259,304,2.8553,1.00136,0.530243,0.0457764,0.471115,51,0.593185,0.0991821
14,-17.3016,264,310,2.65121,1.12534,0.606537,0.0267029,0.518799,50,0.566483,0.0686646
15,-18.2697,269,316,2.94113,0.768661,0.284195,0.0114441,0.484467,50,0.286102,0.0419617
16,-19.2403,276,326,2.84958,0.764847,0.307083,0.0114441,0.457764,50,0.28801,0.0400543
17,-20.2104,286,327,2.55585,0.938416,0.350952,0.0133514,0.587463,54,0.366211,0.0591278
18,-21.182,307,288,1.00517,2.25067,1.03378,0.0228882,1.21689,54,0.835419,0.125885
19,-22.1492,192,264,1.12343,4.0741,0.782013,0.0247955,3.29208,52,0.940323,0.144958
20,-23.1206,208,250,1.75095,3.04031,1.12915,0.0247955,1.91116,53,1.33514,0.164032
21,-24.0895,216,247,1.35231,3.26729,0.946045,0.0305176,2.32124,52,1.12343,0.255585
22,-25.0602,183,251,1.38283,4.06075,1.12724,0.0457764,2.9335,52,1.14441,0.303268
23,-26.0287,219,240,1.39236,3.17192,0.905991,0.0267029,2.26593,51,1.19019,0.230789
24,-27.0024,268,264,1.15013,2.57111,0.900269,0.0419617,1.67084,53,0.955582,0.169754
