Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.9994,682,675,1.09053,0.375271,0.207424,0.0123978,0.167847,56,0.308037,0.0243187
2,-5.99936,665,703,1.17493,0.328541,0.183582,0.0214577,0.144958,57,0.27132,0.0224113
3,-6.99925,606,650,1.27792,0.370026,0.207901,0.0157356,0.162125,58,0.318527,0.0267029
4,-7.99863,730,728,0.653267,0.715256,0.391006,0.0200272,0.324249,56,0.551224,0.0505447
5,-8.9999,644,678,1.21403,0.336647,0.185966,0.0123978,0.150681,54,0.271797,0.0209808
6,-9.9991,647,677,1.2207,0.324249,0.177383,0.0114441,0.146866,54,0.264168,0.0200272
7,-10.9999,650,668,1.20068,0.336647,0.183105,0.0123978,0.153542,54,0.268936,0.0219345
8,-11.9999,667,664,0.981331,0.515938,0.359535,0.0114441,0.156403,53,0.486374,0.0209808
9,-12.9994,766,656,0.624657,0.67997,0.356674,0.0171661,0.323296,53,0.537872,0.04673
10,-13.999,580,676,1.34277,0.378609,0.206947,0.0209808,0.171661,51,0.312805,0.0219345
11,-14.9996,654,637,1.00136,0.526428,0.368118,0.0133514,0.15831,51,0.565529,0.0200272
12,-15.9994,576,669,1.39427,0.341415,0.177383,0.0152588,0.164032,51,0.284195,0.0209808
13,-16.9991,568,658,1.38855,0.371933,0.198364,0.0152588,0.173569,51,0.31662,0.0228882
14,-17.9987,661,685,0.709534,0.801086,0.429153,0.0114441,0.371933,51,0.629425,0.0514984
15,-18.9991,521,625,1.54495,0.371933,0.196457,0.0152588,0.175476,51,0.301361,0.0228882
16,-19.9996,678,677,0.898361,0.576019,0.320435,0.0228882,0.255585,51,0.654221,0.0591278
17,-20.9995,670,639,1.14441,0.347137,0.19455,0.00953674,0.152588,50,0.272751,0.0209808
18,-21.9995,576,628,1.31035,0.423431,0.234604,0.0171661,0.188828,52,0.333786,0.0286102
19,-22.999,538,642,1.51062,0.347137,0.185013,0.0133514,0.162125,53,0.284195,0.0209808
20,-23.999,607,676,1.27792,0.368118,0.198364,0.0152588,0.169754,50,0.295639,0.0209808
21,-24.9986,591,715,1.34468,0.347137,0.18692,0.0133514,0.160217,49,0.284195,0.0209808
22,-25.9987,613,715,1.22643,0.402451,0.217438,0.0152588,0.185013,49,0.324249,0.0247955
23,-26.9999,769,722,0.928879,0.370026,0.200272,0.0114441,0.169754,49,0.297546,0.0209808
24,-27.999,584,746,1.36948,0.341415,0.183105,0.0152588,0.15831,50,0.28038,0.0209808
25,-28.9992,583,698,1.38092,0.331879,0.173569,0.0114441,0.15831,52,0.270844,0.0190735
26,-29.9995,607,697,1.09482,0.551224,0.297546,0.0190735,0.253677,54,0.459671,0.0362396
27,-30.9995,628,760,1.22452,0.366211,0.192642,0.0152588,0.173569,54,0.310898,0.0247955
28,-31.9999,702,698,1.08719,0.335693,0.190735,0.0190735,0.144958,55,0.263214,0.0228882
29,-32.9997,702,719,1.07574,0.347137,0.19455,0.0152588,0.152588,56,0.270844,0.0228882
30,-34,771,685,0.926971,0.370026,0.205994,0.0114441,0.164032,55,0.297546,0.0267029
31,-34.9988,631,725,1.19781,0.385284,0.205994,0.0152588,0.179291,56,0.31662,0.0228882
32,-36,726,705,1.02997,0.347137,0.18692,0.0114441,0.160217,55,0.267029,0.0228882
33,-36.9991,576,715,1.39236,0.343323,0.190735,0.0152588,0.152588,58,0.282288,0.0228882
34,-37.9997,616,726,1.25122,0.370026,0.19455,0.0114441,0.175476,58,0.301361,0.0228882
35,-38.9988,631,685,1.20163,0.38147,0.205994,0.0190735,0.175476,58,0.312805,0.0267029
36,-39.9991,618,752,1.22452,0.392914,0.221252,0.0152588,0.171661,58,0.320435,0.0267029
37,-40.9991,576,718,1.39236,0.343323,0.190735,0.0114441,0.152588,57,0.289917,0.0228882
38,-41.9994,590,690,1.36948,0.324249,0.171661,0.0114441,0.152588,56,0.278473,0.0190735
39,-42.9988,572,704,1.40762,0.339508,0.183105,0.0152588,0.156403,54,0.289917,0.0228882
40,-43.9986,593,687,1.34659,0.339508,0.179291,0.0190735,0.160217,54,0.282288,0.0228882
41,-44.999,633,717,1.20163,0.377655,0.202179,0.0152588,0.175476,52,0.301361,0.0228882
42,-45.9999,581,701,1.38092,0.339508,0.183105,0.0152588,0.156403,51,0.282288,0.0228882
43,-46.9986,740,729,0.999451,0.350952,0.179291,0.0152588,0.171661,50,0.274658,0.0190735
44,-47.9988,606,691,1.297,0.350952,0.190735,0.0190735,0.160217,51,0.282288,0.0190735
45,-49,576,714,1.39618,0.339508,0.175476,0.0152588,0.164032,51,0.289917,0.0228882
46,-49.9987,821,716,0.839233,0.377655,0.202179,0.0152588,0.175476,50,0.289917,0.0228882
47,-50.999,801,734,0.88501,0.362396,0.190735,0.0190735,0.171661,49,0.289917,0.0190735
48,-51.9986,736,743,1.01852,0.339508,0.179291,0.0152588,0.160217,49,0.255585,0.0190735
