Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99958,805,736,0.760555,0.481129,0.257015,0.0209808,0.224113,56,0.415325,0.0300407
2,-5.99898,962,806,0.660419,0.378132,0.19455,0.0166893,0.183582,57,0.344276,0.0243187
3,-6.99964,970,931,0.609398,0.42057,0.228882,0.0152588,0.191689,58,0.345707,0.026226
4,-7.99942,1035,891,0.542641,0.423431,0.254631,0.0123978,0.1688,56,0.32711,0.0247955
5,-8.99959,919,976,0.667572,0.419617,0.244141,0.0152588,0.175476,54,0.364304,0.0238419
6,-9.99909,994,1006,0.596046,0.409126,0.224113,0.0143051,0.185013,54,0.331879,0.0238419
7,-10.9999,817,857,0.646591,0.576973,0.311852,0.0162125,0.265121,54,0.396729,0.0324249
8,-11.9999,921,886,0.63324,0.452042,0.244141,0.0133514,0.207901,53,0.37384,0.0257492
9,-12.9994,953,922,0.619888,0.429153,0.226021,0.0162125,0.203133,53,0.353813,0.0247955
10,-13.9991,863,932,0.693321,0.464439,0.239372,0.0181198,0.225067,51,0.387192,0.0238419
11,-14.9991,887,944,0.654221,0.472069,0.224113,0.0123978,0.247955,51,0.351906,0.0257492
12,-15.9991,866,927,0.694275,0.459671,0.240326,0.0152588,0.219345,51,0.341415,0.0228882
13,-16.9994,934,834,0.669479,0.400543,0.213623,0.0190735,0.18692,51,0.366211,0.0228882
14,-18,860,883,0.652313,0.509262,0.282288,0.0171661,0.226974,51,0.360489,0.0247955
15,-18.9995,811,888,0.694275,0.537872,0.303268,0.0209808,0.234604,51,0.392914,0.0247955
16,-19.999,851,824,0.696182,0.478745,0.242233,0.0114441,0.236511,51,0.383377,0.0228882
17,-20.9995,826,927,0.694275,0.514984,0.282288,0.0190735,0.232697,50,0.358582,0.0286102
18,-21.9993,932,867,0.640869,0.431061,0.213623,0.0114441,0.217438,52,0.362396,0.0247955
19,-22.9989,763,866,0.823975,0.486374,0.236511,0.0228882,0.249863,53,0.394821,0.0286102
20,-23.9994,958,864,0.637054,0.406265,0.204086,0.0114441,0.202179,50,0.383377,0.0247955
21,-24.9993,963,884,0.602722,0.434875,0.219345,0.0133514,0.21553,49,0.331879,0.0247955
22,-25.9997,911,973,0.701904,0.394821,0.211716,0.0152588,0.183105,49,0.383377,0.0247955
23,-26.9992,1000,1039,0.585556,0.413895,0.188828,0.00953674,0.225067,49,0.329971,0.0267029
24,-27.9991,1018,961,0.537872,0.444412,0.246048,0.00953674,0.198364,50,0.31662,0.0247955
25,-28.9996,1014,1018,0.619888,0.366211,0.18692,0.0133514,0.179291,52,0.343323,0.0267029
26,-29.9992,1059,1017,0.562668,0.38147,0.19455,0.00953674,0.18692,54,0.34523,0.0228882
27,-30.9995,833,865,0.677109,0.522614,0.299454,0.0190735,0.22316,54,0.385284,0.0305176
28,-31.9997,851,806,0.69809,0.476837,0.263214,0.0152588,0.213623,55,0.450134,0.0305176
29,-32.9999,824,840,0.743866,0.469208,0.244141,0.0228882,0.225067,56,0.427246,0.0457764
30,-33.9992,876,839,0.648499,0.492096,0.274658,0.0152588,0.217438,55,0.389099,0.0419617
