Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms)
1,-4.99983,3088,2855,0.17643,0.147343,0.119209,0.00333786,0.0281334,35,0.00524521,0.0119209
2,-5.99996,1846,1770,0.392914,0.148773,0.121593,0.00238419,0.0271797,34,0.0038147,0.0119209
3,-6.99998,2841,2554,0.207424,0.144482,0.117302,0.00238419,0.0271797,34,0.00333786,0.0114441
4,-7.99999,2723,2701,0.197411,0.169754,0.120163,0.00286102,0.0495911,34,0.00476837,0.0114441
5,-8.99965,2737,2668,0.21553,0.149727,0.12207,0.00286102,0.0276566,35,0.0038147,0.0123978
6,-9.99983,2514,2610,0.239372,0.15831,0.127792,0.0038147,0.0305176,37,0.00572205,0.0133514
7,-10.9997,2752,2730,0.217438,0.145912,0.118256,0.00190735,0.0276566,36,0.0038147,0.0114441
8,-11.9999,2759,2629,0.212669,0.149727,0.121117,0.00286102,0.0286102,36,0.00476837,0.0123978
9,-12.9997,2641,2708,0.232697,0.145912,0.118256,0.00286102,0.0276566,36,0.0038147,0.0123978
10,-13.9998,2216,2799,0.306129,0.144958,0.117302,0.00190735,0.0276566,36,0.00476837,0.0114441
11,-14.9997,2647,2237,0.226974,0.150681,0.118256,0.00190735,0.0324249,36,0.0038147,0.0123978
12,-15.9998,2131,2686,0.291824,0.177383,0.148773,0.00572205,0.0286102,36,0.00762939,0.0190735
13,-16.9999,2330,2546,0.28038,0.148773,0.120163,0.0038147,0.0286102,36,0.00572205,0.0114441
14,-17.9998,1669,2919,0.427246,0.171661,0.137329,0.0038147,0.0343323,35,0.00762939,0.0133514
15,-18.9997,2730,2596,0.217438,0.148773,0.120163,0.0038147,0.0286102,35,0.0038147,0.0114441
16,-19.9998,2962,2659,0.188828,0.148773,0.120163,0.0038147,0.0286102,35,0.00572205,0.0114441
17,-20.9998,2803,2851,0.211716,0.144958,0.114441,0.00190735,0.0305176,36,0.00572205,0.0133514
18,-21.9999,2299,2756,0.286102,0.148773,0.120163,0.00190735,0.0286102,37,0.0038147,0.0133514
19,-22.9998,2774,2493,0.217438,0.143051,0.116348,0.00190735,0.0267029,36,0.0038147,0.0133514
20,-23.9998,2880,2738,0.205994,0.141144,0.114441,0.00190735,0.0267029,36,0.0038147,0.0114441
21,-24.9998,2818,2752,0.213623,0.141144,0.114441,0.0038147,0.0267029,35,0.0038147,0.0114441
22,-25.9999,2803,2737,0.127792,0.228882,0.125885,0.0305176,0.102997,35,0.00572205,0.0133514
23,-26.9999,2759,2607,0.21553,0.146866,0.118256,0.0038147,0.0286102,35,0.00572205,0.0114441
24,-27.9998,2438,2860,0.261307,0.148773,0.120163,0.0038147,0.0286102,35,0.0038147,0.0114441
25,-28.9998,2788,3077,0.165939,0.192642,0.1297,0.00190735,0.0629425,35,0.0038147,0.0247955
26,-29.9997,2833,3052,0.192642,0.160217,0.131607,0.0038147,0.0286102,35,0.00572205,0.0171661
27,-30.9997,2849,2907,0.175476,0.175476,0.148773,0.0038147,0.0267029,35,0.0038147,0.0114441
28,-32,2496,2852,0.255585,0.144958,0.114441,0,0.0305176,33,0.00762939,0.0114441
29,-33,2945,2739,0.198364,0.141144,0.114441,0.0038147,0.0267029,34,0.0038147,0.0114441
30,-33.9998,2404,2958,0.274658,0.141144,0.110626,0,0.0305176,35,0.00762939,0.0114441
31,-34.9997,2520,2999,0.25177,0.144958,0.114441,0,0.0305176,36,0.0038147,0.0114441
32,-35.9998,3744,2858,0.114441,0.152588,0.12207,0.0038147,0.0305176,36,0.00762939,0.0114441
33,-36.9999,3013,2981,0.179291,0.152588,0.125885,0.0152588,0.0267029,36,0.00762939,0.0114441
34,-37.9998,2945,2794,0.167847,0.171661,0.118256,0.0038147,0.0534058,36,0.00762939,0.0114441
35,-38.9999,2259,2917,0.282288,0.160217,0.1297,0.0038147,0.0305176,37,0.00762939,0.0114441
36,-39.9998,2383,2786,0.263214,0.156403,0.12207,0.0038147,0.0343323,37,0.00762939,0.0114441
37,-40.9998,2912,2835,0.202179,0.141144,0.114441,0.0038147,0.0267029,37,0.00762939,0.0114441
38,-41.9998,2880,2653,0.205994,0.141144,0.114441,0,0.0267029,37,0.0038147,0.0114441
39,-42.9998,1724,2915,0.389099,0.190735,0.160217,0.00762939,0.0305176,37,0.00762939,0.038147
40,-44,2473,2912,0.263214,0.141144,0.110626,0,0.0305176,36,0.00762939,0.0114441
41,-44.9999,2473,2881,0.255585,0.148773,0.118256,0,0.0305176,37,0.0038147,0.0152588
42,-45.9997,2818,2633,0.202179,0.152588,0.12207,0,0.0305176,38,0.0038147,0.0152588
43,-46.9997,3013,2867,0.19455,0.137329,0.110626,0.0038147,0.0267029,37,0.00762939,0.0114441
44,-47.9998,2849,2603,0.156403,0.19455,0.144958,0.0038147,0.0495911,37,0.00762939,0.0114441
45,-48.9996,2978,2807,0.19455,0.141144,0.114441,0.0038147,0.0267029,36,0.00762939,0.0114441
46,-49.9999,2788,3068,0.213623,0.144958,0.118256,0.0038147,0.0267029,38,0.0038147,0.0114441
47,-50.9998,2221,2818,0.301361,0.148773,0.118256,0,0.0305176,30,0.0038147,0.0114441
48,-51.9998,2978,3043,0.19455,0.141144,0.114441,0.0038147,0.0267029,30,0.0038147,0.0114441
49,-52.9998,2702,2955,0.228882,0.141144,0.110626,0.0038147,0.0305176,30,0.0038147,0.00762939
50,-53.9998,2674,2858,0.232697,0.141144,0.114441,0.0038147,0.0267029,32,0.0038147,0.0114441
51,-54.9998,2945,2981,0.19455,0.144958,0.114441,0,0.0305176,33,0.0038147,0.0114441
52,-55.9998,1899,2979,0.370026,0.156403,0.1297,0.0038147,0.0267029,33,0.0038147,0.0152588
