Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
1,-1,1906,1781,0.236988,0.287533,0.00190735,0.0524521,55,0.108242,0.0181198
2,-1,1852,1761,0.245571,0.294209,0.00190735,0.0605583,55,0.109673,0.0190735
3,0,1672,1727,0.299454,0.2985,0.00238419,0.100613,55,0.110626,0.0219345
4,0,1836,1902,0.247955,0.296593,0.00190735,0.0524521,55,0.109673,0.0200272
5,0,2012,1764,0.22316,0.273705,0.00190735,0.0505447,55,0.0972748,0.0219345
6,0,1842,1870,0.248909,0.293732,0.00286102,0.0543594,55,0.102043,0.0219345
7,0,1909,1755,0.235558,0.28801,0.00286102,0.0543594,55,0.104904,0.0209808
8,0,1846,1750,0.238419,0.303268,0.00190735,0.0543594,55,0.106812,0.0190735
9,0,1963,1584,0.227928,0.281334,0.00286102,0.0505447,55,0.0963211,0.0238419
10,0,1941,1852,0.236511,0.278473,0.00190735,0.0524521,55,0.0944138,0.0190735
11,0,1839,1838,0.246048,0.297546,0.00190735,0.0562668,55,0.103951,0.0181198
12,0,1724,1858,0.307083,0.272751,0.00190735,0.043869,55,0.0972748,0.0171661
13,-1,1993,1742,0.228882,0.272751,0.0038147,0.0476837,55,0.102997,0.0171661
14,-1,1879,1915,0.242233,0.289917,0.0038147,0.0591278,55,0.106812,0.0209808
15,-1,1178,1822,0.461578,0.387192,0.00762939,0.0782013,55,0.131607,0.0305176
16,0,1178,1831,0.444412,0.404358,0.0038147,0.0667572,55,0.143051,0.0247955
17,0,1963,1820,0.217438,0.291824,0.00190735,0.0495911,55,0.106812,0.0190735
18,0,1132,1910,0.385284,0.497818,0.0038147,0.0629425,55,0.137329,0.0305176
19,0,1963,1931,0.226974,0.282288,0.00190735,0.0495911,55,0.0991821,0.0228882
20,0,1949,1896,0.22316,0.289917,0.00190735,0.0534058,55,0.102997,0.0209808
21,0,1251,1709,0.402451,0.396729,0.0038147,0.146866,55,0.108719,0.0324249
22,0,1456,1662,0.377655,0.30899,0.0038147,0.165939,55,0.116348,0.0209808
23,0,1219,1529,0.56076,0.259399,0.00190735,0.131607,55,0.0991821,0.0171661
24,0,1675,1668,0.324249,0.272751,0.0038147,0.114441,55,0.0991821,0.0209808
25,0,1820,1725,0.289917,0.259399,0.00190735,0.104904,55,0.0934601,0.0190735
26,0,1833,1622,0.276566,0.268936,0.00190735,0.108719,55,0.0972748,0.0190735
27,0,1685,1533,0.289917,0.303268,0.00190735,0.118256,55,0.0953674,0.0228882
28,0,1713,1598,0.301361,0.282288,0.0038147,0.118256,55,0.0915527,0.0228882
29,0,1472,1501,0.339508,0.339508,0.0038147,0.110626,55,0.125885,0.0228882
30,0,1669,1583,0.324249,0.274658,0.0038147,0.125885,55,0.102997,0.0190735
31,0,1747,1677,0.328064,0.244141,0,0.12207,55,0.0839233,0.0152588
32,0,1771,1657,0.289917,0.274658,0,0.118256,55,0.0991821,0.0228882
33,0,1409,1760,0.335693,0.37384,0.0038147,0.152588,55,0.114441,0.0305176
34,0,1659,1541,0.358582,0.244141,0,0.110626,55,0.087738,0.0190735
35,0,1659,1679,0.343323,0.259399,0.0038147,0.144958,55,0.0991821,0.0190735
36,0,1713,1694,0.286102,0.297546,0.0038147,0.106812,55,0.133514,0.0190735
37,0,1618,1645,0.293732,0.324249,0.0038147,0.118256,55,0.102997,0.0228882
38,0,1724,1703,0.305176,0.274658,0.0038147,0.110626,55,0.0915527,0.0190735
39,0,1702,1799,0.331879,0.255585,0.0038147,0.118256,55,0.0915527,0.0152588
40,0,1736,1641,0.286102,0.289917,0,0.114441,55,0.102997,0.0305176
41,0,1680,1666,0.347137,0.247955,0.0038147,0.1297,55,0.0915527,0.0190735
42,0,1680,1728,0.339508,0.255585,0.0038147,0.133514,55,0.087738,0.0190735
43,0,1724,1724,0.30899,0.270844,0.0038147,0.118256,55,0.0991821,0.0228882
44,0,1669,1526,0.305176,0.293732,0,0.12207,55,0.0991821,0.0190735
45,0,1659,1588,0.335693,0.267029,0.0038147,0.125885,55,0.0915527,0.0190735
46,0,1691,1593,0.301361,0.289917,0.0038147,0.114441,55,0.0991821,0.0228882
47,0,1807,1618,0.293732,0.259399,0.0038147,0.114441,55,0.0953674,0.0228882
48,0,1472,1678,0.347137,0.331879,0.0038147,0.12207,55,0.102997,0.0228882
49,0,1713,1526,0.305176,0.278473,0.0038147,0.118256,55,0.0953674,0.0228882
50,0,1872,1797,0.274658,0.259399,0.0038147,0.106812,55,0.0915527,0.0190735
51,0,1771,1692,0.305176,0.259399,0,0.12207,55,0.087738,0.0190735
52,0,2114,1678,0.205994,0.267029,0,0.0457764,55,0.0991821,0.0152588
53,0,1771,1803,0.247955,0.31662,0,0.0572205,55,0.102997,0.0190735
54,0,1885,1930,0.236511,0.293732,0.0038147,0.0457764,55,0.106812,0.0190735
55,0,2032,1822,0.217438,0.274658,0,0.0495911,55,0.0991821,0.0228882
56,0,2032,1789,0.228882,0.263214,0.0038147,0.0495911,55,0.087738,0.0190735
57,-1.27714,1747,1868,0.244141,0.328064,0,0.0534058,55,0.102997,0.0228882
58,-4.03222,1771,1957,0.278473,0.286102,0,0.0610352,55,0.106812,0.0190735
59,-5.9973,2016,1810,0.217438,0.278473,0,0.0495911,57,0.102997,0.0228882
60,-4.2598,1771,1629,0.289917,0.274658,0.00762939,0.0915527,55,0.0991821,0.0228882
61,-1.39501,1638,1750,0.297546,0.312805,0,0.0610352,54,0.114441,0.0228882
62,-1.65367,1747,1818,0.289917,0.282288,0,0.114441,56,0.0991821,0.0228882
63,-4.65118,1680,1657,0.320435,0.274658,0.00762939,0.114441,55,0.0991821,0.0228882
64,-5.94178,1820,1680,0.297546,0.25177,0.00762939,0.12207,57,0.0915527,0.0228882
65,-3.6109,1771,1554,0.289917,0.274658,0,0.114441,55,0.0991821,0.0228882
66,-1.11589,1456,1587,0.350952,0.335693,0,0.12207,54,0.106812,0.0610352
67,0,2016,1765,0.213623,0.282288,0,0.0534058,55,0.106812,0.0228882
68,0,1985,1747,0.228882,0.274658,0,0.0534058,55,0.0915527,0.0228882
69,0,1702,1956,0.25177,0.335693,0.00762939,0.0457764,55,0.12207,0.0152588
70,0,1956,1785,0.213623,0.297546,0,0.0534058,55,0.106812,0.0228882
71,0,2016,1880,0.244141,0.25177,0.00762939,0.0534058,55,0.0915527,0.0152588
72,0,1560,1718,0.320435,0.320435,0,0.114441,55,0.0915527,0.0228882
73,0,1724,1753,0.297546,0.282288,0,0.12207,55,0.0991821,0.0305176
74,0,1659,1591,0.312805,0.289917,0,0.114441,55,0.0991821,0.0228882
75,0,1472,1648,0.358582,0.320435,0,0.12207,55,0.114441,0.0228882
76,0,1771,1532,0.282288,0.282288,0,0.106812,55,0.0991821,0.0305176
77,0,1872,1685,0.267029,0.267029,0.00762939,0.106812,55,0.0991821,0.0152588
78,0,1618,1616,0.343323,0.274658,0.00762939,0.152588,55,0.106812,0.0152588
