Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
1,-1,250,257,1.65844,2.33126,0.0152588,0.639439,55,0.946522,0.329018
2,-1,183,254,2.47431,2.97403,0.0190735,0.90313,55,1.08004,0.329971
3,0,276,253,1.83487,1.78146,0.023365,0.529766,55,0.744343,0.117302
4,0,332,281,1.42956,1.57833,0.0133514,0.470161,55,0.564575,0.0905991
5,0,271,268,1.46008,2.22397,0.0114441,0.472069,55,0.735283,0.127792
6,0,230,280,2.60639,1.73569,0.0171661,0.985146,55,0.718117,0.277519
7,0,270,283,2.16389,1.53732,0.0247955,0.781059,55,0.689507,0.125885
8,0,256,260,2.67124,1.22738,0.0219345,1.32465,55,0.597,0.0915527
9,0,174,281,4.03786,1.6861,0.0171661,2.50053,55,0.681877,0.156403
10,0,333,219,2.15149,0.846863,0.0133514,1.02711,55,0.418663,0.0734329
11,0,344,269,1.8549,1.04904,0.0133514,0.958443,55,0.459671,0.079155
12,0,192,228,2.72179,2.47955,0.0133514,1.32179,55,1.00899,0.139236
13,0,252,221,2.74658,1.20926,0.0133514,1.4019,55,0.595093,0.0953674
14,0,247,222,2.66838,1.36757,0.0152588,1.41716,55,0.595093,0.0934601
15,0,302,271,2.16866,1.13869,0.0152588,1.07956,55,0.507355,0.0801086
16,0,284,297,2.15912,1.36185,0.0152588,1.07193,55,0.507355,0.0782013
17,0,246,276,2.77138,1.28746,0.0152588,1.35422,55,0.635147,0.101089
18,0,210,213,3.27873,1.46294,0.0247955,1.87302,55,0.705719,0.104904
19,0,256,239,2.44713,1.44958,0.0133514,1.12152,55,0.635147,0.0934601
20,0,309,261,2.19727,1.03569,0.0133514,1.06621,55,0.514984,0.0801086
21,0,255,299,2.18201,1.72615,0.0171661,1.32179,55,0.547409,0.0953674
22,0,293,269,2.11716,1.28555,0.0152588,1.08337,55,0.505447,0.082016
23,0,252,220,2.7504,1.21307,0.0171661,1.40381,55,0.593185,0.0953674
24,0,259,223,2.6207,1.22643,0.0152588,1.37711,55,0.598907,0.106812
25,0,264,281,2.46048,1.32561,0.0171661,1.42097,55,0.642776,0.125885
26,0,269,285,2.35748,1.34659,0.0247955,1.31416,55,0.589371,0.116348
27,0,221,304,3.04031,1.47438,0.0228882,1.08719,55,0.741959,0.144958
28,0,344,272,1.67847,1.22833,0.0152588,0.522614,55,0.595093,0.102997
29,0,311,270,1.72424,1.48392,0.0114441,0.522614,55,0.595093,0.0915527
30,0,261,282,1.83868,1.97983,0.0152588,0.530243,55,0.915527,0.106812
31,0,284,287,2.09427,1.41907,0.0152588,0.556946,55,0.652313,0.106812
32,-1,327,304,1.51825,1.53351,0.0114441,0.526428,55,0.69046,0.102997
33,-1,312,277,1.93024,1.27029,0.0114441,0.762939,55,0.591278,0.0915527
34,-1,232,287,2.72751,1.57928,0.0152588,1.14441,55,0.591278,0.110626
35,0,324,286,1.9722,1.11008,0.0114441,0.469208,55,0.530243,0.0839233
36,0,297,277,2.06375,1.29318,0.0114441,0.56839,55,0.63324,0.106812
37,0,248,287,1.88828,2.13242,0.0152588,0.522614,55,0.728607,0.0953674
38,0,252,288,1.74713,2.20871,0.0152588,0.488281,55,0.69046,0.110626
39,0,279,289,1.81198,1.7662,0.0190735,0.766754,55,0.629425,0.114441
40,0,312,298,1.72043,1.48392,0.0152588,0.823975,55,0.694275,0.102997
41,0,312,270,2.20108,0.999451,0.0190735,1.36185,55,0.499725,0.087738
42,0,180,271,3.95584,1.59073,0.0114441,2.45285,55,0.644684,0.152588
43,0,211,264,3.89481,0.827789,0.0114441,1.43814,55,0.415802,0.0648499
44,0,329,292,1.82724,1.20926,0.0152588,0.972748,55,0.614166,0.0801086
45,0,312,282,1.84631,1.35422,0.0114441,1.00708,55,0.62561,0.0801086
46,0,336,270,2.01797,0.957489,0.0114441,0.991821,55,0.469208,0.0724792
47,0,315,270,2.17819,0.988007,0.0152588,1.11771,55,0.530243,0.0839233
48,0,267,245,2.59399,1.14822,0.0152588,1.23215,55,0.56076,0.0839233
49,0,199,237,3.45993,1.5564,0.0190735,2.11716,55,0.743866,0.133514
50,0,244,266,2.34985,1.73569,0.0114441,1.15204,55,0.530243,0.0801086
51,0,288,298,2.44522,1.02615,0.0152588,1.19019,55,0.473022,0.0915527
52,0,266,285,2.48337,1.26266,0.0190735,1.65939,55,0.621796,0.144958
53,0,208,249,3.33023,1.45721,0.0228882,2.01416,55,0.759125,0.202179
54,0,209,250,3.26157,1.50299,0.0152588,2.04468,55,0.762939,0.12207
55,0,257,278,2.63977,1.23978,0.0190735,1.31607,55,0.537872,0.087738
56,0,242,276,2.81525,1.31607,0.0801086,1.86157,55,0.782013,0.110626
57,0,319,295,2.14005,0.991821,0.0152588,0.995636,55,0.480652,0.087738
58,0,261,249,2.6207,1.20544,0.0190735,1.24359,55,0.576019,0.087738
59,0,259,247,2.63214,1.22452,0.0152588,1.30081,55,0.564575,0.0839233
60,0,333,275,2.11334,0.88501,0.0152588,0.938416,55,0.434875,0.0686646
61,0,299,293,2.35748,0.976562,0.0152588,1.02234,55,0.480652,0.0762939
62,0,326,291,2.05994,1.00708,0.0152588,0.999451,55,0.488281,0.0762939
63,0,229,280,3.3493,1.00708,0.0228882,1.76239,55,0.526428,0.0915527
64,0,293,287,2.33459,1.06812,0.0152588,1.0376,55,0.495911,0.0915527
65,0,286,282,2.16675,1.31989,0.00762939,1.37329,55,0.579834,0.167847
66,0,225,290,2.6474,1.78528,0.0228882,1.73187,55,0.854492,0.0915527
67,0,255,296,2.17438,1.7395,0.0152588,0.999451,55,0.564575,0.0991821
68,0,271,251,2.54059,1.14441,0.0152588,1.20544,55,0.564575,0.0915527
69,0,213,243,3.24249,1.43433,0.0152588,1.89209,55,0.724792,0.144958
70,0,340,263,1.8158,1.12152,0.0152588,1.01471,55,0.556946,0.0991821
71,0,317,283,2.10571,1.04523,0.0152588,1.06049,55,0.518799,0.0762939
72,0,280,296,2.53296,1.02997,0.0152588,1.34277,55,0.480652,0.0762939
73,0,253,303,2.47955,1.47247,0.0152588,0.640869,55,0.717163,0.137329
74,0,299,299,1.51825,1.82343,0.0152588,0.488281,55,0.816345,0.114441
75,0,266,308,1.8692,1.87683,0.00762939,0.511169,55,0.564575,0.0915527
76,0,307,306,1.57928,1.67084,0.0152588,0.495911,55,0.694275,0.0915527
77,0,249,317,2.18201,1.83105,0.0534058,0.679016,55,0.747681,0.152588
78,-1.45367,226,314,2.13623,2.28119,0.0228882,0.587463,56,0.930786,0.152588
79,-4.3634,291,304,1.6861,1.74713,0.0152588,0.526428,55,0.663757,0.0991821
80,-5.98942,317,290,1.70135,1.44958,0.00762939,0.488281,57,0.564575,0.0839233
81,-3.92436,268,296,1.91498,1.8158,0.0152588,0.518799,55,0.556946,0.0839233
82,-1.22794,349,251,1.77765,1.08337,0.0152588,0.671387,54,0.534058,0.0915527
83,-1.90378,295,283,2.31171,1.07574,0.00762939,1.37329,56,0.511169,0.106812
84,-4.9469,326,268,2.09808,0.968933,0.00762939,0.991821,55,0.480652,0.0762939
85,-5.84483,244,297,2.12097,1.97601,0.0228882,1.2207,57,0.617981,0.167847
86,-3.26177,322,269,2.0752,1.02234,0.00762939,1.0376,55,0.511169,0.0762939
87,-1.03604,235,289,2.83051,1.41907,0.0152588,1.37329,55,0.724792,0.244141
88,0,225,258,2.03705,2.39563,0.0152588,0.541687,55,1.02997,0.25177
89,0,237,301,1.84631,2.37274,0.00762939,0.518799,55,0.610352,0.1297
90,0,278,283,1.84631,1.7395,0.0152588,0.747681,55,0.740051,0.190735
91,0,229,287,2.37274,1.98364,0.0228882,0.717163,55,0.816345,0.312805
92,0,230,284,1.61743,2.72369,0.0152588,0.534058,55,1.19019,0.1297
93,0,268,298,1.44958,2.27356,0.00762939,0.511169,55,0.907898,0.12207
94,0,286,288,1.95312,1.54114,0.00762939,0.495911,55,0.694275,0.0991821
95,0,336,248,2.11334,0.854492,0.00762939,0.366211,55,0.427246,0.0686646
96,0,246,275,2.69318,1.36566,0.0228882,0.999451,55,0.564575,0.259399
97,0,223,249,3.31116,1.15967,0.0152588,1.20544,55,0.450134,0.0762939
98,0,210,225,3.12805,1.63269,0.0152588,2.15912,55,0.75531,0.167847
99,0,201,177,3.20435,1.74713,0.0152588,1.98364,55,0.663757,0.1297
100,0,182,168,3.84521,1.64032,0.0152588,2.39563,55,0.63324,0.144958
101,0,227,243,2.94495,1.45721,0.0152588,1.47247,55,0.549316,0.106812
102,0,309,243,2.36511,0.862122,0.0152588,1.05286,55,0.404358,0.0686646
103,0,263,282,2.58636,1.21307,0.00762939,1.32751,55,0.564575,0.0839233
104,0,210,178,3.46375,1.297,0.0228882,1.51825,55,0.587463,0.152588
105,0,258,185,2.61688,1.25885,0.0152588,1.1673,55,0.442505,0.12207
106,0,311,259,1.64032,1.57166,0.00762939,0.907898,55,0.701904,0.12207
107,0,241,248,2.71606,1.4267,0.0152588,1.78528,55,0.617981,0.183105
108,0,240,245,2.55585,1.60217,0.0152588,1.60217,55,0.663757,0.0915527
109,0,178,170,3.3493,2.2583,0.0152588,2.25067,55,0.961304,0.282288
110,0,258,226,2.66266,1.20544,0.0152588,1.28174,55,0.572205,0.0915527
111,0,244,293,2.92969,1.1673,0.0152588,1.74713,55,0.488281,0.213623
112,0,243,283,2.0752,2.03705,0.0152588,1.06049,55,0.823975,0.175476
113,0,201,206,3.40271,1.57166,0.0228882,2.06757,55,0.762939,0.160217
114,0,154,186,4.57001,1.88446,0.0152588,2.74658,55,0.762939,0.175476
115,0,260,189,2.67029,1.17493,0.0152588,1.21307,55,0.541687,0.0839233
116,0,324,209,1.65558,1.4267,0.0152588,0.915527,55,0.511169,0.1297
117,0,344,233,2.10571,0.801086,0.0152588,0.88501,55,0.389099,0.0610352
118,0,199,257,2.69318,2.31171,0.00762939,1.19781,55,0.450134,0.0915527
119,0,269,217,1.99127,1.71661,0.0152588,0.549316,55,0.717163,0.0915527
120,0,309,209,1.97601,1.25885,0.0152588,0.518799,55,0.564575,0.0915527
121,0,308,280,1.50299,1.7395,0.0152588,0.610352,55,0.747681,0.114441
122,0,254,223,2.45667,1.4801,0.0152588,0.854492,55,0.617981,0.144958
123,0,270,282,2.40326,1.297,0.0152588,0.900269,55,0.564575,0.183105
124,-1,422,284,1.31226,1.05286,0,0.411987,55,0.442505,0.0915527
125,-1,235,267,2.34985,1.89209,0.0152588,0.839233,55,0.793457,0.152588
126,-1,259,272,1.80054,2.05994,0,0.534058,55,0.717163,0.0762939
127,0,235,255,2.09045,2.15149,0.0152588,0.762939,55,0.808716,0.152588
128,0,275,261,2.21252,1.41907,0.0152588,0.717163,55,0.595093,0.106812
129,0,129,268,4.15039,3.60107,0.0152588,2.76184,55,0.778198,0.152588
130,0,262,270,2.33459,1.4801,0.0152588,1.14441,55,0.549316,0.12207
131,0,280,256,2.50244,1.06812,0,0.457764,55,0.38147,0.0762939
132,0,266,276,2.16675,1.58691,0.0305176,1.34277,55,0.579834,0.198364
133,0,261,276,2.36511,1.46484,0.0152588,1.34277,55,0.595093,0.12207
134,0,211,250,3.28064,1.44958,0.0305176,1.90735,55,0.671387,0.152588
135,0,208,242,3.41797,1.37329,0.0152588,2.02942,55,0.686646,0.137329
136,0,313,269,1.98364,1.20544,0.0305176,1.12915,55,0.595093,0.12207
137,0,319,289,2.19727,0.930786,0.0152588,1.37329,55,0.457764,0.0762939
138,0,306,271,2.04468,1.2207,0.0457764,1.11389,55,0.564575,0.137329
139,0,246,252,2.7771,1.28174,0.0152588,1.46484,55,0.595093,0.106812
140,0,187,238,3.64685,1.69373,0.0152588,2.62451,55,0.732422,0.198364
141,0,329,260,2.15149,0.88501,0.0152588,1.37329,55,0.427246,0.0762939
142,0,299,288,1.98364,1.35803,0.0152588,1.08337,55,0.50354,0.0762939
143,0,233,269,2.62451,1.66321,0.0152588,1.34277,55,0.595093,0.12207
144,0,274,268,2.05994,1.58691,0.0152588,1.02234,55,0.640869,0.12207
145,0,261,288,2.36511,1.46484,0.0152588,1.00708,55,0.793457,0.259399
146,0,348,266,1.4801,1.38855,0.0152588,0.518799,55,0.610352,0.0915527
147,0,233,289,2.86865,1.41907,0.0152588,1.28174,55,0.686646,0.0915527
148,0,239,281,1.98364,2.19727,0.0305176,0.976562,55,0.762939,0.183105
149,0,135,250,4.01306,3.38745,0.0152588,1.51062,55,1.46484,0.38147
150,-1,235,284,2.12097,2.12097,0.0152588,0.549316,55,0.610352,0.0915527
151,-1,180,246,3.479,2.05994,0.0305176,1.57166,55,0.778198,0.183105
152,-1,284,245,1.46484,2.04468,0.0152588,0.595093,55,0.778198,0.228882
153,0,404,293,1.4801,0.991821,0.0152588,0.457764,55,0.488281,0.0762939
154,0,186,229,2.82288,2.54822,0.0152588,0.900269,55,1.20544,0.244141
155,0,96,203,6.43921,3.87573,0.0152588,1.90735,55,2.38037,0.198364
156,0,215,233,2.54822,2.09045,0.0152588,0.869751,55,0.671387,0.167847
157,0,206,252,3.0365,1.8158,0.0152588,0.823975,55,0.62561,0.12207
158,0,300,262,1.95312,1.37329,0.0152588,0.976562,55,0.473022,0.0915527
