Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
1,-1,570,599,1.07431,0.678062,0.0128746,0.146866,55,0.324726,0.0472069
2,-1,690,744,0.821114,0.626564,0.0100136,0.114441,55,0.301838,0.0443459
3,0,691,872,0.850677,0.59557,0.00858307,0.115871,55,0.291348,0.0419617
4,0,566,897,1.18542,0.57888,0.00953674,0.108719,55,0.279427,0.0419617
5,0,426,793,1.7662,0.580788,0.0104904,0.119209,55,0.285149,0.0400543
6,0,441,893,1.66798,0.598907,0.0123978,0.124931,55,0.297546,0.0419617
7,0,426,849,1.74141,0.601768,0.0219345,0.118256,55,0.301361,0.0429153
8,0,805,763,0.681877,0.558853,0.0104904,0.265121,55,0.281334,0.0400543
9,0,442,765,1.62888,0.632286,0.0152588,0.266075,55,0.267982,0.0429153
10,0,794,718,0.669479,0.589371,0.0104904,0.267029,55,0.313759,0.0400543
11,0,550,737,1.15204,0.665665,0.0123978,0.261307,55,0.270844,0.0600815
12,0,463,735,1.53923,0.616074,0.0152588,0.265121,55,0.289917,0.043869
13,0,655,760,0.764847,0.761032,0.0133514,0.28801,55,0.368118,0.0705719
14,0,738,732,0.797272,0.556946,0.0114441,0.259399,55,0.274658,0.0400543
15,0,485,764,1.52779,0.534058,0.0114441,0.267029,55,0.259399,0.038147
16,0,845,742,0.62561,0.556946,0.0114441,0.25177,55,0.284195,0.0419617
17,0,487,729,1.35803,0.694275,0.0133514,0.265121,55,0.31662,0.0476837
18,0,830,774,0.665665,0.537872,0.00953674,0.257492,55,0.267029,0.0400543
19,0,666,631,0.890732,0.610352,0.0247955,0.282288,55,0.291824,0.0476837
20,0,812,746,0.684738,0.545502,0.0133514,0.259399,55,0.268936,0.0400543
21,0,453,900,1.64032,0.566483,0.0114441,0.118256,55,0.274658,0.0400543
22,0,482,800,1.4801,0.591278,0.0114441,0.120163,55,0.284195,0.0419617
23,0,853,851,0.541687,0.629425,0.00762939,0.133514,55,0.284195,0.0553131
24,0,972,822,0.488281,0.53978,0.0114441,0.112534,55,0.272751,0.0400543
25,0,851,888,0.528336,0.646591,0.00762939,0.116348,55,0.272751,0.0419617
26,-1,845,907,0.537872,0.644684,0.00953674,0.116348,55,0.268936,0.0419617
27,-1,734,821,0.722885,0.638962,0.00762939,0.135422,55,0.28801,0.0534058
28,-1,862,882,0.579834,0.579834,0.00762939,0.12207,55,0.282288,0.0419617
29,0,488,861,1.49155,0.556946,0.0114441,0.118256,55,0.274658,0.038147
30,0,821,793,0.637054,0.579834,0.00762939,0.118256,55,0.282288,0.0534058
31,0,936,854,0.511169,0.556946,0.00762939,0.118256,55,0.286102,0.038147
32,0,853,864,0.610352,0.56076,0.0114441,0.125885,55,0.278473,0.0419617
33,0,916,853,0.526428,0.564575,0.0114441,0.118256,55,0.278473,0.0457764
34,0,913,867,0.537872,0.556946,0.0114441,0.110626,55,0.267029,0.038147
35,0,352,856,1.93024,0.904083,0.0152588,0.25177,55,0.583649,0.0762939
36,0,845,796,0.610352,0.572205,0.0114441,0.12207,55,0.289917,0.0419617
37,0,910,892,0.56076,0.537872,0.0114441,0.118256,55,0.270844,0.038147
38,0,865,720,0.534058,0.621796,0.00762939,0.125885,55,0.286102,0.0419617
39,0,903,895,0.56076,0.545502,0.0114441,0.114441,55,0.274658,0.038147
40,0,879,839,0.545502,0.591278,0.0114441,0.114441,55,0.282288,0.0419617
41,-1.00126,919,846,0.545502,0.541687,0.00762939,0.148773,55,0.270844,0.038147
42,-2.94247,919,885,0.530243,0.556946,0.00762939,0.114441,56,0.270844,0.0419617
43,-5.71446,891,833,0.564575,0.556946,0.0114441,0.141144,56,0.270844,0.0534058
44,-5.18338,916,828,0.522614,0.56839,0.00762939,0.133514,55,0.274658,0.038147
45,-2.14134,882,863,0.549316,0.583649,0.00762939,0.12207,55,0.289917,0.0419617
46,-1.12551,716,797,0.736237,0.659943,0.00762939,0.263214,55,0.267029,0.0419617
47,-3.65357,728,770,0.782013,0.591278,0.00762939,0.278473,55,0.286102,0.038147
48,-5.95324,806,775,0.675201,0.564575,0.00762939,0.278473,56,0.305176,0.0419617
49,-4.58993,794,752,0.694275,0.564575,0.00762939,0.267029,55,0.289917,0.038147
50,-1.60146,700,744,0.797272,0.629425,0.0114441,0.278473,55,0.312805,0.0572205
51,0,804,755,0.656128,0.587463,0.0152588,0.156403,55,0.274658,0.0572205
52,0,757,877,0.671387,0.648499,0.0114441,0.114441,55,0.274658,0.0648499
53,0,720,867,0.659943,0.728607,0.0152588,0.12207,55,0.274658,0.0495911
54,0,903,827,0.541687,0.564575,0.0114441,0.118256,55,0.293732,0.038147
55,0,832,891,0.587463,0.614166,0.0114441,0.118256,55,0.324249,0.0457764
56,0,766,828,0.656128,0.648499,0.0114441,0.133514,55,0.282288,0.0534058
57,0,804,783,0.705719,0.537872,0.0152588,0.282288,55,0.274658,0.038147
58,0,780,800,0.736237,0.545502,0.0114441,0.278473,55,0.274658,0.0419617
59,0,806,692,0.69809,0.541687,0.00762939,0.286102,55,0.274658,0.0419617
60,0,732,805,0.732422,0.63324,0.00762939,0.282288,55,0.289917,0.0457764
61,0,704,781,0.839233,0.579834,0.0152588,0.350952,55,0.282288,0.0534058
62,0,771,771,0.701904,0.595093,0.0152588,0.259399,55,0.328064,0.038147
63,0,809,764,0.694275,0.541687,0.0152588,0.259399,55,0.282288,0.038147
64,0,766,737,0.732422,0.572205,0.0152588,0.267029,55,0.289917,0.0457764
65,0,720,747,0.694275,0.694275,0.00762939,0.267029,55,0.350952,0.0457764
66,0,780,723,0.724792,0.556946,0.00762939,0.274658,55,0.274658,0.038147
67,0,732,769,0.823975,0.541687,0.00762939,0.282288,55,0.267029,0.038147
68,0,766,788,0.75531,0.549316,0.0152588,0.289917,55,0.274658,0.038147
69,0,766,723,0.732422,0.572205,0.0152588,0.267029,55,0.297546,0.038147
70,0,784,810,0.732422,0.541687,0.00762939,0.282288,55,0.274658,0.038147
71,0,724,714,0.694275,0.686646,0.00762939,0.267029,55,0.343323,0.0610352
72,0,766,779,0.75531,0.549316,0.00762939,0.297546,55,0.282288,0.038147
73,0,799,797,0.686646,0.564575,0.00762939,0.282288,55,0.297546,0.038147
74,0,744,712,0.785828,0.556946,0.00762939,0.305176,55,0.282288,0.0457764
75,0,689,777,0.724792,0.724792,0.0152588,0.259399,55,0.389099,0.038147
76,0,789,773,0.694275,0.572205,0.00762939,0.274658,55,0.289917,0.0457764
77,0,639,738,0.961304,0.602722,0.038147,0.297546,55,0.320435,0.0534058
78,0,814,777,0.686646,0.541687,0.0152588,0.267029,55,0.274658,0.038147
79,0,753,837,0.656128,0.671387,0.00762939,0.167847,55,0.350952,0.0610352
80,0,891,808,0.564575,0.556946,0.00762939,0.1297,55,0.289917,0.0457764
81,0,879,857,0.541687,0.595093,0.00762939,0.137329,55,0.282288,0.0457764
82,0,799,786,0.579834,0.671387,0.00762939,0.114441,55,0.335693,0.038147
83,0,891,854,0.579834,0.541687,0.0152588,0.137329,55,0.274658,0.038147
84,-1,780,872,0.579834,0.701904,0.0152588,0.114441,55,0.312805,0.0534058
85,-1,862,765,0.564575,0.595093,0.00762939,0.12207,55,0.282288,0.0534058
86,-1,736,820,0.587463,0.770569,0.0152588,0.144958,55,0.366211,0.0686646
87,0,732,857,0.63324,0.732422,0.0152588,0.152588,55,0.305176,0.0534058
88,0,840,826,0.587463,0.602722,0.00762939,0.1297,55,0.274658,0.0534058
89,0,956,899,0.495911,0.549316,0.00762939,0.1297,55,0.274658,0.038147
90,0,809,868,0.610352,0.62561,0.0152588,0.114441,55,0.282288,0.0457764
91,0,910,796,0.541687,0.556946,0.00762939,0.114441,55,0.267029,0.038147
92,0,645,841,0.907898,0.640869,0.0228882,0.297546,55,0.305176,0.0534058
