Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
1,-1,734,709,0.86832,0.49305,0.00858307,0.0815392,55,0.281811,0.0224113
2,-1,690,667,0.956535,0.491619,0.00762939,0.0810623,55,0.252247,0.0228882
3,0,663,681,1.01089,0.495434,0.00810623,0.082016,55,0.258923,0.0267029
4,0,681,643,0.977516,0.489235,0.00667572,0.0810623,55,0.258446,0.0238419
5,0,686,676,0.979424,0.477791,0.00858307,0.0829697,55,0.260353,0.0238419
6,0,744,678,0.832558,0.511169,0.00858307,0.0905991,55,0.297546,0.0238419
7,0,705,678,0.905991,0.512123,0.00762939,0.0991821,55,0.275612,0.0247955
8,0,655,686,1.02043,0.504494,0.0104904,0.218391,55,0.266075,0.0238419
9,0,707,691,0.902176,0.511169,0.00953674,0.218391,55,0.275612,0.0257492
10,0,655,629,1.02139,0.504494,0.0104904,0.219345,55,0.265121,0.0247955
11,0,872,627,0.519753,0.626564,0.00858307,0.260353,55,0.349998,0.0314713
12,0,635,585,0.738144,0.835419,0.0324249,0.354767,55,0.476837,0.0419617
13,0,661,736,0.713348,0.797272,0.0133514,0.360489,55,0.4673,0.038147
14,0,764,700,0.749588,0.558853,0.0114441,0.242233,55,0.310898,0.0267029
15,0,629,686,1.10054,0.488281,0.0152588,0.219345,55,0.270844,0.0209808
16,0,625,664,1.10626,0.492096,0.00762939,0.221252,55,0.265121,0.0247955
17,0,661,638,1.02997,0.480652,0.00762939,0.213623,55,0.261307,0.0247955
18,0,695,700,0.932693,0.505447,0.00953674,0.0896454,55,0.268936,0.0247955
19,0,726,690,0.66185,0.715256,0.0114441,0.144958,55,0.406265,0.038147
20,0,686,655,0.980377,0.476837,0.0114441,0.0858307,55,0.261307,0.0209808
21,0,686,678,0.982285,0.47493,0.00953674,0.0896454,55,0.259399,0.0209808
22,0,694,684,0.974655,0.465393,0.00953674,0.082016,55,0.263214,0.0209808
23,-1,687,642,0.993729,0.461578,0.00953674,0.0782013,55,0.253677,0.0190735
24,-1,665,658,0.993729,0.509262,0.00953674,0.087738,55,0.263214,0.0247955
25,-1,665,650,1.03378,0.469208,0.00762939,0.087738,55,0.265121,0.0209808
26,0,689,663,0.999451,0.450134,0.00762939,0.0858307,55,0.257492,0.0209808
27,0,689,673,0.967026,0.482559,0.00953674,0.0896454,55,0.261307,0.0209808
28,0,686,679,0.980377,0.476837,0.00762939,0.0839233,55,0.259399,0.0190735
29,0,667,699,0.999451,0.499725,0.00762939,0.087738,55,0.263214,0.0267029
30,0,762,684,0.778198,0.534058,0.00762939,0.102997,55,0.293732,0.0228882
31,0,697,679,0.957489,0.476837,0.00762939,0.0915527,55,0.255585,0.0228882
32,0,672,656,0.984192,0.50354,0.00762939,0.217438,55,0.267029,0.0228882
33,0,665,665,1.01089,0.492096,0.00762939,0.213623,55,0.259399,0.0267029
34,0,680,649,0.980377,0.488281,0.00762939,0.202179,55,0.259399,0.0228882
35,0,695,692,0.961304,0.476837,0.00762939,0.209808,55,0.255585,0.0228882
36,0,665,653,1.00708,0.495911,0.00762939,0.209808,55,0.267029,0.0228882
37,0,661,644,1.02234,0.488281,0.00762939,0.209808,55,0.259399,0.0228882
38,0,675,672,0.991821,0.488281,0.00762939,0.213623,55,0.259399,0.0228882
39,0,704,652,0.926971,0.492096,0.00762939,0.213623,55,0.274658,0.0228882
40,0,677,675,0.991821,0.484467,0.00762939,0.209808,55,0.25177,0.0267029
41,0,668,646,1.01471,0.480652,0.00762939,0.217438,55,0.259399,0.0267029
42,0,689,666,0.976562,0.473022,0.00762939,0.209808,55,0.255585,0.0228882
43,0,740,693,0.793457,0.556946,0.00762939,0.236511,55,0.301361,0.0267029
44,0,680,662,0.732422,0.736237,0.0152588,0.328064,55,0.434875,0.038147
45,0,834,691,0.534058,0.663757,0.0114441,0.118256,55,0.362396,0.0343323
46,0,665,696,0.999451,0.50354,0.0152588,0.0915527,55,0.274658,0.0228882
47,0,746,647,0.713348,0.62561,0.0114441,0.106812,55,0.331879,0.0267029
48,0,647,667,1.01471,0.530243,0.0114441,0.0991821,55,0.270844,0.0267029
49,0,728,677,0.785828,0.587463,0.00762939,0.106812,55,0.320435,0.0267029
50,-1.07081,748,695,0.526428,0.808716,0.0190735,0.152588,55,0.457764,0.038147
51,-3.44887,742,669,0.728607,0.617981,0.0114441,0.110626,55,0.339508,0.0305176
52,-5.9018,658,721,0.801086,0.717163,0.0114441,0.133514,56,0.411987,0.0343323
53,-4.7856,688,699,0.900269,0.553131,0.00762939,0.0953674,55,0.297546,0.0228882
54,-1.76078,657,661,1.03378,0.488281,0.0114441,0.087738,55,0.274658,0.0228882
55,-1.3171,665,662,0.823975,0.679016,0.0114441,0.286102,56,0.396729,0.0305176
56,-4.11976,661,705,0.812531,0.69809,0.00762939,0.301361,55,0.404358,0.0343323
57,-5.99986,720,700,0.782013,0.606537,0.0038147,0.25177,57,0.335693,0.0305176
58,-4.16908,740,696,0.762939,0.587463,0.0038147,0.25177,55,0.320435,0.0267029
59,-1.34483,644,640,0.88501,0.667572,0.0038147,0.286102,54,0.38147,0.0305176
60,0,652,660,1.02997,0.50354,0.0152588,0.0839233,55,0.274658,0.0228882
61,0,648,659,1.00708,0.534058,0.00762939,0.0915527,55,0.289917,0.0228882
62,0,682,616,0.946045,0.518799,0.00762939,0.0991821,55,0.282288,0.0228882
63,0,704,716,0.823975,0.595093,0.00762939,0.106812,55,0.335693,0.0305176
64,0,762,654,0.762939,0.549316,0.00762939,0.0991821,55,0.305176,0.0228882
65,0,744,702,0.541687,0.801086,0.0152588,0.152588,55,0.450134,0.038147
66,0,655,684,0.839233,0.686646,0.0152588,0.25177,55,0.404358,0.0305176
67,0,665,658,1.00708,0.495911,0.00762939,0.205994,55,0.282288,0.0152588
68,0,658,694,1.0376,0.480652,0.00762939,0.221252,55,0.259399,0.0228882
69,0,675,631,1.00708,0.473022,0.0152588,0.213623,55,0.259399,0.0228882
70,0,720,684,0.793457,0.595093,0.0152588,0.25177,55,0.343323,0.0228882
71,0,658,700,1.02234,0.495911,0.00762939,0.213623,55,0.259399,0.0228882
72,0,550,570,1.06049,0.75531,0.0152588,0.114441,55,0.434875,0.038147
73,0,645,585,0.75531,0.793457,0.0152588,0.152588,55,0.434875,0.038147
74,0,675,581,0.915527,0.564575,0.00762939,0.106812,55,0.305176,0.0305176
75,0,668,671,0.793457,0.701904,0.0152588,0.0991821,55,0.404358,0.0305176
76,0,661,642,0.999451,0.511169,0.00762939,0.0915527,55,0.282288,0.0228882
77,-1,630,631,1.04523,0.541687,0.0152588,0.0991821,55,0.289917,0.0228882
78,-1,648,650,0.938416,0.602722,0.0152588,0.0915527,55,0.305176,0.0228882
79,-1,748,671,0.663757,0.671387,0.0152588,0.106812,55,0.343323,0.0305176
80,0,700,670,0.587463,0.839233,0.00762939,0.152588,55,0.50354,0.038147
81,0,744,658,0.762939,0.579834,0.0152588,0.114441,55,0.320435,0.0228882
82,0,682,626,1.00708,0.457764,0.00762939,0.0915527,55,0.267029,0.0228882
83,0,636,665,1.06049,0.511169,0.00762939,0.0915527,55,0.282288,0.0228882
84,0,665,655,1.00708,0.495911,0.00762939,0.0915527,55,0.267029,0.0228882
85,0,665,632,1.01471,0.488281,0.0152588,0.205994,55,0.259399,0.0228882
86,0,672,711,0.991821,0.495911,0.00762939,0.213623,55,0.267029,0.0228882
87,0,642,642,1.04523,0.511169,0.00762939,0.213623,55,0.274658,0.0305176
88,0,740,688,0.740051,0.610352,0.00762939,0.259399,55,0.335693,0.0305176
89,0,652,640,1.0376,0.495911,0.00762939,0.213623,55,0.259399,0.0228882
90,0,658,649,1.02997,0.488281,0.00762939,0.205994,55,0.267029,0.0228882
91,0,645,688,1.04523,0.50354,0.00762939,0.221252,55,0.267029,0.0228882
92,0,642,693,1.05286,0.50354,0.00762939,0.221252,55,0.267029,0.0228882
93,0,639,643,1.06812,0.495911,0.00762939,0.221252,55,0.267029,0.0228882
94,0,652,661,1.02997,0.50354,0.00762939,0.213623,55,0.259399,0.0305176
95,0,720,676,0.808716,0.579834,0.0152588,0.244141,55,0.320435,0.0228882
