Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
1,0,3692,2233,0.125408,0.145435,0.00190735,0.00524521,35,0.00429153,0.0133514
2,0,4341,3414,0.108242,0.12207,0.00190735,0.00476837,35,0.0038147,0.0166893
3,0,4202,3891,0.110149,0.127792,0.00190735,0.00524521,35,0.0038147,0.0133514
4,0,2570,3709,0.249863,0.139236,0.000953674,0.00572205,35,0.00476837,0.0143051
5,0,4144,3556,0.104904,0.136375,0.000953674,0.00572205,35,0.0038147,0.0143051
6,0,4462,3943,0.0982285,0.125885,0.00190735,0.00476837,35,0.0038147,0.0133514
7,0,2978,3758,0.210762,0.124931,0.00190735,0.0038147,35,0.0038147,0.0133514
8,0,3603,4090,0.128746,0.148773,0.00286102,0.00667572,35,0.00476837,0.0143051
9,0,3705,2071,0.131607,0.138283,0.00190735,0.00572205,35,0.0038147,0.0143051
10,0,4211,3547,0.107765,0.1297,0.00190735,0.00476837,35,0.00286102,0.0181198
11,0,3130,4019,0.190735,0.128746,0.000953674,0.00476837,35,0.0038147,0.0133514
12,0,3297,3824,0.144958,0.15831,0.00572205,0.00762939,35,0.00572205,0.0152588
13,0,3566,3650,0.152588,0.127792,0.00190735,0.00572205,35,0.0038147,0.0133514
14,0,3615,3768,0.141144,0.135422,0.0038147,0.00572205,35,0.00572205,0.0133514
15,0,4297,3860,0.106812,0.125885,0.00190735,0.00572205,35,0.00190735,0.0133514
16,0,1777,3807,0.429153,0.133514,0.00190735,0.0038147,35,0.0038147,0.0133514
17,-1,4128,3693,0.110626,0.131607,0.00190735,0.0038147,38,0.0038147,0.0133514
18,-1,3518,3434,0.15831,0.125885,0,0.0038147,38,0.0038147,0.0133514
19,-1,3591,3490,0.137329,0.141144,0.00190735,0.00572205,38,0.00572205,0.0133514
20,0,1814,3169,0.413895,0.137329,0.00190735,0.0038147,35,0.0038147,0.0171661
21,0,2995,3810,0.173569,0.160217,0.00190735,0.00762939,35,0.00572205,0.0133514
22,0,3404,3828,0.164032,0.1297,0.00190735,0.0038147,35,0.0038147,0.0133514
23,0,3382,3667,0.162125,0.133514,0.00190735,0.0038147,35,0.0038147,0.0133514
24,0,3883,3834,0.118256,0.139236,0.00190735,0.0038147,35,0.00572205,0.0133514
25,0,3360,3765,0.162125,0.135422,0.00190735,0.0038147,35,0.00762939,0.0133514
26,0,3615,3572,0.143051,0.133514,0.00190735,0.0038147,35,0.0038147,0.0133514
27,0,3692,2983,0.137329,0.133514,0.00190735,0.00572205,35,0.0038147,0.0133514
28,0,3971,3519,0.114441,0.137329,0,0.0038147,35,0.0038147,0.0152588
29,0,3799,3229,0.118256,0.144958,0.0038147,0.0038147,35,0.0038147,0.0152588
30,0,3404,3390,0.160217,0.133514,0,0.0038147,35,0.0038147,0.0152588
31,0,3318,3579,0.179291,0.12207,0,0.0038147,35,0.0038147,0.0152588
32,0,4599,3612,0.0915527,0.125885,0,0.0038147,35,0.0038147,0.0152588
33,0,3318,2762,0.152588,0.148773,0.0038147,0.00762939,35,0.00762939,0.0152588
34,0,4519,3375,0.0953674,0.125885,0,0.00762939,35,0.0038147,0.0114441
35,0,5041,3522,0.0801086,0.118256,0,0.0038147,35,0,0.0190735
36,-1,2788,3895,0.18692,0.171661,0.0038147,0.00762939,38,0.00762939,0.0190735
37,-1,3692,3565,0.110626,0.160217,0.0038147,0.0038147,38,0.0038147,0.0190735
38,-1,4161,3606,0.102997,0.137329,0,0.0038147,38,0.0038147,0.0152588
39,0,3799,3385,0.144958,0.118256,0,0.0038147,35,0.0038147,0.0152588
40,0,3692,3146,0.156403,0.114441,0.0038147,0.0038147,35,0.0038147,0.0114441
41,0,691,2742,1.25885,0.18692,0.0038147,0.0038147,35,0.0038147,0.0152588
42,0,2880,3688,0.213623,0.133514,0.0038147,0.0038147,35,0.0038147,0.0114441
43,0,3640,3182,0.148773,0.125885,0.0038147,0.0038147,35,0.0038147,0.0114441
44,0,3048,3026,0.190735,0.137329,0.0038147,0.0038147,35,0.00762939,0.0152588
45,0,2570,2992,0.171661,0.217438,0.0038147,0.00762939,35,0.0038147,0.0190735
46,0,4369,3541,0.102997,0.125885,0.0038147,0.0038147,35,0.0038147,0.0114441
47,0,3196,3201,0.179291,0.133514,0.0038147,0.0038147,35,0.00762939,0.0114441
48,0,3744,3029,0.148773,0.118256,0,0.00762939,35,0.0038147,0.0114441
49,0,3158,3325,0.18692,0.1297,0,0.0038147,35,0.0038147,0.0152588
50,0,3855,3218,0.118256,0.141144,0.0038147,0.0038147,35,0.0038147,0.0152588
51,0,2595,3022,0.190735,0.19455,0.0038147,0.00762939,35,0.00762939,0.0114441
52,0,3495,2965,0.137329,0.148773,0.0038147,0.0038147,35,0.0038147,0.0114441
53,0,3855,2613,0.125885,0.133514,0.0038147,0.00762939,35,0.0038147,0.0152588
54,0,2570,3402,0.179291,0.209808,0.0038147,0.0114441,35,0.0038147,0.0190735
55,0,3120,3543,0.198364,0.12207,0.0038147,0.00762939,35,0.0038147,0.0114441
56,0,3744,3728,0.148773,0.118256,0.0038147,0.0038147,35,0.0038147,0.0114441
57,0,4297,3034,0.102997,0.1297,0,0.00762939,35,0.0038147,0.0152588
58,0,4443,3332,0.0991821,0.125885,0,0.00762939,35,0.0038147,0.0152588
59,0,3120,3529,0.179291,0.141144,0,0.00762939,35,0.0038147,0.0190735
60,0,3276,3262,0.175476,0.1297,0,0.00762939,35,0.00762939,0.0152588
61,0,2978,3144,0.1297,0.205994,0,0.00762939,35,0.00762939,0.0152588
62,0,3855,3094,0.1297,0.1297,0,0.00762939,35,0.00762939,0.0152588
63,0,3449,2937,0.12207,0.167847,0,0.00762939,35,0.00762939,0.0152588
64,0,3196,3618,0.183105,0.1297,0,0.00762939,35,0,0.0152588
65,0,3542,3425,0.152588,0.1297,0.00762939,0,35,0,0.0152588
66,0,4096,2935,0.106812,0.137329,0,0.00762939,35,0.00762939,0.0152588
67,0,2912,3578,0.12207,0.221252,0,0.00762939,35,0,0.0152588
68,0,3449,3445,0.160217,0.1297,0.00762939,0,35,0.00762939,0.00762939
69,0,3120,3153,0.144958,0.175476,0,0.00762939,35,0.00762939,0.0152588
70,0,3360,3578,0.152588,0.144958,0,0.00762939,35,0.00762939,0.0152588
71,0,3360,3556,0.183105,0.114441,0.00762939,0,35,0.00762939,0.00762939
72,0,3640,3107,0.144958,0.1297,0.00762939,0.00762939,35,0.00762939,0.00762939
73,0,2674,2817,0.221252,0.152588,0.00762939,0.00762939,35,0.00762939,0.0152588
74,0,3048,3233,0.190735,0.137329,0.00762939,0,35,0,0.0152588
75,0,2570,3411,0.205994,0.183105,0,0.0152588,35,0.00762939,0.0152588
76,0,2621,3387,0.221252,0.160217,0,0.00762939,35,0,0.0228882
77,0,2978,3927,0.175476,0.160217,0.00762939,0.00762939,35,0.00762939,0.0152588
78,0,194,3330,5.02014,0.1297,0,0.00762939,35,0,0.0152588
79,0,2383,3602,0.190735,0.228882,0,0.00762939,35,0.0762939,0.0152588
80,0,3276,3552,0.175476,0.1297,0,0.0228882,35,0.00762939,0.0152588
81,0,3360,3190,0.167847,0.1297,0,0.00762939,35,0.00762939,0.0152588
82,0,2621,3676,0.183105,0.198364,0,0.00762939,35,0.00762939,0.0152588
83,0,3640,3443,0.1297,0.144958,0,0.00762939,35,0.00762939,0.0152588
84,0,4369,3087,0.0991821,0.1297,0,0,35,0.00762939,0.0152588
85,0,3640,3326,0.152588,0.12207,0,0.00762939,35,0,0.0152588
86,-1.17564,4681,3790,0.0991821,0.114441,0.00762939,0,34,0.00762939,0.00762939
87,-3.78762,4519,3097,0.0915527,0.1297,0,0,34,0.00762939,0.0152588
88,-5.97274,4681,3150,0.0915527,0.12207,0,0,35,0,0.0152588
89,-4.49085,2570,3559,0.25177,0.137329,0.00762939,0,41,0.00762939,0.00762939
90,-1.5397,4369,4039,0.106812,0.12207,0.00762939,0.00762939,40,0,0.0152588
91,-1.49718,3120,3334,0.160217,0.160217,0.00762939,0.00762939,34,0,0.0152588
92,-4.4246,2340,3672,0.289917,0.137329,0,0.038147,34,0,0.0152588
93,-5.98108,3640,3523,0.144958,0.1297,0,0.00762939,40,0,0.0152588
94,-3.85827,4228,3896,0.0991821,0.137329,0,0.00762939,41,0,0.0228882
95,-1.20427,3971,3879,0.114441,0.137329,0.00762939,0.00762939,39,0,0.0152588
96,0,2730,3514,0.236511,0.1297,0,0.00762939,35,0,0.0152588
97,0,3048,3078,0.198364,0.1297,0.00762939,0,35,0.00762939,0.00762939
98,0,3640,3212,0.152588,0.12207,0,0.00762939,35,0,0.0152588
