Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
1,0,232,310,3.88765,0.41151,0.00905991,0.0104904,35,0.0138283,0.0443459
2,0,281,310,2.75803,0.790596,0.0114441,0.0166893,35,0.0376701,0.200748
3,0,310,261,1.67131,1.54877,0.161648,0.0433922,35,0.0448227,0.293255
4,0,328,212,1.71757,1.32561,0.0123978,0.0171661,35,0.0362396,0.139236
5,0,253,228,1.97983,1.96838,0.0152588,0.0314713,35,0.0600815,0.304222
6,0,241,242,2.24686,1.89304,0.0314713,0.0324249,35,0.0495911,0.209808
7,0,292,261,2.65598,0.761986,0.0181198,0.0162125,35,0.0295639,0.0991821
8,0,241,257,3.00312,1.13201,0.0209808,0.0219345,35,0.0400543,0.166893
9,0,319,230,1.87397,1.25504,0.0228882,0.0257492,35,0.0476837,0.203133
10,0,199,254,3.39985,1.60027,0.041008,0.0667572,35,0.0457764,0.220299
11,0,261,259,1.71947,2.09904,0.0619888,0.0562668,35,0.0677109,0.516891
12,0,310,220,2.43187,0.785828,0.0114441,0.0133514,35,0.0247955,0.0991821
13,0,280,285,2.13432,1.42479,0.0152588,0.0209808,35,0.0400543,0.253677
14,0,330,213,1.20735,1.8177,0.0190735,0.0267029,35,0.087738,0.34523
15,0,216,227,3.0899,1.52969,0.0190735,0.0228882,35,0.0686646,0.299454
16,0,229,270,3.28255,1.08147,0.0114441,0.0152588,35,0.0286102,0.0991821
17,-1,364,289,1.63841,1.10626,0.0152588,0.0228882,38,0.0324249,0.102997
18,-1,156,235,4.03023,2.35558,0.143051,0.043869,38,0.0495911,0.335693
19,-1,235,330,2.94495,1.29318,0.0572205,0.0324249,38,0.0743866,0.173569
20,-1,293,262,2.19154,1.21117,0.0171661,0.0209808,38,0.0419617,0.173569
21,0,354,296,1.07765,1.74522,0.432968,0.0324249,35,0.0514984,0.257492
22,0,223,250,2.6226,1.84631,0.0152588,0.0267029,35,0.0743866,0.305176
23,0,223,269,2.99835,1.47057,0.0171661,0.0209808,35,0.0514984,0.22316
24,0,239,286,3.03841,1.13297,0.0152588,0.0209808,35,0.0400543,0.160217
25,0,257,279,2.71797,1.16158,0.0152588,0.0190735,35,0.038147,0.164032
26,0,237,261,3.1662,1.05095,0.0419617,0.0553131,35,0.0267029,0.116348
27,0,368,253,1.16348,1.54877,0.0152588,0.0171661,35,0.0324249,0.104904
28,0,206,236,3.25394,1.59454,0.0190735,0.0267029,35,0.0572205,0.259399
29,0,299,299,2.07138,1.26648,0.0152588,0.0190735,35,0.0267029,0.102997
30,0,163,354,4.60815,1.52588,0.0190735,0.0228882,35,0.0762939,0.267029
31,0,241,288,3.08609,1.06049,0.0152588,0.0190735,35,0.0419617,0.156403
32,0,259,244,2.10571,1.74332,0.0152588,0.0228882,35,0.0457764,0.19455
33,0,307,252,2.01035,1.23978,0.0152588,0.0190735,35,0.0457764,0.202179
34,0,265,287,1.9455,1.82343,0.0305176,0.0419617,35,0.0419617,0.221252
35,0,301,272,1.40381,1.91498,0.0152588,0.0305176,35,0.0953674,0.408173
36,-1,306,260,1.7395,1.52206,0.0152588,0.0228882,38,0.0495911,0.175476
37,-1,264,251,2.28119,1.49536,0.0228882,0.0228882,38,0.0419617,0.396729
38,-1,327,254,2.14767,0.904083,0.0152588,0.0228882,38,0.0457764,0.205994
39,0,314,262,1.83487,1.34277,0.0152588,0.0190735,35,0.0495911,0.19455
40,0,276,346,1.56403,2.05231,0.0190735,0.0267029,35,0.0457764,0.434875
41,0,449,267,1.01471,1.20926,0.0152588,0.0190735,35,0.0457764,0.190735
42,0,474,242,0.953674,1.15585,0.0152588,0.0228882,35,0.0457764,0.190735
43,0,203,272,3.44467,1.47629,0.0152588,0.0228882,35,0.0801086,0.228882
