Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
1,0,1086,1015,0.53072,0.389576,0.00810623,0.0638962,35,0.0157356,0.0424385
2,0,1112,1052,0.512123,0.386715,0.00810623,0.0653267,35,0.0185966,0.0429153
3,0,1050,932,0.565052,0.387192,0.00667572,0.0619888,35,0.0190735,0.0419617
4,0,1103,951,0.441551,0.464439,0.00953674,0.0648499,35,0.0162125,0.0591278
5,0,954,1008,0.574112,0.473976,0.0123978,0.145912,35,0.0152588,0.0591278
6,0,1052,1032,0.562668,0.387192,0.0104904,0.141144,35,0.0162125,0.0419617
7,0,906,866,0.695229,0.408173,0.0200272,0.14782,35,0.0190735,0.0514984
8,0,984,1015,0.635147,0.380516,0.0114441,0.142097,35,0.0190735,0.0429153
9,0,1035,1011,0.571251,0.394821,0.00858307,0.141144,35,0.0152588,0.0419617
10,0,1027,938,0.597954,0.375748,0.00858307,0.139236,35,0.0171661,0.0419617
11,0,1048,1039,0.571251,0.382423,0.00953674,0.14019,35,0.0152588,0.0419617
12,0,1074,944,0.566483,0.364304,0.00572205,0.0629425,35,0.0152588,0.0419617
13,0,1115,994,0.501633,0.394821,0.00762939,0.0934601,35,0.0171661,0.0419617
14,0,1094,1034,0.490189,0.423431,0.00572205,0.0686646,35,0.0190735,0.043869
15,0,1024,1052,0.572205,0.404358,0.00762939,0.0667572,35,0.0152588,0.0419617
16,0,1108,840,0.516891,0.385284,0.00572205,0.0648499,35,0.0152588,0.043869
17,-1,1089,1087,0.499725,0.417709,0.00953674,0.0667572,38,0.0152588,0.0476837
18,-1,1178,1100,0.459671,0.389099,0.00572205,0.0648499,38,0.0152588,0.0457764
19,-1,1159,1063,0.463486,0.398636,0.00572205,0.0667572,38,0.0171661,0.0457764
20,0,985,835,0.556946,0.457764,0.0133514,0.082016,35,0.0209808,0.0648499
21,0,1061,1041,0.53978,0.402451,0.00762939,0.0648499,35,0.0152588,0.043869
22,0,1016,1068,0.513077,0.471115,0.0114441,0.0705719,35,0.0152588,0.0572205
23,0,1094,907,0.516891,0.396729,0.00953674,0.0648499,35,0.0190735,0.043869
24,0,1067,1065,0.566483,0.370026,0.00762939,0.0648499,35,0.0152588,0.0419617
25,0,1030,1055,0.581741,0.389099,0.0114441,0.148773,35,0.0152588,0.0476837
26,0,855,916,0.665665,0.50354,0.00953674,0.202179,35,0.0228882,0.0629425
27,0,1069,1031,0.534058,0.400543,0.00762939,0.139236,35,0.0171661,0.0629425
28,0,1074,1057,0.549316,0.38147,0.00762939,0.137329,35,0.0114441,0.0419617
29,0,1048,871,0.56839,0.385284,0.0114441,0.141144,35,0.0190735,0.0419617
30,0,1004,1035,0.598907,0.396729,0.0152588,0.148773,35,0.0152588,0.0419617
31,0,1078,1055,0.526428,0.400543,0.00762939,0.0648499,35,0.0152588,0.0419617
32,0,1083,938,0.518799,0.404358,0.00762939,0.0648499,35,0.0190735,0.0419617
33,0,1057,1062,0.572205,0.37384,0.00762939,0.0686646,35,0.0190735,0.0419617
34,0,1024,1056,0.507355,0.469208,0.00762939,0.0686646,35,0.0190735,0.0610352
35,0,1000,1077,0.606537,0.392914,0.0114441,0.0839233,35,0.0152588,0.0495911
36,-1,1191,960,0.453949,0.385284,0.00762939,0.0610352,38,0.0152588,0.0457764
37,-1,1069,1095,0.457764,0.476837,0.00762939,0.0648499,38,0.0190735,0.0648499
38,-1,1197,1130,0.453949,0.38147,0.0038147,0.0648499,38,0.0152588,0.0419617
39,0,1074,978,0.469208,0.461578,0.0114441,0.0724792,35,0.0152588,0.0572205
40,0,1120,1002,0.507355,0.385284,0.00762939,0.0648499,35,0.0190735,0.0419617
41,0,1096,1058,0.545502,0.366211,0.0038147,0.0648499,35,0.0114441,0.0419617
42,0,1125,931,0.473022,0.415802,0.0114441,0.0648499,35,0.0152588,0.0762939
43,0,1197,1071,0.434875,0.400543,0.00762939,0.0686646,35,0.0190735,0.0419617
44,0,1065,1086,0.530243,0.408173,0.00762939,0.0686646,35,0.0190735,0.0457764
45,0,1096,774,0.526428,0.385284,0.00762939,0.0648499,35,0.0190735,0.0419617
46,0,1087,1078,0.556946,0.362396,0.0038147,0.0648499,35,0.0114441,0.038147
47,0,1129,1022,0.511169,0.37384,0.00762939,0.137329,35,0.0152588,0.0419617
48,0,897,958,0.63324,0.480652,0.0152588,0.141144,35,0.0152588,0.0572205
49,0,1083,1028,0.526428,0.396729,0.00762939,0.137329,35,0.0152588,0.0457764
50,0,1012,999,0.591278,0.396729,0.0114441,0.141144,35,0.0190735,0.0457764
51,0,1040,955,0.583649,0.377655,0.0114441,0.133514,35,0.0152588,0.0419617
52,0,1065,1012,0.564575,0.37384,0.00762939,0.133514,35,0.0152588,0.0419617
53,0,1057,1033,0.564575,0.38147,0.0114441,0.137329,35,0.0190735,0.0419617
54,0,1061,960,0.572205,0.370026,0.00762939,0.141144,35,0.0152588,0.0419617
