Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
1,0,665,630,1.35422,0.14782,0.00715256,0.00858307,35,0.0109673,0.0133514
2,0,659,602,1.35279,0.163078,0.00572205,0.00619888,35,0.00858307,0.0152588
3,0,654,647,1.35374,0.174046,0.00810623,0.00715256,35,0.00810623,0.0152588
4,0,662,645,1.35994,0.149727,0.00572205,0.00667572,35,0.0104904,0.0171661
5,0,664,636,1.31989,0.184059,0.00762939,0.00858307,35,0.00953674,0.0162125
6,0,667,623,1.33801,0.161171,0.00762939,0.00667572,35,0.00762939,0.0257492
7,0,654,645,1.39618,0.131607,0.00762939,0.00667572,35,0.00858307,0.0143051
8,0,656,642,1.37901,0.144005,0.00572205,0.00667572,35,0.00762939,0.0152588
9,0,658,565,1.35803,0.161171,0.00953674,0.0123978,35,0.0133514,0.0162125
10,0,644,653,1.39618,0.154495,0.00572205,0.00667572,35,0.00858307,0.0152588
11,0,627,651,1.46008,0.134468,0.00858307,0.00953674,35,0.0104904,0.0133514
12,0,655,646,1.36185,0.164032,0.00762939,0.00762939,35,0.00953674,0.0171661
13,0,659,641,1.36948,0.146866,0.00572205,0.00572205,35,0.00762939,0.0152588
14,0,660,583,1.37711,0.137329,0.0038147,0.00572205,35,0.00762939,0.0152588
15,0,673,656,1.3237,0.162125,0.00762939,0.00953674,35,0.0114441,0.0152588
16,0,662,645,1.3504,0.15831,0.00762939,0.00572205,35,0.0114441,0.0171661
17,-1,693,656,1.2722,0.169754,0.00762939,0.00762939,38,0.00953674,0.0152588
18,-1,692,665,1.28174,0.162125,0.00572205,0.0038147,38,0.00762939,0.0171661
19,-1,691,658,1.28937,0.156403,0.00572205,0.0038147,38,0.00762939,0.0171661
20,0,657,657,1.37711,0.144958,0.00762939,0.00762939,35,0.00762939,0.0152588
21,0,646,635,1.40572,0.141144,0.00762939,0.00953674,35,0.0114441,0.0133514
22,0,655,629,1.36948,0.156403,0.00762939,0.00953674,35,0.00762939,0.0133514
23,0,654,660,1.38092,0.146866,0.00572205,0.0038147,35,0.00762939,0.0152588
24,0,620,656,1.46294,0.148773,0.00762939,0.00762939,35,0.00953674,0.0152588
25,0,667,645,1.35231,0.146866,0.00953674,0.00953674,35,0.0114441,0.0133514
26,0,654,653,1.34659,0.181198,0.00953674,0.0133514,35,0.00953674,0.0171661
27,0,671,580,1.3504,0.139236,0.00953674,0.00953674,35,0.00953674,0.0133514
