Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-4.99907,776,763,0.492573,0.794888,0.588894,0.00619888,0.205994,56,0.303745,0.0424385,3,100
2,-5.99882,767,756,0.501633,0.801563,0.594616,0.00715256,0.206947,57,0.305653,0.0448227,3,99
3,-6.99849,684,750,0.562191,0.899792,0.684261,0.00953674,0.21553,58,0.306606,0.0443459,3,99
4,-7.99969,758,747,0.504494,0.814438,0.597954,0.00572205,0.216484,56,0.2985,0.041008,3,99
5,-8.99956,768,755,0.48542,0.815392,0.601768,0.00667572,0.213623,54,0.295639,0.041008,3,99
6,-9.99982,764,755,0.500679,0.807762,0.596046,0.00667572,0.211716,54,0.305176,0.0419617,3,99
7,-10.9995,703,766,0.584602,0.836372,0.609398,0.00762939,0.226974,54,0.300407,0.0400543,3,99
8,-11.9997,712,766,0.581741,0.821114,0.60463,0.00667572,0.216484,53,0.305176,0.0419617,3,99
9,-12.9994,751,739,0.506401,0.823975,0.605583,0.00667572,0.218391,53,0.305176,0.041008,3,99
10,-13.9989,768,757,0.487328,0.813484,0.598907,0.00762939,0.214577,51,0.297546,0.0391006,3,99
11,-14.9987,750,758,0.497818,0.834465,0.613213,0.00762939,0.221252,51,0.297546,0.0400543,3,99
12,-15.9996,755,768,0.497818,0.825882,0.597,0.00572205,0.228882,51,0.299454,0.038147,3,99
13,-16.9993,765,762,0.492096,0.814438,0.600815,0.00572205,0.213623,51,0.293732,0.0400543,3,99
14,-17.9999,771,761,0.490189,0.806808,0.593185,0.00762939,0.213623,51,0.297546,0.0419617,3,99
15,-18.9999,759,771,0.50354,0.812531,0.597,0.00762939,0.21553,51,0.312805,0.0400543,3,99
16,-19.9988,773,765,0.482559,0.810623,0.597,0.00762939,0.213623,51,0.293732,0.043869,3,99
17,-20.9999,757,769,0.501633,0.818253,0.602722,0.00762939,0.21553,50,0.303268,0.0419617,3,99
18,-21.9996,743,765,0.507355,0.837326,0.617981,0.00762939,0.219345,52,0.314713,0.0419617,3,99
19,-22.9993,754,761,0.488281,0.837326,0.608444,0.00572205,0.228882,53,0.295639,0.0400543,3,99
20,-23.9987,766,761,0.488281,0.816345,0.598907,0.00762939,0.217438,50,0.297546,0.038147,3,99
21,-24.9998,767,771,0.492096,0.810623,0.597,0.00572205,0.213623,49,0.303268,0.038147,3,99
22,-25.9998,760,752,0.501633,0.812531,0.593185,0.00572205,0.219345,49,0.307083,0.0400543,3,99
23,-26.9992,762,741,0.497818,0.814438,0.595093,0.00572205,0.219345,49,0.303268,0.038147,3,99
24,-27.9993,754,756,0.497818,0.827789,0.608444,0.00762939,0.219345,50,0.295639,0.0419617,3,99
25,-28.9999,766,759,0.494003,0.810623,0.595093,0.00572205,0.21553,52,0.307083,0.0400543,3,99
26,-29.9999,751,723,0.490189,0.841141,0.617981,0.00572205,0.22316,54,0.301361,0.0419617,3,99
27,-30.9988,756,762,0.50354,0.818253,0.602722,0.00762939,0.21553,54,0.303268,0.0419617,3,99
28,-31.9987,755,759,0.50354,0.82016,0.602722,0.00762939,0.217438,55,0.301361,0.0419617,3,99
29,-32.9988,766,745,0.488281,0.816345,0.595093,0.00762939,0.221252,56,0.301361,0.0419617,3,99
30,-33.9992,755,753,0.511169,0.812531,0.598907,0.00762939,0.213623,55,0.30899,0.0419617,3,99
31,-34.9999,748,755,0.50354,0.831604,0.614166,0.00762939,0.217438,56,0.30899,0.0419617,3,99
32,-35.999,764,752,0.495911,0.812531,0.595093,0.00762939,0.217438,55,0.305176,0.0419617,3,99
33,-36.9993,663,760,0.572205,0.934601,0.713348,0.0114441,0.221252,58,0.30899,0.0457764,3,99
