Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-4.99828,252,300,2.64978,1.30892,0.758171,0.0152588,0.550747,56,0.28944,0.0638962,3,100
2,-5.99893,264,289,2.05374,1.72234,0.788212,0.017643,0.934124,57,0.298977,0.0495911,3,99
3,-6.99784,245,294,2.79617,1.27411,0.815392,0.0138283,0.458717,58,0.302792,0.0481606,3,99
4,-7.99909,253,291,2.0237,1.92261,0.991821,0.0219345,0.930786,56,0.462532,0.154495,3,99
5,-8.99957,242,252,1.04427,3.07369,1.50299,0.0257492,1.5707,54,0.83828,0.14782,3,99
6,-9.99866,191,218,1.09959,4.11224,2.46429,0.0238419,1.64795,54,0.844955,0.169754,3,99
7,-10.9996,256,252,0.948906,2.94971,1.75953,0.0391006,1.19019,54,0.705719,0.11158,3,99
8,-11.9995,223,228,0.952721,3.52764,2.40231,0.0238419,1.12534,53,0.705719,0.124931,3,99
9,-12.9984,227,228,1.39523,3.0098,1.62888,0.0219345,1.38092,53,1.21307,0.14782,3,99
10,-13.9963,191,222,0.988007,4.22573,1.5564,0.0314713,2.66933,51,0.768661,0.120163,3,99
11,-14.9984,200,225,1.89114,3.09563,1.79291,0.0219345,1.30272,51,1.0643,0.143051,3,99
12,-15.9998,244,225,1.02615,3.06511,1.79291,0.0228882,1.2722,51,0.713348,0.106812,3,99
13,-16.9964,254,213,1.49918,2.43568,1.28365,0.0190735,1.15204,51,0.576019,0.082016,3,99
14,-17.9983,260,236,0.957489,2.882,1.45912,0.0228882,1.42288,51,0.764847,0.192642,3,99
15,-18.9964,201,225,1.02997,3.93105,1.62125,0.0209808,2.3098,51,0.829697,0.104904,3,99
16,-19.9984,201,212,1.62315,3.32832,2.05421,0.0228882,1.27411,51,0.776291,0.133514,3,99
17,-20.9976,185,216,1.01852,4.36592,3.06511,0.0209808,1.30081,50,0.75531,0.137329,3,99
18,-21.9962,197,241,0.976562,4.08173,2.08092,0.0286102,2.00081,52,0.722885,0.135422,3,99
19,-22.9995,237,226,0.898361,3.31497,1.92451,0.0247955,1.39046,53,0.669479,0.125885,3,99
20,-23.9967,242,266,0.991821,3.1395,1.90735,0.0171661,1.23215,50,0.808716,0.0991821,3,99
21,-24.9968,199,260,0.904083,4.11987,2.09808,0.0209808,2.02179,49,0.69046,0.108719,3,99
22,-25.9992,238,272,1.19209,3.00789,1.86157,0.0190735,1.14632,49,0.669479,0.112534,3,99
23,-26.9981,248,274,1.73759,2.29073,1.12534,0.0171661,1.16539,49,0.511169,0.0743866,3,99
24,-27.9981,231,294,0.947952,3.37601,1.74522,0.0267029,1.63078,50,0.743866,0.18692,3,99
25,-28.9998,244,268,0.741959,3.35312,2.39754,0.0190735,0.955582,52,0.549316,0.102997,3,99
26,-29.9988,230,292,0.989914,3.35693,2.15721,0.0190735,1.19972,54,0.671387,0.120163,3,99
27,-30.9959,285,309,0.751495,2.7504,1.64795,0.0190735,1.10245,54,0.562668,0.108719,3,99
28,-31.9979,246,277,0.831604,3.22723,1.31989,0.0228882,1.90735,55,0.637054,0.0953674,3,99
29,-32.9973,318,287,0.701904,2.44141,1.56403,0.0190735,0.87738,56,0.534058,0.110626,3,99
30,-33.9983,246,284,0.82016,3.23868,1.67847,0.0267029,1.56021,55,0.667572,0.164032,3,99
31,-34.9947,284,264,0.839233,2.6741,1.22452,0.0190735,1.44958,56,0.659943,0.0915527,3,99
32,-35.9986,284,289,1.09863,2.42233,1.27792,0.0190735,1.14441,55,0.797272,0.114441,3,99
33,-36.998,241,311,1.7128,2.42233,1.24741,0.0190735,1.17493,58,0.556946,0.102997,3,99
34,-37.9987,238,282,0.961304,3.22723,1.30081,0.0267029,1.92642,58,0.766754,0.255585,3,99
35,-38.9965,235,271,1.04141,3.21198,1.86157,0.0190735,1.3504,58,0.667572,0.0915527,3,99
36,-39.9998,296,278,0.785828,2.59018,1.72424,0.0228882,0.865936,58,0.591278,0.0915527,3,99
37,-40.9986,238,299,0.915527,3.28445,1.96075,0.038147,1.3237,57,0.724792,0.232697,3,99
38,-41.9994,282,270,0.988007,2.54822,1.17493,0.0267029,1.37329,56,0.705719,0.12207,3,99
39,-42.9995,243,285,0.793457,3.31116,2.28119,0.0190735,1.02997,54,0.556946,0.102997,3,99
40,-43.9992,274,297,0.808716,2.83051,1.83487,0.0228882,0.995636,54,0.583649,0.118256,3,100
41,-44.9983,247,284,1.00708,3.03268,1.83105,0.0534058,1.20163,52,0.766754,0.293732,3,100
42,-45.9976,266,282,0.736237,3.0098,1.86539,0.0190735,1.14441,51,0.553131,0.0839233,3,100
43,-46.9972,204,291,1.06049,3.8414,2.26974,0.0267029,1.57166,50,0.888824,0.0915527,3,100
44,-47.9983,279,297,0.953674,2.6207,1.25122,0.0190735,1.36948,51,0.591278,0.0953674,3,100
45,-48.9992,251,291,0.82016,3.15475,1.88828,0.0190735,1.26648,51,0.583649,0.0839233,3,100
46,-49.997,295,247,1.63651,1.75095,1.00327,0.0152588,0.747681,50,0.511169,0.0686646,3,100
47,-50.9978,201,281,0.900269,4.05121,1.7395,0.038147,2.31171,49,0.686646,0.164032,3,100
48,-51.9984,236,249,0.766754,3.46756,2.46048,0.0228882,1.00708,49,0.602722,0.133514,3,100
49,-52.9996,255,302,1.77765,2.13242,1.3237,0.0152588,0.808716,47,0.782013,0.0915527,3,100
50,-53.9992,254,309,1.27029,2.66647,1.44577,0.0228882,1.2207,46,0.919342,0.18692,3,100
51,-54.9974,231,282,0.888824,3.43323,1.83105,0.0190735,1.60217,46,0.671387,0.0686646,3,99
52,-55.9978,223,296,1.08719,3.37982,1.83868,0.0343323,1.54114,46,0.888824,0.0991821,3,99
53,-56.9973,284,299,0.759125,2.75421,1.17493,0.0190735,1.57928,47,0.564575,0.0801086,3,99
54,-57.9999,241,288,0.896454,3.23868,2.29263,0.0267029,0.946045,46,0.679016,0.167847,3,99
55,-58.9969,288,281,1.04904,2.42233,1.30081,0.0572205,1.12152,45,0.831604,0.12207,3,99
56,-59.9993,280,300,1.02234,2.5444,1.73187,0.0190735,0.812531,45,0.865936,0.087738,3,99
57,-60.9972,291,293,0.736237,2.68936,1.65939,0.0190735,1.02997,43,0.545502,0.0915527,3,98
58,-61.9992,251,283,1.20163,2.7771,1.69754,0.0228882,1.07956,43,1.01089,0.137329,3,98
59,-62.9996,231,310,0.827789,3.49426,2.47192,0.0228882,1.02234,43,0.652313,0.0991821,3,98
60,-63.997,299,289,1.44196,1.89209,1.05286,0.0152588,0.839233,43,0.465393,0.0762939,3,98
61,-64.9982,296,289,0.862122,2.51007,1.12915,0.0228882,1.38092,43,0.50354,0.0610352,3,98
62,-65.9992,243,291,0.991821,3.11279,1.54114,0.0228882,1.57166,42,0.808716,0.106812,3,98
63,-66.9994,241,304,1.14441,2.99072,2.05231,0.0152588,0.938416,42,0.968933,0.0839233,3,98
64,-67.9974,237,272,0.846863,3.36456,1.8158,0.0152588,1.54877,42,0.526428,0.0686646,3,98
65,-68.9993,258,299,1.22833,2.63977,1.40381,0.0305176,1.23596,43,0.846863,0.190735,3,98
