Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-4.99822,555,544,0.778675,1.02234,0.780582,0.0171661,0.241756,56,0.301361,0.0514984,3,100
2,-5.99852,627,608,0.632286,0.962257,0.745296,0.0171661,0.216961,57,0.315189,0.0562668,3,99
3,-6.99859,660,641,0.620365,0.89407,0.681877,0.0171661,0.212193,58,0.273705,0.0472069,3,99
4,-7.9997,601,619,0.706673,0.954628,0.751495,0.0171661,0.203133,56,0.273705,0.0476837,3,99
5,-8.99973,638,642,0.618935,0.946999,0.745773,0.0162125,0.201225,54,0.28038,0.0476837,3,99
6,-9.99998,624,640,0.658035,0.944138,0.738144,0.0162125,0.205994,54,0.274658,0.0476837,3,99
7,-10.9997,627,633,0.585556,1.00708,0.776291,0.0171661,0.230789,54,0.272751,0.0534058,3,99
8,-11.9985,679,597,0.631332,0.840187,0.636101,0.0152588,0.204086,53,0.268936,0.043869,3,99
9,-12.9999,644,641,0.58651,0.965118,0.759125,0.0162125,0.205994,53,0.281334,0.0476837,3,99
10,-13.9995,642,633,0.606537,0.950813,0.743866,0.0162125,0.206947,51,0.271797,0.0476837,3,99
11,-14.9995,632,648,0.598907,0.982285,0.771523,0.0190735,0.210762,51,0.272751,0.0486374,3,99
12,-15.9998,585,627,0.581741,1.12534,0.911713,0.0171661,0.213623,51,0.265121,0.0495911,3,99
13,-16.9985,593,622,0.635147,1.04904,0.753403,0.0171661,0.295639,51,0.274658,0.0514984,3,99
14,-17.9991,586,597,0.63324,1.07193,0.835419,0.0171661,0.236511,51,0.270844,0.0553131,3,99
15,-18.9998,659,641,0.60463,0.911713,0.701904,0.0152588,0.209808,51,0.289917,0.0457764,3,99
16,-20,672,589,0.555038,0.932693,0.724792,0.0133514,0.207901,51,0.268936,0.0457764,3,99
17,-20.9997,619,631,0.675201,0.938416,0.720978,0.0171661,0.217438,50,0.34523,0.0572205,3,100
18,-21.9999,663,613,0.577927,0.928879,0.717163,0.0152588,0.211716,52,0.286102,0.0457764,3,100
19,-22.9987,699,653,0.587463,0.843048,0.637054,0.0152588,0.205994,53,0.268936,0.0495911,3,100
20,-23.9991,636,605,0.616074,0.955582,0.743866,0.0171661,0.211716,50,0.278473,0.0457764,3,100
21,-24.9988,666,647,0.638962,0.862122,0.650406,0.0171661,0.211716,49,0.314713,0.0495911,3,100
22,-25.9994,663,650,0.623703,0.883102,0.671387,0.0171661,0.211716,49,0.282288,0.0457764,3,100
23,-26.9997,667,632,0.528336,0.968933,0.740051,0.0171661,0.228882,49,0.267029,0.043869,3,100
24,-27.9986,651,646,0.656128,0.879288,0.652313,0.0171661,0.226974,50,0.265121,0.043869,3,100
25,-28.9985,637,639,0.638962,0.930786,0.720978,0.0171661,0.209808,52,0.274658,0.043869,3,100
26,-30,648,641,0.602722,0.938416,0.724792,0.0152588,0.213623,54,0.270844,0.0476837,3,100
27,-30.9996,646,631,0.667572,0.879288,0.673294,0.0171661,0.205994,54,0.270844,0.0476837,3,100
28,-31.9996,675,625,0.637054,0.843048,0.640869,0.0152588,0.202179,55,0.267029,0.0457764,3,100
29,-32.9997,571,661,0.667572,1.08337,0.873566,0.0152588,0.209808,56,0.335693,0.0572205,3,100
30,-33.9986,680,621,0.621796,0.846863,0.640869,0.0190735,0.205994,55,0.267029,0.0457764,3,100
31,-34.9986,704,621,0.591278,0.827789,0.62561,0.0190735,0.202179,56,0.267029,0.0419617,3,100
32,-35.9987,655,654,0.583649,0.94223,0.736237,0.0190735,0.205994,55,0.270844,0.0495911,3,100
33,-36.9991,576,632,0.667572,1.06812,0.862122,0.0190735,0.205994,58,0.267029,0.0572205,3,100
34,-37.9984,634,646,0.648499,0.926971,0.717163,0.0152588,0.209808,58,0.274658,0.0762939,3,100
35,-39,644,640,0.602722,0.94986,0.743866,0.0152588,0.205994,58,0.270844,0.0495911,3,100
36,-39.9996,645,649,0.621796,0.926971,0.717163,0.0190735,0.209808,58,0.293732,0.0534058,3,100
37,-40.9987,663,657,0.614166,0.892639,0.686646,0.0190735,0.205994,57,0.270844,0.0495911,3,100
38,-41.9988,673,644,0.614166,0.869751,0.648499,0.0152588,0.221252,56,0.267029,0.0419617,3,100
39,-42.9986,675,633,0.545502,0.934601,0.724792,0.0190735,0.209808,54,0.270844,0.0495911,3,100
40,-43.9995,633,637,0.679016,0.900269,0.694275,0.0190735,0.205994,54,0.278473,0.0457764,3,100
41,-44.9997,639,641,0.644684,0.919342,0.709534,0.0152588,0.209808,52,0.267029,0.0457764,3,100
42,-45.9988,628,643,0.617981,0.972748,0.743866,0.0152588,0.228882,51,0.263214,0.0457764,3,100
43,-46.9987,602,628,0.69046,0.968933,0.747681,0.0190735,0.221252,50,0.267029,0.0495911,3,100
44,-47.9987,691,628,0.579834,0.865936,0.659943,0.0152588,0.205994,51,0.267029,0.0419617,3,100
45,-48.9989,637,660,0.606537,0.961304,0.747681,0.0152588,0.213623,51,0.267029,0.0572205,3,100
46,-49.9995,645,650,0.579834,0.968933,0.762939,0.0152588,0.205994,50,0.267029,0.0457764,3,100
47,-50.9989,647,639,0.572205,0.972748,0.759125,0.0152588,0.213623,49,0.282288,0.0457764,3,100
48,-51.9992,624,647,0.648499,0.953674,0.747681,0.0152588,0.205994,49,0.297546,0.0419617,3,99
49,-52.9988,682,656,0.576019,0.888824,0.671387,0.0152588,0.217438,47,0.267029,0.0419617,3,99
50,-53.9992,673,616,0.587463,0.896454,0.682831,0.0152588,0.213623,46,0.263214,0.0419617,3,99
51,-54.9991,644,651,0.595093,0.957489,0.740051,0.0152588,0.217438,46,0.297546,0.0457764,3,99
52,-55.9998,686,649,0.583649,0.873566,0.659943,0.0152588,0.213623,46,0.259399,0.038147,3,99
53,-56.9994,566,632,0.717163,1.04904,0.835419,0.0152588,0.213623,47,0.267029,0.0495911,3,99
54,-57.999,670,645,0.576019,0.915527,0.701904,0.0152588,0.213623,46,0.274658,0.0419617,3,99
55,-58.9998,591,646,0.709534,0.980377,0.747681,0.0152588,0.232697,45,0.331879,0.0495911,3,99
56,-59.9991,665,644,0.62561,0.87738,0.667572,0.0152588,0.209808,45,0.263214,0.0343323,3,99
57,-60.9996,648,657,0.610352,0.930786,0.713348,0.0190735,0.217438,43,0.289917,0.0419617,3,98
58,-61.9993,658,653,0.637054,0.881195,0.671387,0.0190735,0.209808,43,0.259399,0.0343323,3,98
59,-62.9999,655,639,0.614166,0.911713,0.69809,0.0190735,0.213623,43,0.263214,0.038147,3,98
60,-64,652,649,0.595093,0.938416,0.724792,0.0152588,0.213623,43,0.259399,0.038147,3,98
61,-64.9993,627,637,0.63324,0.961304,0.75531,0.0152588,0.205994,43,0.259399,0.038147,3,98
62,-65.9994,672,654,0.610352,0.87738,0.663757,0.0152588,0.213623,42,0.274658,0.038147,3,98
