Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-4.99954,599,682,0.757217,0.911236,0.727654,0.0181198,0.183582,56,0.309467,0.0286102,3,100
2,-5.99969,772,679,0.465393,0.82922,0.632763,0.0200272,0.196457,57,0.313282,0.0290871,3,99
3,-6.99978,743,615,0.440121,0.90456,0.590801,0.0219345,0.313759,58,0.335693,0.0319481,3,99
4,-7.99977,644,680,0.757217,0.794411,0.584602,0.0123978,0.209808,56,0.309944,0.0295639,3,99
5,-8.99949,554,652,1.01757,0.784874,0.629425,0.0181198,0.155449,54,0.266075,0.0228882,3,99
6,-9.99941,577,643,0.982285,0.749588,0.57888,0.0190735,0.170708,54,0.278473,0.0238419,3,99
7,-10.9998,596,641,0.875473,0.801086,0.620842,0.0171661,0.180244,54,0.295639,0.0257492,3,99
8,-11.9999,559,687,0.857353,0.930786,0.735283,0.0181198,0.195503,53,0.320435,0.0648499,3,99
9,-12.9999,527,666,1.07574,0.818253,0.64373,0.0190735,0.174522,53,0.342369,0.0295639,3,99
10,-14,571,588,0.793457,0.957489,0.732422,0.0200272,0.225067,51,0.370979,0.0305176,3,99
11,-14.9993,536,655,1.11771,0.74482,0.573158,0.0181198,0.171661,51,0.273705,0.0219345,3,99
12,-15.9987,621,616,0.78392,0.823975,0.627518,0.0228882,0.196457,51,0.343323,0.0267029,3,99
13,-16.9993,720,636,0.473022,0.915527,0.694275,0.0228882,0.221252,51,0.341415,0.0305176,3,99
14,-17.9996,697,612,0.495911,0.938416,0.679016,0.0209808,0.259399,51,0.371933,0.0343323,3,99
15,-18.9992,621,629,0.8564,0.751495,0.581741,0.0209808,0.169754,51,0.301361,0.0209808,3,99
16,-19.9993,622,553,0.905991,0.699997,0.534058,0.0247955,0.165939,51,0.278473,0.0228882,3,99
17,-21,490,607,1.22452,0.812531,0.631332,0.0190735,0.181198,50,0.276566,0.0247955,3,99
18,-21.9998,504,602,1.19209,0.79155,0.62561,0.0171661,0.165939,52,0.274658,0.0228882,3,99
19,-22.9985,686,675,0.635147,0.822067,0.612259,0.0209808,0.209808,53,0.341415,0.0286102,3,99
20,-23.9997,558,658,0.97847,0.810623,0.631332,0.0152588,0.179291,50,0.276566,0.0247955,3,99
21,-24.9994,672,648,0.785828,0.701904,0.528336,0.0171661,0.173569,49,0.282288,0.0209808,3,99
22,-25.9999,544,721,1.03378,0.802994,0.627518,0.0152588,0.175476,49,0.278473,0.0228882,3,99
23,-26.9986,731,641,0.640869,0.7267,0.553131,0.0171661,0.173569,49,0.259399,0.0209808,3,99
24,-27.9997,711,688,0.69046,0.715256,0.545502,0.0133514,0.169754,50,0.261307,0.0228882,3,99
25,-28.9986,735,664,0.654221,0.705719,0.534058,0.0171661,0.171661,52,0.272751,0.0209808,3,99
26,-29.9995,680,682,0.751495,0.717163,0.551224,0.0228882,0.165939,54,0.28038,0.0228882,3,99
27,-30.999,680,729,0.747681,0.722885,0.547409,0.0152588,0.175476,54,0.268936,0.0228882,3,99
28,-31.999,670,667,0.747681,0.743866,0.576019,0.0152588,0.167847,55,0.278473,0.0267029,3,99
29,-32.9988,762,694,0.587463,0.724792,0.549316,0.0190735,0.175476,56,0.274658,0.0267029,3,99
30,-33.9997,784,653,0.564575,0.709534,0.526428,0.0114441,0.183105,55,0.297546,0.0228882,3,99
31,-34.9999,576,699,0.980377,0.75531,0.591278,0.0152588,0.164032,56,0.270844,0.0267029,3,99
32,-35.9992,751,636,0.564575,0.766754,0.587463,0.0190735,0.179291,55,0.282288,0.0228882,3,99
33,-36.9995,680,692,0.732422,0.736237,0.56839,0.0152588,0.167847,58,0.274658,0.0267029,3,99
34,-37.999,732,650,0.648499,0.717163,0.541687,0.0190735,0.175476,58,0.274658,0.0267029,3,99
35,-38.999,832,684,0.44632,0.75531,0.56839,0.0114441,0.18692,58,0.305176,0.0305176,3,99
36,-39.9999,697,690,0.732422,0.701904,0.537872,0.0152588,0.164032,58,0.278473,0.0228882,3,99
37,-40.9999,543,659,0.640869,1.19781,0.873566,0.0152588,0.324249,57,0.530243,0.0495911,3,99
38,-41.9991,780,727,0.461578,0.82016,0.614166,0.0190735,0.205994,56,0.320435,0.0305176,3,99
39,-42.9999,702,706,0.675201,0.747681,0.576019,0.0190735,0.171661,54,0.270844,0.0228882,3,99
40,-43.9993,688,678,0.724792,0.728607,0.553131,0.0190735,0.175476,54,0.263214,0.0228882,3,99
41,-44.9986,684,685,0.759125,0.701904,0.534058,0.0152588,0.167847,52,0.270844,0.0228882,3,99
42,-45.9996,686,649,0.720978,0.736237,0.564575,0.0152588,0.171661,51,0.270844,0.0228882,3,99
43,-46.9999,699,682,0.732422,0.69809,0.530243,0.0114441,0.167847,50,0.263214,0.0190735,3,99
44,-47.9993,766,685,0.514984,0.789642,0.591278,0.0114441,0.198364,51,0.31662,0.0267029,3,99
45,-48.999,742,702,0.602722,0.743866,0.564575,0.0152588,0.179291,51,0.282288,0.0228882,3,99
46,-49.9991,722,688,0.656128,0.728607,0.56076,0.0152588,0.167847,50,0.267029,0.0228882,3,98
47,-50.9995,689,684,0.728607,0.720978,0.549316,0.0190735,0.171661,49,0.267029,0.0190735,3,98
48,-51.9995,738,750,0.507355,0.846863,0.644684,0.0228882,0.202179,49,0.335693,0.0305176,3,98
49,-52.9993,734,711,0.488281,0.873566,0.659943,0.0305176,0.213623,47,0.331879,0.0305176,3,98
50,-53.9998,773,739,0.484467,0.808716,0.598907,0.0114441,0.209808,46,0.320435,0.0228882,3,98
51,-55,704,717,0.705719,0.713348,0.549316,0.0152588,0.164032,46,0.259399,0.0190735,3,97
52,-55.9987,706,690,0.713348,0.701904,0.530243,0.0152588,0.171661,46,0.263214,0.0228882,3,97
53,-57,755,662,0.530243,0.793457,0.591278,0.0152588,0.202179,47,0.297546,0.0228882,3,97
54,-57.9987,700,679,0.740051,0.686646,0.522614,0.0152588,0.164032,46,0.259399,0.0190735,3,97
55,-58.9997,684,686,0.743866,0.717163,0.545502,0.0190735,0.171661,45,0.267029,0.0190735,3,97
56,-59.9987,706,645,0.743866,0.671387,0.507355,0.0114441,0.164032,45,0.263214,0.0190735,3,97
57,-60.9988,704,681,0.720978,0.69809,0.534058,0.0152588,0.164032,43,0.267029,0.0190735,3,96
58,-61.9989,706,649,0.724792,0.69046,0.526428,0.0152588,0.164032,43,0.259399,0.0190735,3,96
59,-62.999,708,671,0.705719,0.705719,0.537872,0.0152588,0.167847,43,0.263214,0.0190735,3,96
60,-63.9998,682,742,0.75531,0.709534,0.541687,0.0152588,0.167847,43,0.259399,0.0152588,3,96
61,-64.9988,700,655,0.709534,0.717163,0.541687,0.0152588,0.175476,43,0.274658,0.0228882,3,96
62,-65.9996,720,723,0.495911,0.892639,0.663757,0.0152588,0.228882,42,0.366211,0.0305176,3,96
63,-66.9996,748,678,0.564575,0.770569,0.602722,0.0152588,0.167847,42,0.305176,0.0152588,3,96
64,-67.9998,693,703,0.732422,0.709534,0.549316,0.0228882,0.160217,42,0.267029,0.0152588,3,96
65,-69,686,674,0.610352,0.846863,0.602722,0.0228882,0.244141,43,0.358582,0.0305176,3,96
66,-69.9988,724,730,0.671387,0.709534,0.534058,0.0152588,0.175476,43,0.267029,0.0228882,3,96
67,-70.9991,819,750,0.495911,0.724792,0.549316,0.0228882,0.175476,44,0.297546,0.0228882,3,96
68,-71.999,708,712,0.724792,0.686646,0.518799,0.0152588,0.167847,43,0.267029,0.0152588,3,96
69,-72.9998,732,635,0.671387,0.694275,0.526428,0.0228882,0.167847,43,0.274658,0.0152588,3,96
70,-73.9995,724,734,0.686646,0.694275,0.534058,0.0152588,0.160217,42,0.267029,0.0152588,3,96
71,-74.9994,686,705,0.75531,0.701904,0.541687,0.0228882,0.160217,43,0.267029,0.0152588,3,96
72,-75.9992,716,716,0.694275,0.701904,0.526428,0.0152588,0.175476,42,0.259399,0.0152588,3,96
73,-76.9998,724,670,0.686646,0.694275,0.526428,0.0152588,0.167847,41,0.267029,0.0228882,3,96
74,-77.9989,720,678,0.679016,0.709534,0.534058,0.0152588,0.175476,43,0.259399,0.0228882,3,95
75,-78.9995,598,695,0.938416,0.732422,0.556946,0.0152588,0.175476,43,0.267029,0.0228882,3,95
76,-79.9994,708,693,0.724792,0.686646,0.518799,0.0152588,0.167847,41,0.259399,0.0152588,3,95
77,-80.9998,744,720,0.62561,0.717163,0.541687,0.0152588,0.175476,41,0.267029,0.0228882,3,95
78,-81.9989,766,657,0.450134,0.854492,0.610352,0.00762939,0.244141,44,0.366211,0.0305176,3,95
79,-82.9998,724,675,0.671387,0.709534,0.534058,0.0152588,0.175476,45,0.267029,0.0152588,3,95
80,-83.9988,712,691,0.686646,0.717163,0.549316,0.0152588,0.167847,44,0.25177,0.0228882,3,95
81,-84.9994,693,705,0.732422,0.709534,0.534058,0.0152588,0.175476,46,0.259399,0.0228882,3,95
82,-85.9997,679,712,0.587463,0.88501,0.686646,0.0228882,0.198364,47,0.366211,0.0305176,3,95
83,-86.9991,753,690,0.419617,0.907898,0.709534,0.0152588,0.198364,47,0.328064,0.0305176,3,95
84,-87.9999,736,668,0.480652,0.87738,0.63324,0.0305176,0.244141,46,0.358582,0.0305176,3,96
85,-88.9986,689,694,0.75531,0.694275,0.526428,0.0152588,0.167847,47,0.267029,0.0228882,3,96
86,-89.9991,704,673,0.724792,0.694275,0.518799,0.0152588,0.175476,47,0.267029,0.0152588,3,96
87,-90.9985,672,691,0.778198,0.709534,0.534058,0.0152588,0.175476,47,0.267029,0.0152588,3,96
88,-91.999,712,679,0.717163,0.686646,0.518799,0.0152588,0.167847,46,0.267029,0.0228882,3,96
89,-92.9989,766,706,0.556946,0.747681,0.564575,0.0152588,0.183105,46,0.297546,0.0228882,3,96
