Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-5.00035,1675,1637,0.180721,0.416279,0.354767,0.00524521,0.061512,35,0.00715256,0.0257492,3,99
2,-6.0003,1664,1647,0.187397,0.413418,0.352383,0.00476837,0.0610352,34,0.00667572,0.0247955,3,99
3,-7.0006,1562,1625,0.218391,0.421524,0.359058,0.00476837,0.0624657,34,0.00715256,0.0247955,3,99
4,-8.00049,1685,1626,0.180244,0.412941,0.349998,0.00476837,0.0629425,34,0.00667572,0.0247955,3,99
5,-9.00008,1659,1643,0.184059,0.418663,0.357628,0.00572205,0.0610352,35,0.00762939,0.0257492,3,99
6,-10.0003,1677,1635,0.178337,0.417709,0.353813,0.00572205,0.0638962,37,0.00762939,0.0267029,3,99
7,-11,1656,1624,0.181198,0.422478,0.360489,0.00572205,0.0619888,36,0.00762939,0.0267029,3,99
8,-12.0003,1685,1617,0.179291,0.413895,0.349045,0.00572205,0.0648499,36,0.00667572,0.0257492,3,99
9,-13,1675,1589,0.185013,0.411987,0.348091,0.00572205,0.0638962,36,0.00762939,0.0257492,3,99
10,-14.0006,1659,1674,0.179291,0.423431,0.351906,0.00572205,0.0715256,36,0.00762939,0.0257492,3,99
11,-15.0001,1675,1639,0.182152,0.414848,0.350952,0.00572205,0.0638962,36,0.00762939,0.0257492,3,99
12,-16.0004,1565,1606,0.225067,0.413895,0.349045,0.00572205,0.0648499,36,0.00762939,0.0267029,3,99
13,-17.0001,1653,1561,0.188828,0.415802,0.352859,0.00572205,0.0629425,36,0.00762939,0.0267029,3,99
14,-18.0003,1664,1654,0.185013,0.415802,0.350952,0.00572205,0.0648499,35,0.00762939,0.0247955,3,99
15,-19,1691,1645,0.183105,0.408173,0.34523,0.00572205,0.0629425,35,0.00762939,0.0247955,3,99
16,-20.0004,1680,1642,0.183105,0.411987,0.347137,0.00572205,0.0648499,35,0.00762939,0.0247955,3,99
17,-21.0002,1664,1677,0.18692,0.413895,0.347137,0.00762939,0.0667572,36,0.00762939,0.0267029,3,99
