Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-5.00082,264,296,3.263,0.514507,0.505447,0.00953674,0.00905991,35,0.0104904,0.0271797,3,99
2,-6.00138,258,310,2.92349,0.9408,0.929356,0.014782,0.0114441,34,0.0157356,0.0543594,3,99
3,-7.00024,254,298,3.04222,0.889301,0.878811,0.0143051,0.0104904,34,0.0171661,0.0591278,3,99
4,-8.00316,251,287,2.81143,1.15776,1.14346,0.0143051,0.0143051,34,0.0181198,0.0524521,3,99
5,-9.00165,257,291,3.27301,0.608444,0.595093,0.0114441,0.0133514,35,0.0152588,0.0534058,3,99
6,-10.0001,294,288,2.55489,0.841141,0.83065,0.0133514,0.0104904,37,0.0257492,0.079155,3,99
7,-11.0026,253,292,2.8038,1.14822,1.13678,0.0114441,0.0114441,36,0.0162125,0.0505447,3,99
8,-12.0041,213,290,2.73323,1.94359,1.92451,0.0209808,0.0190735,36,0.0429153,0.187874,3,99
9,-13.0024,208,228,2.99072,1.79672,1.7767,0.0257492,0.0200272,36,0.0524521,0.137329,3,99
10,-14.0028,207,227,3.18336,1.64318,1.62125,0.0257492,0.0219345,36,0.0391006,0.126839,3,99
11,-15.0001,252,233,2.8553,1.10531,1.08242,0.0238419,0.0228882,36,0.0276566,0.087738,3,99
12,-16.0043,203,218,2.51961,2.39754,2.37083,0.0324249,0.0267029,36,0.0534058,0.181198,3,99
13,-17.0024,208,227,2.58064,2.2068,2.18391,0.0267029,0.0228882,36,0.043869,0.141144,3,99
14,-18.0011,199,235,4.09889,0.902176,0.886917,0.0286102,0.0152588,35,0.0228882,0.0629425,3,99
15,-19.0036,212,219,2.7504,1.96457,1.94359,0.0247955,0.0209808,35,0.0400543,0.144958,3,99
16,-20.0008,202,238,2.92015,2.01797,1.99509,0.0286102,0.0228882,35,0.0476837,0.196457,3,99
17,-21.0009,208,239,3.47328,1.31226,1.28365,0.0305176,0.0286102,36,0.0305176,0.173569,3,99
18,-22.002,203,226,2.74277,2.16103,2.13623,0.0305176,0.0247955,37,0.0514984,0.175476,3,99
19,-23.0015,197,234,3.17001,1.88828,1.86729,0.0400543,0.0209808,36,0.0514984,0.154495,3,98
20,-24.0015,204,241,2.96593,1.9207,1.87874,0.043869,0.0419617,36,0.0495911,0.171661,3,98
21,-25.0006,215,250,2.70653,1.93024,1.90735,0.0286102,0.0228882,35,0.0514984,0.15831,3,98
22,-26.0022,204,238,2.92206,1.96266,1.93405,0.0324249,0.0286102,35,0.0514984,0.165939,3,98
23,-27.0001,274,250,1.77383,1.86348,1.83678,0.0457764,0.0267029,35,0.0534058,0.150681,3,98
24,-28.0006,224,268,2.92397,1.52779,1.50871,0.0267029,0.0190735,35,0.0419617,0.131607,3,98
25,-29.0013,239,282,3.21388,0.963211,0.94223,0.0267029,0.0209808,35,0.0419617,0.123978,3,98
26,-30.003,250,293,2.11334,1.87683,1.85013,0.0305176,0.0267029,35,0.0476837,0.146866,3,98
27,-31.0027,268,296,1.89018,1.83868,1.8158,0.0286102,0.0228882,35,0.0457764,0.12207,3,98
28,-32.0008,237,303,2.22397,1.97983,1.9455,0.038147,0.0343323,33,0.0610352,0.225067,3,98
29,-33.003,250,297,1.88065,2.10571,2.08282,0.0343323,0.0228882,34,0.0648499,0.160217,3,98
30,-34.0022,261,298,1.29318,2.53677,2.50626,0.038147,0.0305176,35,0.0572205,0.19455,3,98
31,-35.0005,282,303,1.41525,2.12479,2.08664,0.0572205,0.038147,36,0.0686646,0.255585,3,98
32,-36.0002,330,314,1.17111,1.85394,1.81961,0.0610352,0.0343323,36,0.0686646,0.221252,3,98
33,-37.0015,249,301,2.20108,1.80817,1.75476,0.038147,0.0534058,36,0.0495911,0.144958,3,98
34,-38.0029,246,312,2.24686,1.8158,1.78146,0.0267029,0.0343323,36,0.0534058,0.160217,3,98
35,-39.002,236,311,2.1553,2.06757,2.04468,0.0419617,0.0228882,37,0.0534058,0.148773,3,98
36,-40.0032,261,305,1.44196,2.38037,2.34985,0.0305176,0.0305176,37,0.0572205,0.152588,3,98
37,-41.0016,249,311,2.77328,1.23215,1.20544,0.0267029,0.0267029,37,0.0534058,0.148773,3,98
38,-42.002,247,316,1.96075,2.0752,2.04086,0.0305176,0.0343323,37,0.0572205,0.137329,3,98
39,-43.0029,276,323,2.09045,1.52969,1.51443,0.0190735,0.0152588,37,0.0305176,0.0648499,3,98
40,-44.002,251,313,1.9455,2.03323,1.9989,0.0495911,0.0343323,36,0.0648499,0.198364,3,98
41,-45.002,261,302,1.72806,2.1019,2.0752,0.038147,0.0267029,37,0.0648499,0.301361,3,98
42,-46.0005,309,318,1.36948,1.85776,1.83105,0.038147,0.0267029,38,0.0610352,0.225067,3,98
43,-47.0011,271,305,2.16675,1.52206,1.4801,0.038147,0.0419617,37,0.0457764,0.156403,3,98
44,-48.001,255,316,2.04086,1.87302,1.83868,0.0343323,0.0343323,37,0.0648499,0.228882,3,98
45,-49.0014,257,311,2.70844,1.17493,1.15204,0.0267029,0.0228882,36,0.0534058,0.144958,3,100
46,-50.0002,329,313,1.33514,1.69754,1.67465,0.0267029,0.0228882,29,0.0419617,0.12207,3,100
