Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-5.00042,822,848,0.461578,0.754833,0.726223,0.0171661,0.0286102,35,0.0190735,0.0534058,3,99
2,-6.00107,853,781,0.431538,0.740051,0.714779,0.0162125,0.0252724,34,0.0162125,0.0367165,3,99
3,-7.00055,786,802,0.538349,0.732899,0.703812,0.0185966,0.0290871,34,0.0228882,0.0514984,3,99
4,-8.00037,773,839,0.533104,0.760078,0.736237,0.0152588,0.0238419,34,0.0181198,0.038147,3,99
5,-9.00041,814,757,0.422478,0.805855,0.784874,0.0152588,0.0209808,35,0.0162125,0.0391006,3,99
6,-10.0002,868,864,0.414848,0.736237,0.710487,0.0181198,0.0257492,37,0.0190735,0.0553131,3,99
7,-11.0001,896,808,0.418663,0.696182,0.671387,0.0152588,0.0247955,36,0.0162125,0.04673,3,99
8,-12.0012,735,757,0.494003,0.864983,0.83828,0.0171661,0.0267029,36,0.0209808,0.0553131,3,99
9,-13,876,832,0.422478,0.718117,0.69046,0.0181198,0.0276566,36,0.0200272,0.038147,3,99
10,-14.0002,842,758,0.44632,0.741005,0.71907,0.0181198,0.0219345,36,0.0200272,0.0486374,3,99
11,-15.0004,853,757,0.451088,0.720024,0.69809,0.0152588,0.0219345,36,0.0162125,0.0534058,3,99
12,-16.0003,851,796,0.469208,0.705719,0.686646,0.0152588,0.0190735,36,0.0190735,0.0362396,3,99
13,-17.0008,878,789,0.434875,0.703812,0.677109,0.0171661,0.0267029,36,0.0190735,0.038147,3,99
14,-18.0004,789,690,0.461578,0.804901,0.782013,0.0152588,0.0228882,35,0.0152588,0.0400543,3,99
15,-19,916,824,0.398636,0.692368,0.675201,0.0152588,0.0171661,35,0.0171661,0.0362396,3,99
16,-20.0006,856,814,0.480652,0.686646,0.669479,0.0171661,0.0171661,35,0.0190735,0.0343323,3,99
17,-21.0008,868,786,0.43869,0.713348,0.688553,0.0171661,0.0247955,36,0.0171661,0.0400543,3,99
18,-22.0002,862,804,0.434875,0.724792,0.692368,0.0209808,0.0324249,37,0.0209808,0.0400543,3,99
19,-23.0004,879,790,0.429153,0.707626,0.686646,0.0133514,0.0209808,36,0.0171661,0.0362396,3,98
20,-24.0008,790,835,0.453949,0.810623,0.785828,0.0209808,0.0247955,36,0.0171661,0.0476837,3,98
