Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-5.00105,741,724,0.582218,0.766277,0.747681,0.0214577,0.0185966,35,0.023365,0.0429153,3,99
2,-6.00051,766,717,0.851631,0.453472,0.438213,0.014782,0.0152588,34,0.0133514,0.0152588,3,99
3,-7.00023,624,682,1.23501,0.365734,0.353336,0.0143051,0.0123978,34,0.00953674,0.0119209,3,99
4,-8.00077,726,632,1.00422,0.371933,0.358582,0.0152588,0.0133514,34,0.0114441,0.0123978,3,99
5,-9.00002,724,703,0.979424,0.401497,0.388145,0.0143051,0.0133514,35,0.0123978,0.0143051,3,99
6,-10.0008,636,683,1.07479,0.496864,0.483513,0.0152588,0.0133514,37,0.0133514,0.0209808,3,99
7,-11.0003,644,644,1.1797,0.371933,0.359535,0.0152588,0.0123978,36,0.0114441,0.0114441,3,99
8,-12.0001,729,693,0.7267,0.644684,0.627518,0.0181198,0.0171661,36,0.0162125,0.0209808,3,99
9,-13.0002,699,676,1.01185,0.416756,0.402451,0.0171661,0.0143051,36,0.0133514,0.0162125,3,99
10,-14.0007,665,636,1.06716,0.434875,0.416756,0.0181198,0.0181198,36,0.0123978,0.0152588,3,99
11,-15.0002,648,663,1.15299,0.389099,0.374794,0.0152588,0.0143051,36,0.0104904,0.0133514,3,99
12,-16.0006,613,681,1.27411,0.354767,0.34523,0.00762939,0.00953674,36,0.00953674,0.0152588,3,99
13,-17.0012,703,679,1.02425,0.396729,0.385284,0.0133514,0.0114441,36,0.00953674,0.0152588,3,99
14,-18.0003,616,689,1.26839,0.352859,0.341415,0.0133514,0.0114441,35,0.00953674,0.00953674,3,99
15,-19.0005,691,655,0.957489,0.488281,0.47493,0.0171661,0.0133514,35,0.0133514,0.0209808,3,99
16,-20.0014,654,693,1.17493,0.352859,0.343323,0.0114441,0.00953674,35,0.00762939,0.0114441,3,99
