Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-5.00021,3241,3076,0.11158,0.196934,0.191689,0.00238419,0.00524521,35,0.00333786,0.0119209,3,144
2,-6.0002,2366,2983,0.13113,0.291348,0.285625,0.00333786,0.00572205,34,0.00429153,0.0128746,4,166
3,-7.00027,2803,2929,0.12064,0.236034,0.229836,0.00286102,0.00619888,34,0.00429153,0.0133514,5,176
4,-8.00041,1927,2983,0.165939,0.352859,0.344276,0.0038147,0.00858307,34,0.00572205,0.0143051,5,184
5,-9.00006,3276,2864,0.104904,0.200272,0.195503,0.00286102,0.00476837,35,0.0038147,0.0114441,5,197
6,-10.0002,2399,3043,0.115395,0.301361,0.294685,0.0038147,0.00667572,37,0.00476837,0.0123978,5,208
7,-11,2688,2598,0.165939,0.205994,0.201225,0.00286102,0.00476837,36,0.0038147,0.0114441,5,218
8,-12.0002,2601,2816,0.139236,0.245094,0.240326,0.0038147,0.00476837,36,0.0038147,0.0133514,6,209
9,-13.0003,1978,2280,0.182152,0.323296,0.317574,0.0038147,0.00572205,36,0.00476837,0.0123978,7,188
10,-14.0001,1713,2841,0.333786,0.249863,0.243187,0.0038147,0.00667572,36,0.00476837,0.0123978,7,185
11,-15.0002,3066,3128,0.108719,0.217438,0.212669,0.00286102,0.00476837,36,0.00572205,0.0123978,7,176
12,-16.0001,3196,2814,0.108719,0.204086,0.198364,0.00190735,0.00572205,36,0.0038147,0.0133514,7,166
13,-17.0001,3236,2115,0.108719,0.200272,0.19455,0.00190735,0.00572205,36,0.0038147,0.0133514,7,168
14,-18.0002,3276,2693,0.101089,0.204086,0.198364,0.00190735,0.00572205,35,0.0038147,0.0133514,7,159
15,-19,2361,2998,0.209808,0.213623,0.209808,0.0038147,0.0038147,35,0.0038147,0.0114441,7,150
16,-20.0003,3216,3013,0.106812,0.204086,0.198364,0.0038147,0.00572205,35,0.0038147,0.0114441,7,149
17,-21,2803,2955,0.141144,0.21553,0.207901,0.00572205,0.00762939,36,0.00572205,0.0133514,7,141
18,-22.0002,2962,2901,0.120163,0.217438,0.211716,0.00572205,0.00572205,37,0.00572205,0.0114441,7,141
19,-23.0002,2351,2826,0.135422,0.289917,0.282288,0.0038147,0.00762939,36,0.00572205,0.0152588,8,135
20,-24.0001,2416,3021,0.21553,0.198364,0.192642,0.00953674,0.00572205,36,0.0038147,0.0171661,9,120
21,-25.0002,2330,3172,0.150681,0.278473,0.272751,0.0038147,0.00572205,35,0.0038147,0.0247955,9,110
22,-26.0002,3030,3209,0.127792,0.202179,0.196457,0.0038147,0.00572205,35,0.00572205,0.0133514,9,107
23,-27.0002,2372,3136,0.144958,0.276566,0.270844,0.0038147,0.00572205,35,0.0038147,0.0133514,9,92
