Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-5.00262,221,286,2.60735,1.91259,1.88828,0.0238419,0.0243187,35,0.0419617,0.132561,3,176
2,-6.00109,231,249,2.64978,1.67418,1.64938,0.0243187,0.0247955,34,0.0357628,0.113964,3,193
3,-7.00114,221,245,2.3551,2.15149,2.11573,0.0338554,0.0357628,34,0.04673,0.160217,3,210
4,-8.00437,256,239,1.3485,2.55013,2.52533,0.0295639,0.0247955,34,0.0419617,0.109673,3,230
5,-9.00331,224,268,1.95503,2.50912,2.48432,0.0276566,0.0247955,35,0.0457764,0.151634,4,248
6,-10.0021,222,252,2.0628,2.42901,2.40326,0.0286102,0.0257492,37,0.0486374,0.159264,5,254
7,-11.0031,226,265,1.93405,2.48146,2.45571,0.0295639,0.0257492,36,0.0476837,0.14782,6,249
8,-12.0007,220,254,2.68841,1.84727,1.82056,0.0305176,0.0267029,36,0.0486374,0.171661,6,260
9,-13.0029,234,263,2.09522,2.16579,2.141,0.0267029,0.0247955,36,0.0429153,0.153542,6,269
10,-14.0003,229,254,2.13623,2.21539,2.17819,0.0314713,0.0371933,36,0.0457764,0.153542,6,264
11,-15.0018,226,267,1.70231,2.72083,2.70271,0.0219345,0.0181198,36,0.0276566,0.0734329,6,255
12,-16.0035,220,248,2.14958,2.39563,2.37083,0.0286102,0.0247955,36,0.0476837,0.150681,7,241
13,-17.0011,227,247,2.33078,2.06566,2.04659,0.0209808,0.0190735,36,0.0476837,0.131607,7,208
14,-18.0001,271,235,2.42996,1.24741,1.2188,0.0362396,0.0286102,35,0.038147,0.139236,9,189
15,-19.0024,227,253,2.31361,2.07329,2.05421,0.0209808,0.0190735,35,0.038147,0.0724792,9,173
16,-20.0025,223,255,2.35748,2.12288,2.09808,0.0267029,0.0247955,35,0.0457764,0.135422,10,150
17,-21.0006,210,253,2.83241,1.90735,1.88065,0.0267029,0.0267029,36,0.0400543,0.1297,10,145
18,-22.0034,208,252,2.79427,2.00844,1.98364,0.0267029,0.0247955,37,0.0514984,0.146866,11,120
19,-23.001,221,250,2.37465,2.14577,2.11906,0.0324249,0.0267029,36,0.0514984,0.154495,11,105
20,-24.0007,268,241,2.0771,1.64795,1.62315,0.0286102,0.0247955,36,0.0419617,0.118256,11,99
21,-25.0019,222,256,2.22015,2.2831,2.25449,0.0343323,0.0286102,35,0.0495911,0.358582,12,82
22,-26.0023,229,256,2.02942,2.32697,2.30408,0.0286102,0.0228882,35,0.0495911,0.148773,12,71
23,-27.0011,282,273,1.74522,1.791,1.76239,0.0305176,0.0286102,35,0.0476837,0.133514,12,63
24,-28.0024,245,281,2.15912,1.9207,1.89209,0.0324249,0.0286102,35,0.0495911,0.15831,12,60
25,-29.0001,323,295,1.31607,1.77956,1.75095,0.0324249,0.0286102,35,0.0514984,0.196457,12,54
26,-30.0012,242,316,2.26974,1.85776,1.82343,0.0343323,0.0343323,35,0.0495911,0.167847,13,53
27,-31.0009,312,321,1.38092,1.82343,1.79291,0.038147,0.0305176,35,0.0572205,0.173569,13,45
28,-32.0014,267,325,2.0256,1.7128,1.6861,0.038147,0.0267029,33,0.0495911,0.167847,11,44
29,-33.0027,263,323,1.99127,1.80817,1.78146,0.0305176,0.0267029,34,0.0572205,0.171661,10,37
30,-34.0021,260,320,1.90735,1.93405,1.89972,0.0419617,0.0343323,35,0.0762939,0.247955,10,32
31,-35.0004,339,312,1.13678,1.81198,1.77765,0.0343323,0.0343323,36,0.0572205,0.160217,9,34
32,-36.0029,282,322,1.89209,1.65176,1.62506,0.0228882,0.0267029,36,0.0457764,0.12207,8,34
33,-37.0019,255,328,2.18201,1.7395,1.6861,0.0648499,0.0534058,36,0.0495911,0.221252,6,37
34,-38.0029,292,330,1.36566,2.05612,2.0256,0.0305176,0.0305176,36,0.0495911,0.152588,5,40
35,-39.0023,267,295,1.96838,1.77002,1.7395,0.0343323,0.0305176,37,0.0534058,0.18692,5,36
36,-40.0002,322,333,1.39618,1.70898,1.67847,0.0267029,0.0305176,37,0.0534058,0.148773,5,34
37,-41.0015,256,330,2.2316,1.67465,1.65176,0.0228882,0.0228882,37,0.0572205,0.156403,4,39
38,-42.0012,312,342,2.14005,1.0643,1.0376,0.0305176,0.0267029,37,0.0267029,0.0724792,4,41
39,-43.0021,285,324,1.85013,1.65558,1.60217,0.0572205,0.0534058,37,0.0648499,0.240326,4,46
40,-44.0019,264,323,2.33841,1.44196,1.41525,0.0267029,0.0267029,36,0.0572205,0.156403,3,45
41,-45.0006,330,346,1.65558,1.37329,1.35803,0.0190735,0.0152588,37,0.0267029,0.0686646,3,48
