Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-5.0008,904,728,0.397205,0.70858,0.686646,0.0128746,0.0219345,35,0.014782,0.0400543,4,160
2,-6.00109,845,814,0.412941,0.770092,0.741959,0.0157356,0.0281334,34,0.0181198,0.0400543,5,160
3,-7.00044,868,823,0.389099,0.762939,0.741959,0.0138283,0.0209808,34,0.0143051,0.0405312,5,165
4,-8.00106,878,722,0.411034,0.7267,0.70858,0.0133514,0.0181198,34,0.0171661,0.0391006,5,167
5,-9.00107,889,844,0.378609,0.745773,0.723839,0.0162125,0.0219345,35,0.0171661,0.0457764,5,158
6,-10.0011,860,839,0.43869,0.723839,0.703812,0.0152588,0.0200272,37,0.0171661,0.041008,5,146
7,-11.0006,904,806,0.384331,0.720978,0.701904,0.0143051,0.0190735,36,0.0162125,0.0400543,5,142
8,-12.0006,722,829,0.487328,0.896454,0.870705,0.0171661,0.0257492,36,0.0200272,0.0610352,5,145
9,-13.0004,878,796,0.404358,0.734329,0.713348,0.0162125,0.0209808,36,0.0162125,0.0505447,5,153
10,-14.0011,768,809,0.447273,0.854492,0.832558,0.0171661,0.0219345,36,0.0171661,0.0886917,5,150
11,-15.0001,844,811,0.437737,0.745773,0.722885,0.0162125,0.0228882,36,0.0181198,0.0505447,5,150
12,-16.0011,914,810,0.362396,0.730515,0.711441,0.0133514,0.0190735,36,0.0171661,0.0572205,5,144
13,-17.0004,806,824,0.482559,0.757217,0.732422,0.0171661,0.0247955,36,0.0209808,0.0400543,5,142
14,-18.0008,821,789,0.448227,0.768661,0.743866,0.0171661,0.0247955,35,0.0171661,0.0534058,5,157
15,-19.0007,837,766,0.442505,0.751495,0.730515,0.0171661,0.0209808,35,0.0152588,0.0400543,6,153
16,-20.0003,851,843,0.391006,0.78392,0.761032,0.0171661,0.0228882,35,0.0171661,0.0495911,6,150
17,-21.0002,816,805,0.471115,0.753403,0.730515,0.0171661,0.0228882,36,0.0247955,0.043869,6,150
18,-22.0005,900,844,0.37384,0.736237,0.717163,0.0171661,0.0190735,37,0.0171661,0.0514984,6,146
19,-23.0012,744,823,0.545502,0.797272,0.774384,0.0171661,0.0228882,36,0.0209808,0.043869,6,141
