Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
1,-5.00065,682,694,1.02711,0.43869,0.394821,0.0114441,0.043869,35,0.00810623,0.0119209,3,133
2,-6.00008,716,671,0.990868,0.404835,0.356674,0.0133514,0.0481606,34,0.0104904,0.0123978,3,150
3,-7.00006,702,710,1.00946,0.413895,0.366688,0.0109673,0.0472069,34,0.00810623,0.0123978,3,157
4,-8.00049,676,657,1.05286,0.424385,0.380516,0.0123978,0.043869,34,0.00762939,0.0114441,3,165
5,-9.00006,679,676,1.07384,0.397682,0.354767,0.0104904,0.0429153,35,0.00667572,0.0123978,3,174
6,-10.001,693,691,1.03855,0.404358,0.356674,0.0133514,0.0476837,37,0.0104904,0.0114441,3,205
7,-11.0011,677,692,1.06144,0.413895,0.370026,0.0114441,0.043869,36,0.00858307,0.0123978,3,222
8,-12.0011,672,664,1.06144,0.426292,0.372887,0.0114441,0.0534058,36,0.00762939,0.0123978,3,232
9,-13.0008,678,653,1.05286,0.421524,0.377655,0.0123978,0.043869,36,0.00762939,0.0123978,3,253
10,-14.0011,677,691,0.997543,0.478745,0.422478,0.0143051,0.0562668,36,0.0123978,0.0143051,3,287
11,-15.0012,711,646,0.94986,0.454903,0.400543,0.0114441,0.0543594,36,0.00858307,0.0133514,3,316
12,-16.0007,627,688,1.11771,0.47493,0.427246,0.0114441,0.0476837,36,0.00762939,0.0133514,3,327
13,-17.0006,704,648,0.921249,0.497818,0.43869,0.0133514,0.0591278,36,0.0114441,0.0133514,3,358
14,-18.0005,655,667,1.06239,0.463486,0.417709,0.0114441,0.0457764,35,0.00953674,0.0133514,3,395
15,-19.0009,633,678,1.04332,0.535965,0.480652,0.0133514,0.0553131,35,0.0114441,0.0152588,3,437
16,-20.0009,627,648,1.10435,0.490189,0.434875,0.0133514,0.0553131,35,0.0114441,0.0114441,3,483
17,-21.0011,633,637,1.09291,0.484467,0.43869,0.0209808,0.0457764,36,0.00953674,0.0133514,3,530
18,-22.0006,646,635,1.02615,0.520706,0.4673,0.0114441,0.0534058,37,0.00953674,0.0114441,3,596
